player_id,name,deciders,other_games,D_raw,D_null,D_adjusted,sd,z,v2_value
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,88,650,0.03540,-0.00797,0.04337,0.02063,2.102,1.0708
d8d51930-abf9-468b-9e43-55a9c0728d58,Anouar Braham,48,402,0.04876,-0.00279,0.05154,0.02644,1.949,0.4760
9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,31,226,0.06594,0.00094,0.06500,0.03491,1.862,0.6217
2e0acd0d-95a3-49c3-8648-720ed0fbc7d5,Lingwei Kong,45,280,0.05193,-0.00047,0.05239,0.03013,1.739,0.5361
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,102,704,0.02965,-0.00618,0.03584,0.02129,1.683,0.9750
89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,92,518,0.03372,-0.00129,0.03501,0.02190,1.599,0.7618
759ecf95-26a6-4ffe-bb8b-035d3ec05f31,Matt Wright,62,392,0.03384,-0.00239,0.03623,0.02281,1.588,0.5527
1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,29,216,0.05711,0.00054,0.05657,0.03636,1.556,0.6966
45e53881-72e4-4de1-9763-c2e7f7f854ba,Andrea Koop,29,222,0.04783,-0.00062,0.04844,0.03328,1.456,0.6016
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,62,428,0.03194,0.00023,0.03171,0.02182,1.453,0.7419
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,69,744,0.02556,-0.00723,0.03278,0.02450,1.338,1.1139
43df1205-e834-4427-9f1a-4e173bf93296,Grayson Goldin,38,222,0.04962,0.00587,0.04375,0.03279,1.334,0.5538
29e8121d-6f86-4192-b7af-ab05b77b89fe,Ting Chieh Wei,35,252,0.04304,-0.00117,0.04421,0.03367,1.313,0.7522
eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,47,350,0.03548,-0.00059,0.03608,0.02786,1.295,0.7214
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,66,432,0.02247,-0.00423,0.02670,0.02183,1.223,0.9049
e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,29,198,0.03875,-0.00644,0.04519,0.03794,1.191,0.6718
f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,100,636,0.02101,-0.00482,0.02583,0.02188,1.181,1.1255
89647b43-f3f5-49e6-896f-614f0175a3f5,Jackson Ayotte,28,182,0.03693,-0.00210,0.03903,0.03394,1.150,0.3267
be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,51,352,0.02536,-0.00358,0.02895,0.02609,1.109,1.0882
f86cff72-5f9c-40b1-9f28-f28aafae245f,Wyatt Stone,60,366,0.02166,-0.00053,0.02219,0.02315,0.958,0.6431
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,77,550,0.01917,-0.00201,0.02118,0.02211,0.958,0.7421
ce7e7707-c94e-4d33-b34a-37efe3363774,Eli Steiner,33,190,0.03809,0.00140,0.03669,0.03872,0.948,0.4580
571d4503-e073-4580-a555-be3c7f93c59c,Chuck Taylor,32,260,0.03139,0.00365,0.02773,0.02962,0.936,0.2626
1374dfe9-4573-4ab6-991d-16bed0a6d25c,Edward Perez,37,260,0.03242,0.00486,0.02756,0.02995,0.920,0.2445
5f367bee-cf3e-4aad-a6e6-72cca04d97e2,Angie Walker,55,356,0.02261,-0.00095,0.02357,0.02618,0.900,0.5542
c3012322-e95e-4e38-a0d8-106f9e236869,Keilly Ulery,32,132,0.03857,0.00096,0.03761,0.04322,0.870,0.2146
d3e486f2-7c25-4bcf-b9dd-81c14f644f60,Etienne Blaszkewycz,25,224,0.02650,-0.00373,0.03023,0.03653,0.828,0.6955
c971bb40-090b-4e47-be58-905495e38401,Miles Hoover,33,224,0.02070,-0.00253,0.02323,0.03239,0.717,0.3473
7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,54,320,0.01873,-0.00131,0.02004,0.02838,0.706,0.4910
ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,37,254,0.02663,0.00464,0.02199,0.03170,0.694,0.7037
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,66,410,0.01485,-0.00364,0.01849,0.02698,0.685,0.9922
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,67,426,0.01276,-0.00252,0.01528,0.02319,0.659,0.7918
ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,25,162,0.02319,-0.00046,0.02365,0.03636,0.651,0.4726
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,92,520,0.01356,-0.00125,0.01480,0.02276,0.650,0.6926
62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,38,268,0.01806,-0.00017,0.01823,0.02842,0.641,0.6515
504e8c08-caf6-4db8-b454-11ffa321261c,Lucy Kovalova,47,368,0.01831,0.00109,0.01721,0.02757,0.624,0.7310
dc69fcde-bcda-4441-8b66-a8bafeb12ded,Joel Poland,30,202,0.01228,-0.00648,0.01877,0.03117,0.602,0.6002
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,47,342,0.01325,-0.00530,0.01855,0.03106,0.597,1.1558
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,92,694,0.00491,-0.00716,0.01207,0.02034,0.594,1.0854
30eb9a2b-1570-473f-8cf1-0f7c9d21b303,Zane Navratil,52,302,0.01549,0.00051,0.01497,0.02724,0.550,0.5808
ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,40,250,0.01540,-0.00225,0.01765,0.03272,0.539,0.7681
614e164a-4197-44eb-855c-586cf79fbfc9,Ivan Jakovljevic,50,300,0.01414,-0.00035,0.01450,0.02808,0.516,0.5163
be74032b-1035-4ece-bf4f-773b45da4d58,Mehvish Safdar,33,232,0.01691,0.00082,0.01610,0.03291,0.489,0.3571
66e1ddf7-61f6-4683-afdf-b6cc313af407,Todd Fought,32,180,0.02044,0.00382,0.01662,0.03447,0.482,0.4020
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,55,660,0.00558,-0.00526,0.01083,0.02266,0.478,0.8946
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,62,412,0.00739,-0.00451,0.01190,0.02491,0.478,0.9479
05bf7513-7f0a-4f6b-bc11-5d4b14314d91,Tom Protzek,57,326,0.00814,-0.00451,0.01265,0.02730,0.463,0.5601
d45a3391-82f4-45d0-ba66-f1901854a8d0,Darrian Young,49,314,0.01162,0.00126,0.01036,0.02457,0.422,0.5220
925c1306-6b3b-4510-8482-f34168a0842a,Roscoe Bellamy,43,282,0.00920,-0.00260,0.01180,0.02800,0.422,0.7114
bd7773b4-7b8e-4da2-96ce-98fe3490ee93,Lindsey Newman,39,242,0.01023,-0.00211,0.01233,0.03182,0.388,0.5532
a0582749-fb23-42cc-98ed-1915464c4814,Luke Wasson,34,204,0.02005,0.00503,0.01502,0.03893,0.386,0.2608
9decd87b-03ac-4d79-a1e7-d03ca3f7519b,James Ignatowich,50,360,0.01026,0.00131,0.00894,0.02430,0.368,0.6461
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,37,206,0.01132,-0.00248,0.01379,0.03812,0.362,0.6376
20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,54,398,0.00532,-0.00258,0.00790,0.02217,0.356,0.8588
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,74,474,0.00711,0.00003,0.00708,0.01999,0.354,0.8096
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,31,214,0.00650,-0.00383,0.01033,0.03131,0.330,0.8522
9034d36a-1b11-4c9d-ad75-5c665d87b8c5,Pierina Imparato,47,270,0.01080,0.00123,0.00956,0.02981,0.321,0.4817
50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,77,642,-0.00031,-0.00717,0.00686,0.02240,0.306,1.1172
1dd5c313-10f5-4e0a-bb9b-699913a5abe8,Mary Brascia,53,330,0.01049,0.00358,0.00691,0.02518,0.274,0.5899
ab473dbc-8449-427a-968d-5f59bd1f65fd,Eunggwon Kim,27,144,0.00385,-0.00725,0.01110,0.04236,0.262,0.5052
65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,26,234,0.01333,0.00443,0.00890,0.03516,0.253,0.6170
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,74,460,0.00316,-0.00214,0.00530,0.02184,0.243,0.6494
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,113,780,-0.00232,-0.00584,0.00353,0.01662,0.212,0.9050
1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,Mohaned Alhouni,47,322,0.00385,-0.00189,0.00574,0.02946,0.195,0.6037
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,70,770,-0.00873,-0.01136,0.00262,0.02089,0.126,1.3267
