player_id,name,gender,rallies,b_observed,b_mechanical,b_adjusted,se,z,clutch_shrunk,shrunk_sd,cwa_per_100_games,v2_value
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,27014,0.048352,0.032821,0.015531,0.004024,3.860,0.005958,0.002449,0.45,1.1139
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,26400,0.070084,0.053489,0.016594,0.004597,3.610,0.005381,0.002563,0.30,1.7994
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,15893,0.026855,0.012602,0.014253,0.005368,2.655,0.003785,0.002676,0.24,1.0877
3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,8215,0.018810,0.000078,0.018731,0.007013,2.671,0.003311,0.002826,0.32,0.6884
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,10621,0.023287,0.007435,0.015852,0.006453,2.456,0.003215,0.002785,0.22,0.9049
0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M,11608,0.015133,0.002780,0.012352,0.005726,2.157,0.003032,0.002718,0.31,0.3825
41118195-75b3-4b25-adc9-07991301280a,Craig Johnson,M,3606,0.009455,-0.020723,0.030178,0.010083,2.993,0.002881,0.002952,0.25,0.4436
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,24616,0.029334,0.021747,0.007587,0.004320,1.756,0.002778,0.002512,0.21,0.8946
88fb0858-b9c3-4620-9408-0dda0eb241ef,Tyler Loong,M,11938,0.005694,-0.005145,0.010839,0.005739,1.889,0.002682,0.002719,0.23,0.5987
461f063e-a587-4638-bad9-421ff33d91d7,Genie Erokhina,F,9563,0.004469,-0.008832,0.013300,0.006555,2.029,0.002678,0.002793,0.21,0.6853
3b609732-aeb8-49ef-af26-4321e6e0d151,Bryanna Ojeda,F,2205,0.010545,-0.023854,0.034399,0.013078,2.630,0.002121,0.003005,0.22,0.2759
b924b201-a7b1-4af5-83ef-d132c2d27008,Lara Giltinan,F,5138,0.012235,-0.002784,0.015018,0.008438,1.780,0.002057,0.002900,0.25,0.1738
