uuid,name,gender,n_high,n_low,serve_regular,return_regular,serve_big,return_big,regular,big,lift,lift_se,z,skill_adj,lift_rank,skill_adj_rank,lift_halfA,lift_halfB
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,8815,19256,0.2644,0.2517,1.2747,1.193,0.5161,2.4678,1.9517,0.0594,32.87,0.7235,1,4,1.6195,1.7341
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,10434,21568,0.0374,0.0393,0.9591,0.8233,0.0767,1.7824,1.7057,0.0521,32.73,1.0494,2,1,1.4989,1.5384
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,9545,20018,0.2097,0.1942,1.0012,0.8609,0.4039,1.8621,1.4582,0.0534,27.32,0.6243,3,9,1.2727,1.2054
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,9477,18475,0.0798,0.0928,0.8016,0.7575,0.1726,1.5591,1.3865,0.0534,25.98,0.7539,4,2,1.0887,1.27
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,8938,18175,0.0325,0.0658,0.7671,0.641,0.0984,1.4081,1.3098,0.054,24.27,0.7365,5,3,1.2454,1.0052
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,9024,18045,0.0368,0.0404,0.6983,0.6849,0.0771,1.3832,1.3061,0.0544,24.01,0.6857,6,5,1.2191,1.0156
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,8766,17805,0.1397,0.1722,0.8425,0.73,0.3119,1.5725,1.2607,0.0557,22.62,0.5549,7,13,1.0816,1.0565
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,9301,18783,0.0722,0.0656,0.7387,0.6331,0.1377,1.3718,1.2341,0.0531,23.26,0.6058,8,11,1.0332,1.0732
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,9432,18834,0.0507,0.1047,0.7073,0.6742,0.1554,1.3815,1.2261,0.0528,23.23,0.6856,9,6,0.9721,1.1192
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,1772,3658,0.0307,0.0485,0.5461,0.6446,0.0792,1.1907,1.1115,0.1138,9.76,0.6624,10,8,1.021,0.5951
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,8137,16626,0.1508,0.1518,0.6969,0.6875,0.3027,1.3844,1.0817,0.0568,19.03,0.4472,11,31,0.8966,0.8544
