uuid,name,gender,n_high,n_low,low,high,clutch,clutch_se,z
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,8815,19256,-0.6624579860925339,1.5056040475071444,2.1680620335996785,0.05969425413012806,36.319442552603135
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,10434,21568,-0.5698538744449604,1.2414817386410297,1.8113356130859901,0.05222856471281079,34.68093797036126
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,9545,20018,-0.4489082257817134,1.1943689268664666,1.64327715264818,0.05357792607042105,30.670786892503287
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,9477,18475,-0.453584935782092,1.0501095320228857,1.5036944678049777,0.053473126292566536,28.120563955394
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,8766,17805,-0.4597808264945623,0.9743710717136098,1.4341518982081722,0.0559375224198046,25.63845941271816
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,9024,18045,-0.5001620911045506,0.9222309559352886,1.4223930470398392,0.054543044433520926,26.07835814470357
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,8938,18175,-0.4714810330539875,0.9475274680779815,1.419008501131969,0.05405018935529946,26.253534317967
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,9301,18783,-0.43167969201652634,0.9148144626375966,1.346494154654123,0.05318699791796713,25.31622778805613
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,9432,18834,-0.4615509853746122,0.8811190838657983,1.3426700692404105,0.052892641699194685,25.384817738472936
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,1772,3658,-0.47747842947166963,0.811893486795138,1.2893719162668076,0.11378643027213234,11.331508627022902
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,8137,16626,-0.39503688348307675,0.8603766996478901,1.255413583130967,0.057021522493289185,22.016486551700115
50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,7779,15826,-0.3974373167989197,0.8352639684925323,1.2327012852914518,0.05829904889764058,21.144449328080558
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,6392,13415,-0.38103089792145056,0.806207689834362,1.1872385877558125,0.0633407920727008,18.743665004901313
be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,4532,9231,-0.41155769634247463,0.751675421192503,1.1632331175349777,0.07442805577766926,15.628960146557853
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,8058,16303,-0.31658796379403886,0.846112180282386,1.1627001440764249,0.05751017290834579,20.217295224088875
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,9730,19521,-0.3962416973899965,0.7397474355229197,1.1359891329129161,0.051561881975909524,22.03156846454261
f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,7776,14956,-0.3338186086728143,0.7796916069811823,1.1135102156539967,0.058204796731637365,19.13090120025701
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,4434,8896,-0.3326204473011156,0.7571419123049274,1.089762359606043,0.075074118262503,14.515819630349794
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,1395,2668,-0.4020165217399878,0.6301323094636709,1.0321488312036586,0.1283046330634837,8.044517228718957
b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,902,1753,-0.3497381097868858,0.6753735100004227,1.0251116197873085,0.15274737272804798,6.7111571314056
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,5622,10903,-0.3609022735050807,0.6613739699014595,1.0222762434065402,0.06693203907189825,15.273346779535782
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,5519,10675,-0.3509080140489308,0.6670011242959282,1.017909138344859,0.06875889439582906,14.804035860218917
3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,5084,10246,-0.31535529172521265,0.698709520274523,1.0140648119997357,0.07103472505879037,14.275620989036936
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,5593,10938,-0.37244646096015815,0.6393447516224805,1.0117912125826387,0.06731425845516813,15.030860263527977
ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,5909,11635,-0.3816349546078266,0.5761723573152736,0.9578073119231002,0.06573876344503976,14.569901557759989
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,5976,11634,-0.29059467445865306,0.6663124655914388,0.9569071400500918,0.06484993614972395,14.755714451912612
676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,5816,12174,-0.2740164651685607,0.6724729017968076,0.9464893669653683,0.0661086915567616,14.31716987096474
a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,1092,2124,-0.3837447119383263,0.5491373994530067,0.932882111391333,0.1375303700445804,6.783098969987063
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,5647,10921,-0.3155727706003243,0.614455903493514,0.9300286740938383,0.06749862655552102,13.778482934446714
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,6385,12578,-0.2880423759099202,0.6412849757990773,0.9293273517089975,0.06353216088232312,14.627667921296363
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,7022,13649,-0.29812034112000363,0.6188174529332979,0.9169377940533016,0.060487201417980814,15.159203477063608
89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,6730,12892,-0.286381390866099,0.6042588068617789,0.890640197727878,0.06189506786152534,14.389518074694765
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,4520,9314,-0.2892110311603005,0.5923166521489764,0.8815276833092769,0.07459714900032367,11.817176596192061
d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,1793,3663,-0.3526882045615266,0.5143061001892091,0.8669943047507357,0.11245943001726635,7.709396220642613
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,6092,11396,-0.27686129899061607,0.559823050240547,0.8366843492311631,0.06453736067995824,12.964340971120489
