uuid,name,gender,n_high,n_low,regular,big,lift,lift_rank,skill_adj,skill_adj_rank,lift_halfA,lift_halfB
129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,8815,19256,0.5161,2.4678,1.9517,1,0.7235,4,1.6195,1.7341
6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,10434,21568,0.0767,1.7824,1.7057,2,1.0494,1,1.4989,1.5384
db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,9545,20018,0.4039,1.8621,1.4582,3,0.6243,9,1.2727,1.2054
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,9477,18475,0.1726,1.5591,1.3865,4,0.7539,2,1.0887,1.27
79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,8938,18175,0.0984,1.4081,1.3098,5,0.7365,3,1.2454,1.0052
d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,9024,18045,0.0771,1.3832,1.3061,6,0.6857,5,1.2191,1.0156
b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,8766,17805,0.3119,1.5725,1.2607,7,0.5549,13,1.0816,1.0565
fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,9301,18783,0.1377,1.3718,1.2341,8,0.6058,11,1.0332,1.0732
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,9432,18834,0.1554,1.3815,1.2261,9,0.6856,6,0.9721,1.1192
12d79cbe-b5c7-4504-ab8f-f352a6bb8629,Thomas Wilson,M,1772,3658,0.0792,1.1907,1.1115,10,0.6624,8,1.021,0.5951
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,8137,16626,0.3027,1.3844,1.0817,11,0.4472,31,0.8966,0.8544
50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,7779,15826,0.2757,1.338,1.0623,12,0.4032,43,0.972,0.7816
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,9730,19521,0.0871,1.1153,1.0282,13,0.5461,14,0.8245,0.8915
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,6392,13415,0.2936,1.312,1.0184,14,0.3411,59,0.8397,0.7995
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,8058,16303,0.2981,1.3016,1.0035,15,0.5301,15,0.6781,0.9931
be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,4532,9231,0.2589,1.2418,0.983,16,0.3481,57,0.5754,0.8982
f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,7776,14956,0.327,1.271,0.944,17,0.278,92,0.6489,0.8818
05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,5622,10903,0.0981,1.0112,0.9131,18,0.4311,35,0.6728,0.7999
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,4434,8896,0.3287,1.2305,0.9018,19,0.2105,140,0.7452,0.5941
52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,5519,10675,0.115,1.0164,0.9014,20,0.3836,48,0.8068,0.6238
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,5593,10938,0.0916,0.9812,0.8896,21,0.3944,46,0.747,0.6326
ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,5909,11635,0.0556,0.9124,0.8568,22,0.4976,21,0.6164,0.781
ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,5976,11634,0.1074,0.9541,0.8467,23,0.4442,33,0.5899,0.7554
3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,5084,10246,0.2938,1.1381,0.8442,24,0.2155,137,0.7477,0.5399
1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,5647,10921,0.0722,0.9075,0.8353,25,0.4477,30,0.6725,0.6439
1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,Dylan Frazier,M,7022,13649,0.0653,0.892,0.8267,26,0.4714,26,0.7214,0.6287
b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,902,1753,0.0943,0.9171,0.8227,27,0.247,109,0.375,0.6974
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,1395,2668,0.1528,0.9722,0.8194,28,0.24,118,0.4428,0.6967
89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,6730,12892,0.0953,0.8837,0.7884,29,0.4258,36,0.6048,0.6599
a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,1092,2124,0.0117,0.7922,0.7805,30,0.3509,55,0.5254,0.5375
676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,5816,12174,0.3097,1.0897,0.78,31,0.3339,62,0.5863,0.6294
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,6385,12578,0.2276,1.0004,0.7729,32,0.3385,60,0.5447,0.6541
dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,6092,11396,0.073,0.813,0.74,33,0.4711,27,0.7015,0.4798
d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,1793,3663,0.0532,0.784,0.7308,34,0.351,54,0.5457,0.499
8160ad59-4654-46b1-b229-8d5f2a9a45f9,Hunter Johnson,M,4733,9287,0.031,0.7503,0.7193,35,0.3912,47,0.5154,0.6312
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,4520,9314,0.2681,0.9824,0.7142,36,0.1594,181,0.7649,0.3685
cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M,6021,11957,0.0786,0.7654,0.6868,37,0.3822,49,0.4728,0.61
a3ed7970-35d2-485c-8285-187c298a2d83,Lacy Schneemann,F,5657,11543,0.2094,0.8875,0.6781,38,0.2044,144,0.5929,0.4449
afc0bfc9-8cd8-4600-bd45-681092186db3,Vivienne David,F,3767,7640,0.225,0.9002,0.6753,39,0.2145,138,0.4774,0.5284
14d61e81-14d5-4cb3-ae33-d427fbc1b4f6,Quang Duong,M,2865,5662,0.1184,0.7924,0.674,40,0.2824,91,0.4812,0.4933
759ecf95-26a6-4ffe-bb8b-035d3ec05f31,Matt Wright,M,4462,8619,-0.0101,0.6591,0.6693,41,0.4811,23,0.4695,0.6132
3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,4382,8391,0.06,0.7048,0.6448,42,0.2196,132,0.5031,0.5418
7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,6794,13705,0.2036,0.8396,0.636,43,0.3238,69,0.5601,0.4065
0c1bb94d-3af2-42f4-b938-d712c707ace4,Callie Smith,F,5687,11482,0.2103,0.8035,0.5932,44,0.3296,64,0.4873,0.398
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,5440,10812,0.0557,0.6421,0.5864,45,0.2403,117,0.384,0.5182
ff789b9c-80c4-442c-b97e-2e2311298cfb,Vivian Glozman,F,2381,4957,0.253,0.8171,0.5642,46,0.0671,276,0.2965,0.4247
736475dd-7ccd-40d8-8b43-8c2d9ef9e674,Maggie Brascia,F,3547,7060,0.2389,0.8027,0.5638,47,0.2243,125,0.4042,0.3626
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M,6204,12238,0.0425,0.6059,0.5634,48,0.2585,101,0.3766,0.4871
4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,M,4528,8836,0.0523,0.6062,0.554,49,0.2849,88,0.4485,0.341
33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M,1680,3434,0.0159,0.5614,0.5455,50,0.1789,165,0.3881,0.344
ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M,1282,2323,0.0318,0.5773,0.5455,51,0.1777,167,0.4469,0.3036
2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M,1078,2224,-0.0628,0.4753,0.5381,52,0.2521,105,0.4441,0.2998
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,6455,13058,0.2353,0.769,0.5338,53,0.1876,158,0.2874,0.4831
4af4d4d1-9f87-4dc7-95f2-b10751d44c15,Tama Shimabukuro,M,2460,4672,0.0078,0.515,0.5072,54,0.2482,108,0.4463,0.3043
efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F,5544,10911,0.2294,0.7349,0.5055,55,0.0886,257,0.4134,0.2925
2856d69d-887b-4e89-a5c9-975f581f84a0,Len Yang,M,1867,3795,-0.0478,0.4525,0.5003,56,0.2576,102,0.3865,0.2419
62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,2510,4987,0.0715,0.5611,0.4895,57,0.219,133,0.3019,0.3633
f86cff72-5f9c-40b1-9f28-f28aafae245f,Wyatt Stone,M,3712,7284,0.0289,0.5096,0.4807,58,0.2172,136,0.3572,0.3232
6876576c-b20e-47e3-99e4-d32759cc9f48,Patrick Kawka,M,901,1661,0.0729,0.5532,0.4803,59,0.2215,128,0.2724,0.2763
1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,Ewa Radzikowska,F,2139,4170,0.2003,0.6799,0.4795,60,0.0415,318,0.3619,0.1986
5c817399-aea7-481d-9a83-aab7431eabc1,Alex Emery,M,482,878,-0.0185,0.4455,0.464,61,0.1593,182,0.612,-0.0693
655e0349-7e66-4233-b999-b6cca2298f9b,Yana Newell,F,264,489,0.0757,0.5337,0.458,62,0.0533,302,0.0895,0.4449
99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,1431,2963,-0.0305,0.4261,0.4566,63,0.2361,120,0.331,0.3424
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,4646,8985,0.1431,0.599,0.4559,64,0.0661,279,0.377,0.3425
88fb0858-b9c3-4620-9408-0dda0eb241ef,Tyler Loong,M,4757,9036,0.013,0.4663,0.4533,65,0.2267,123,0.3464,0.315
3270dc72-53b7-4d35-aa4c-7f8b7b6bf905,Matthew Barlow,M,506,1101,-0.1297,0.3215,0.4513,66,0.2968,81,-0.0218,0.4738
20684550-cb89-4ea2-9e2f-0f44eb920b45,Chao Yi Wang,F,4455,8686,0.1927,0.6437,0.451,67,0.0074,370,0.2209,0.3999
9decd87b-03ac-4d79-a1e7-d03ca3f7519b,James Ignatowich,M,4769,9064,0.0951,0.539,0.4439,68,0.1778,166,0.2854,0.316
7925aefe-e260-4b83-8bfc-214da1d14fb5,Travis Rettenmaier,M,3215,5958,0.0823,0.5252,0.4429,69,0.2505,106,0.2919,0.2757
719e2d3b-d10d-402d-a195-41f072214679,Isabella Dunlap,F,2350,4639,0.0642,0.5032,0.439,70,0.1176,219,0.3537,0.264
06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F,4195,8141,0.272,0.7055,0.4334,71,0.1006,235,0.2063,0.3182
20945292-032a-47f1-93c5-d44ada6e4783,Yufei Long,F,1080,2163,0.1162,0.544,0.4278,72,0.1291,210,0.2459,0.3129
9ce32de7-16c9-4786-a7b0-8c1c2c623d69,Rafael Lenhard,M,1663,3327,-0.092,0.3283,0.4203,73,0.2539,103,0.3608,0.2332
ca3c21b0-a715-40fd-bf00-c81e22d7da11,Daniel De la Rosa,M,2531,5026,0.0378,0.457,0.4192,74,0.122,215,0.3692,0.1632
e9849183-4693-4340-abf5-f4b6f3cb226f,Martin Emmrich,M,3555,6995,0.0926,0.5116,0.419,75,0.1387,200,0.3467,0.2236
2bfe44bb-d558-411f-abeb-c8522dd42ce9,Julian Arnold,M,4239,8400,0.068,0.486,0.418,76,0.1746,171,0.2169,0.3755
