player,game,player_uuid,n_pair_frames,offcourt_frac,incursion_frac,share_p90,share_gt65,vor_mean,vor_p90,vor_gt65
Christian Alshon,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,500,0.024,0.114,0.7198949998107891,0.208,0.5387363636363637,0.7024431818181819,0.17
Anna Bright,1,db5eef5c-99dd-49d9-bbfc-65171a366bda,492,0.006036217303822937,0.10365853658536585,0.6292946700659989,0.08130081300813008,0.4735241130820399,0.6970454545454545,0.11991869918699187
Hayden Patriquin,1,fc05556e-3e38-4a38-99c2-f855174a7c28,492,0.028282828282828285,0.08130081300813008,0.6551667898480653,0.10365853658536585,0.5264758869179601,0.7809659090909092,0.21138211382113822
Tyra Hurricane Black,1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,500,0.09,0.026,0.6158541475443412,0.08,0.4612636363636364,0.6406250000000002,0.098
Christian Alshon,2,79a11da1-6aeb-4719-9b1e-9918e0163cec,1678,0.0860091743119266,0.07389749702026222,0.6728663497457631,0.1394517282479142,0.4780863988514465,0.7056818181818182,0.18116805721096543
Anna Bright,2,db5eef5c-99dd-49d9-bbfc-65171a366bda,1270,0.020172910662824207,0.08740157480314961,0.6069405043365356,0.07795275590551182,0.4743714209019327,0.6807386363636364,0.1220472440944882
Hayden Patriquin,2,fc05556e-3e38-4a38-99c2-f855174a7c28,1270,0.00431832202344232,0.11181102362204724,0.6909975084013338,0.15669291338582678,0.5256285790980674,0.70625,0.1921259842519685
Tyra Hurricane Black,2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,1678,0.02523474178403756,0.1066746126340882,0.7326258481961253,0.1501787842669845,0.5219136011485536,0.8353977272727272,0.23361144219308702
Christian Alshon,3,79a11da1-6aeb-4719-9b1e-9918e0163cec,412,0.019184652278177457,0.19902912621359223,0.6974635707233363,0.24271844660194175,0.5254068292144749,0.7132954545454546,0.19174757281553398
Anna Bright,3,db5eef5c-99dd-49d9-bbfc-65171a366bda,399,0.02891566265060241,0.047619047619047616,0.6017996054217453,0.02756892230576441,0.5059637730690362,0.8005681818181818,0.17543859649122806
Hayden Patriquin,3,fc05556e-3e38-4a38-99c2-f855174a7c28,399,0.02736318407960199,0.08270676691729323,0.6731268422517137,0.18045112781954886,0.4940362269309638,0.6971590909090909,0.19548872180451127
Tyra Hurricane Black,3,fec65f7e-f2c8-482f-ab5b-541cf53b1064,412,0.029411764705882353,0.07766990291262135,0.6867671968167977,0.13349514563106796,0.47459317078552515,0.7201704545454546,0.1407766990291262
Christian Alshon,MATCH,79a11da1-6aeb-4719-9b1e-9918e0163cec,2590,0.06388575723412251,0.10154440154440154,0.6859721633959877,0.1691119691119691,0.49732230607230604,0.7056818181818182,0.1806949806949807
Anna Bright,MATCH,db5eef5c-99dd-49d9-bbfc-65171a366bda,2161,0.018695652173913044,0.08375751966682092,0.6106325158467724,0.06941230911614993,0.48001162130326874,0.7193181818181819,0.13142063859324388
Hayden Patriquin,MATCH,fc05556e-3e38-4a38-99c2-f855174a7c28,2161,0.012708498808578236,0.0994909763998149,0.6799238319094304,0.14900509023600186,0.5199883786967312,0.7159090909090908,0.19713095788986582
Tyra Hurricane Black,MATCH,fec65f7e-f2c8-482f-ab5b-541cf53b1064,2590,0.038170823885109596,0.08648648648648649,0.6968619201915581,0.13397683397683396,0.502677693927694,0.8005681818181818,0.19266409266409265
