player,game,rally,player_uuid,n_frames,peak_share,peak_inc_ft,terr_mean,terr_end
Tyra Hurricane Black,"('c4eb30d0', '1')",1,fec65f7e-f2c8-482f-ab5b-541cf53b1064,63,0.708,0.0,0.438,0.5364
Christian Alshon,"('c4eb30d0', '1')",1,79a11da1-6aeb-4719-9b1e-9918e0163cec,63,0.9112,4.03,0.562,0.4636
Anna Bright,"('c4eb30d0', '1')",1,db5eef5c-99dd-49d9-bbfc-65171a366bda,63,0.5876,0.51,0.4216,0.3722
Hayden Patriquin,"('c4eb30d0', '1')",1,fc05556e-3e38-4a38-99c2-f855174a7c28,63,0.5389,0.0,0.5784,0.6278
Tyra Hurricane Black,"('c4eb30d0', '1')",2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,42,0.5762,0.0,0.3806,0.3479
Christian Alshon,"('c4eb30d0', '1')",2,79a11da1-6aeb-4719-9b1e-9918e0163cec,42,0.8924,4.0,0.6194,0.6521
Anna Bright,"('c4eb30d0', '1')",2,db5eef5c-99dd-49d9-bbfc-65171a366bda,42,0.5209,0.0,0.5506,0.5608
Hayden Patriquin,"('c4eb30d0', '1')",2,fc05556e-3e38-4a38-99c2-f855174a7c28,42,0.6561,0.0,0.4494,0.4392
Christian Alshon,"('c4eb30d0', '1')",3,79a11da1-6aeb-4719-9b1e-9918e0163cec,15,0.1673,0.0,0.0,0.0
Tyra Hurricane Black,"('c4eb30d0', '1')",3,fec65f7e-f2c8-482f-ab5b-541cf53b1064,15,0.8948,4.2,1.0,1.0
Christian Alshon,"('c4eb30d0', '1')",4,79a11da1-6aeb-4719-9b1e-9918e0163cec,21,0.5212,0.0,0.3689,0.5063
Tyra Hurricane Black,"('c4eb30d0', '1')",4,fec65f7e-f2c8-482f-ab5b-541cf53b1064,21,0.6097,0.0,0.6311,0.4937
Anna Bright,"('c4eb30d0', '1')",4,db5eef5c-99dd-49d9-bbfc-65171a366bda,20,0.4491,0.0,0.5092,0.6214
Hayden Patriquin,"('c4eb30d0', '1')",4,fc05556e-3e38-4a38-99c2-f855174a7c28,20,0.7994,0.52,0.4908,0.3786
Tyra Hurricane Black,"('c4eb30d0', '1')",5,fec65f7e-f2c8-482f-ab5b-541cf53b1064,179,0.5631,0.0,0.1624,0.1416
