vod,event,date,match_id,game,backend,player_uuid,player,gender,partner_uuid,n_rallies,frames,ellipse_area_ft2,ellipse_area_serve_ft2,width_share,width_share_kitchen,width_share_area,depth_p05_ft,depth_p95_ft,dist_per_rally_ft,static_frac,kitchen_trips_per_rally,identity_conf,anchor_free_rallies,anchor_free_frac,handoff_frac,identity_err_rate
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,1,rtmpose-balanced,79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,fec65f7e-f2c8-482f-ab5b-541cf53b1064,27,1600,309.3,417.6,0.5489,0.5737,0.5637,7.1,27.1,19.1,0.361,0.37,0.790,13,0.688,0.002,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,1,rtmpose-balanced,db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,fc05556e-3e38-4a38-99c2-f855174a7c28,27,1597,96.4,112.4,0.4427,0.4081,0.2805,10.4,25.8,15.2,0.468,0.15,0.790,13,0.689,0.000,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,1,rtmpose-balanced,fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,db5eef5c-99dd-49d9-bbfc-65171a366bda,26,1193,247.2,186.5,0.5573,0.5919,0.7195,9.4,28.9,16.6,0.288,0.23,0.787,12,0.585,0.000,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,1,rtmpose-balanced,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,79a11da1-6aeb-4719-9b1e-9918e0163cec,27,1629,239.4,167.5,0.4511,0.4263,0.4363,8.3,26.6,15.0,0.435,0.15,0.790,13,0.693,0.001,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,2,rtmpose-balanced,79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,fec65f7e-f2c8-482f-ab5b-541cf53b1064,51,2766,461.8,353.4,0.5554,0.5524,0.6838,9.4,31.5,20.9,0.296,0.35,0.808,14,0.369,0.000,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,2,rtmpose-balanced,db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,fc05556e-3e38-4a38-99c2-f855174a7c28,51,2649,210.2,382.2,0.4339,0.4396,0.4515,7.7,26.6,16.1,0.355,0.20,0.806,14,0.368,0.022,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,2,rtmpose-balanced,fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,db5eef5c-99dd-49d9-bbfc-65171a366bda,51,2778,255.4,279.9,0.5661,0.5604,0.5485,6.6,26.5,17.7,0.360,0.24,0.804,14,0.374,0.001,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,2,rtmpose-balanced,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,79a11da1-6aeb-4719-9b1e-9918e0163cec,51,2473,213.6,215.6,0.4446,0.4476,0.3162,10.0,27.8,15.8,0.320,0.14,0.805,14,0.300,0.017,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,3,rtmpose-balanced,79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,fec65f7e-f2c8-482f-ab5b-541cf53b1064,12,417,303.7,924.8,0.5462,0.4696,0.4767,6.4,23.8,12.2,0.283,0.17,0.744,0,0.000,0.000,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,3,rtmpose-balanced,db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,fc05556e-3e38-4a38-99c2-f855174a7c28,12,415,327.9,852.8,0.4635,,0.4706,8.3,24.7,11.0,0.332,0.17,0.745,0,0.000,0.000,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,3,rtmpose-balanced,fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,db5eef5c-99dd-49d9-bbfc-65171a366bda,12,402,368.8,440.7,0.5365,,0.5294,9.7,28.1,10.5,0.306,0.00,0.746,0,0.000,0.000,
SQg2mHBPHC0,PPA Indoor Nationals,2026-01-25,c4eb30d0,3,rtmpose-balanced,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,79a11da1-6aeb-4719-9b1e-9918e0163cec,12,442,333.3,686.8,0.4538,0.5304,0.5233,8.6,26.1,12.9,0.265,0.17,0.742,0,0.000,0.000,
