team_uuid,team_title,franchise,event,lineup_date,matchup_uuid,player_uuid,full_name,gender,slot,singles_games,singles_value_raw,doubles_value,value_used,value_source
8d4a420e-5e4d-44f0-af02-4f2d4b655d09,Atlanta Bouncers,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,F1,110,0.7383,0.9922,0.7383,singles
8d4a420e-5e4d-44f0-af02-4f2d4b655d09,Atlanta Bouncers,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,F2,121,0.6158,0.7421,0.6158,singles
8d4a420e-5e4d-44f0-af02-4f2d4b655d09,Atlanta Bouncers,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M,M1,341,1.5668,0.6923,1.5668,singles
8d4a420e-5e4d-44f0-af02-4f2d4b655d09,Atlanta Bouncers,1,MLP San Diego,2026-07-19,2c68b2b9-b0a7-4ace-9b4e-90ed81b850c7,295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,M2,182,1.3685,0.9207,1.3685,singles
70219ed7-f994-45cc-8137-781b08e5fdbe,Bay Area Breakers,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,a95df9a8-772c-4dbf-8c28-e200b7308584,Kiora Kunimoto,F,F1,150,1.3006,0.5828,1.3006,singles
70219ed7-f994-45cc-8137-781b08e5fdbe,Bay Area Breakers,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F,F2,9,-0.4400,0.4453,0.4376,imputed
70219ed7-f994-45cc-8137-781b08e5fdbe,Bay Area Breakers,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,M,M1,138,0.8058,0.6497,0.8058,singles
70219ed7-f994-45cc-8137-781b08e5fdbe,Bay Area Breakers,1,MLP San Diego,2026-07-19,b4659146-cbb0-4b3e-b0af-ad8dbfeac2a8,2856d69d-887b-4e89-a5c9-975f581f84a0,Len Yang,M,M2,0,,0.6180,0.6345,imputed
fe9c66f9-c52c-4153-89bc-207d3bb5d934,Brooklyn Pickleball Team,1,Edward Jones Mid-Season Tournament,2026-07-10,8691162f-5074-4b1f-8fde-198ecbc51a19,be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,F1,0,,1.0882,1.1705,imputed
fe9c66f9-c52c-4153-89bc-207d3bb5d934,Brooklyn Pickleball Team,1,Edward Jones Mid-Season Tournament,2026-07-10,8691162f-5074-4b1f-8fde-198ecbc51a19,25a6f570-d617-427a-9fc4-3bf6115a9a84,Hannah Blatt,F,F2,139,0.7658,0.1899,0.7658,singles
fe9c66f9-c52c-4153-89bc-207d3bb5d934,Brooklyn Pickleball Team,1,Edward Jones Mid-Season Tournament,2026-07-10,8691162f-5074-4b1f-8fde-198ecbc51a19,a91e2b68-7357-4518-baf9-f59b0b4c2477,Christopher Haworth,M,M1,290,1.8749,0.6193,1.8749,singles
fe9c66f9-c52c-4153-89bc-207d3bb5d934,Brooklyn Pickleball Team,1,Edward Jones Mid-Season Tournament,2026-07-10,8691162f-5074-4b1f-8fde-198ecbc51a19,bc7b2475-e580-4734-bc14-814a153bec5d,Pesa Teoni,M,M2,101,0.3711,0.3646,0.3711,singles
bb45f80b-4be3-4b57-9537-9fb899819a9a,California Black Bears,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F,F1,75,1.3251,0.8290,1.3251,singles
bb45f80b-4be3-4b57-9537-9fb899819a9a,California Black Bears,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F,F2,102,0.8308,0.6966,0.8308,singles
bb45f80b-4be3-4b57-9537-9fb899819a9a,California Black Bears,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M,M1,168,1.1974,0.6926,1.1974,singles
bb45f80b-4be3-4b57-9537-9fb899819a9a,California Black Bears,1,MLP San Diego,2026-07-19,20a230ed-e11b-4297-bffe-baa2dfd3e10d,a51b59c5-1a13-4472-821a-eb9866e72adf,Joseph Wild,M,M2,4,0.3823,0.7049,0.7336,imputed
6e6e4897-ccb9-4ea0-8fda-219e79f7a1ab,Carolina Hogs,1,Edward Jones Mid-Season Tournament,2026-07-10,0ed9ef85-08bb-41ec-8af8-0b408a5ca653,a018902f-114c-4519-997c-4fdf52d4a0e1,Abbigal Hatton,F,F1,0,,0.3863,0.3704,imputed
6e6e4897-ccb9-4ea0-8fda-219e79f7a1ab,Carolina Hogs,1,Edward Jones Mid-Season Tournament,2026-07-10,0ed9ef85-08bb-41ec-8af8-0b408a5ca653,5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F,F2,155,0.3678,0.3319,0.3678,singles
6e6e4897-ccb9-4ea0-8fda-219e79f7a1ab,Carolina Hogs,1,Edward Jones Mid-Season Tournament,2026-07-10,0ed9ef85-08bb-41ec-8af8-0b408a5ca653,a9a168ae-7822-4d31-b07b-fba40480c1fc,Brandon French,M,M1,98,1.0429,0.5871,1.0429,singles
6e6e4897-ccb9-4ea0-8fda-219e79f7a1ab,Carolina Hogs,1,Edward Jones Mid-Season Tournament,2026-07-10,0ed9ef85-08bb-41ec-8af8-0b408a5ca653,d45a3391-82f4-45d0-ba66-f1901854a8d0,Darrian Young,M,M2,55,0.4891,0.5220,0.4891,singles
71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,1,Edward Jones Mid-Season Tournament,2026-07-11,7d852b01-61cf-4867-948a-b7e57f21d0f8,29e8121d-6f86-4192-b7af-ab05b77b89fe,Ting Chieh Wei,F,F1,117,0.7984,0.7522,0.7984,singles
71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,1,Edward Jones Mid-Season Tournament,2026-07-11,7d852b01-61cf-4867-948a-b7e57f21d0f8,34270d82-e968-407d-a918-8aa57f0123a6,Elsie Hendershot,F,F2,46,0.1920,0.3731,0.1920,singles
71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,1,Edward Jones Mid-Season Tournament,2026-07-11,7d852b01-61cf-4867-948a-b7e57f21d0f8,e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M,M1,269,1.5029,0.6718,1.5029,singles
71e58382-1a3a-40b2-bcbb-0a391e67c519,Chicago Slice,1,Edward Jones Mid-Season Tournament,2026-07-11,7d852b01-61cf-4867-948a-b7e57f21d0f8,30eb9a2b-1570-473f-8cf1-0f7c9d21b303,Zane Navratil,M,M2,67,1.0035,0.5808,1.0035,singles
3c94cf60-2ab3-4014-9bb2-9ba0357a7392,College All-Stars,0,Edward Jones Mid-Season Tournament,2026-07-10,b18b0f17-bcc7-45c3-88a5-312c62113f17,756a7a13-a3d8-4d89-8afb-e2071ec6dc82,Lauren Mercado,F,F1,2,-0.8618,0.2925,0.2634,imputed
3c94cf60-2ab3-4014-9bb2-9ba0357a7392,College All-Stars,0,Edward Jones Mid-Season Tournament,2026-07-10,b18b0f17-bcc7-45c3-88a5-312c62113f17,481d9fef-ed7a-4fc9-9d19-a4f9b5a57d56,Ella Cosma,F,F2,20,-0.4007,0.0284,-0.4007,singles
3c94cf60-2ab3-4014-9bb2-9ba0357a7392,College All-Stars,0,Edward Jones Mid-Season Tournament,2026-07-10,b18b0f17-bcc7-45c3-88a5-312c62113f17,fdac2a31-cbb1-41bf-aec7-88db9ce139a1,Ryan Morneau,M,M1,8,1.0170,0.5755,0.5861,imputed
3c94cf60-2ab3-4014-9bb2-9ba0357a7392,College All-Stars,0,Edward Jones Mid-Season Tournament,2026-07-10,b18b0f17-bcc7-45c3-88a5-312c62113f17,a97181e0-7832-404d-ac34-fb8346ea2b98,Kallan Arledge,M,M2,8,0.0507,0.1068,0.0518,imputed
b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,F1,247,1.6909,1.1390,1.6909,singles
b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,F2,0,,1.0877,1.1700,imputed
b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,M1,0,,0.9750,1.0415,imputed
b7b1049e-446a-44f8-88ff-865db2298db5,Columbus Sliders,1,MLP San Diego,2026-07-19,fbfc30f2-75a0-4530-aad6-81458f5ebe0a,ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,M2,0,,0.7577,0.7938,imputed
