scenario,team1,team2,t1_win_prob,t2_win_prob,exp_margin_t1,mov_if_t1_wins,mov_if_t2_wins,slot_order,slot_genders,slot1_gender,women_matches_top2
S1,Atlanta Bouncers,Bay Area Breakers,0.6437,0.3563,1.725,5.243,4.630,Jessie Irvine v Kiora Kunimoto | Mari Humberg v Ella Yeh | Jay Devilliers v Len Yang | Jaume Martinez Vich v Blaine Hovenier,WWMM,W,2
S1,Atlanta Bouncers,Brooklyn Pickleball Team,0.4603,0.5397,-0.364,4.882,4.838,Mari Humberg v Jackie Kawamoto | Jaume Martinez Vich v Christopher Haworth | Jessie Irvine v Hannah Blatt | Jay Devilliers v Pesa Teoni,WMWM,W,1
S1,Atlanta Bouncers,California Black Bears,0.4913,0.5087,-0.205,4.740,4.981,Jessie Irvine v Sahra Dennehy | Mari Humberg v Zoey Weil | Jaume Martinez Vich v Pablo Tellez | Jay Devilliers v Joseph Wild,WWMM,W,2
S1,Atlanta Bouncers,Carolina Hogs,0.7823,0.2177,4.093,6.343,3.990,Jessie Irvine v Abbigal Hatton | Mari Humberg v Nicole Conard | Jaume Martinez Vich v Brandon French | Jay Devilliers v Darrian Young,WWMM,W,2
S1,Atlanta Bouncers,Chicago Slice,0.6112,0.3888,1.491,5.321,4.529,Mari Humberg v Ting Chieh Wei | Jaume Martinez Vich v John Lucian Goins | Jay Devilliers v Zane Navratil | Jessie Irvine v Elsie Hendershot,WMMW,W,1
S1,Atlanta Bouncers,Columbus Sliders,0.3776,0.6224,-1.734,4.309,5.400,Jessie Irvine v Parris Todd | Mari Humberg v Tyra Hurricane Black | Jaume Martinez Vich v Andrei Daescu | Jay Devilliers v CJ Klinger,WWMM,W,2
S1,Atlanta Bouncers,Dallas Flash,0.5951,0.4049,1.246,5.224,4.602,Jessie Irvine v Alix Truong | Mari Humberg v Danni-Elle Townsend | Jaume Martinez Vich v JW Johnson | Jay Devilliers v Augustus Ge,WWMM,W,2
S1,Atlanta Bouncers,Florida Smash,0.7521,0.2479,3.555,6.082,4.115,Mari Humberg v Mya Bui | Jaume Martinez Vich v Cason Campbell | Jessie Irvine v Paula Rives | Jay Devilliers v Christopher Crouch,WMWM,W,1
S1,Atlanta Bouncers,Las Vegas Night Owls,0.4848,0.5152,-0.153,4.851,4.862,Jessie Irvine v Chao Yi Wang | Mari Humberg v Callie Smith | Jaume Martinez Vich v Roscoe Bellamy | Jay Devilliers v Clayton Powell,WWMM,W,2
S1,Atlanta Bouncers,Los Angeles Mad Drops,0.2780,0.7220,-3.056,4.153,5.831,Jessie Irvine v Catherine Parenteau | Mari Humberg v Jade Kawamoto | Jaume Martinez Vich v Ben Johns | Jay Devilliers v Max Freeman,WWMM,W,2
S1,Atlanta Bouncers,Miami Pickleball Club,0.5026,0.4974,0.032,4.880,4.866,Jessie Irvine v Isabella Dunlap | Mari Humberg v Estee Widdershoven | Jaume Martinez Vich v Dylan Frazier | Jay Devilliers v Yuta Funemizu,WWMM,W,2
S1,Atlanta Bouncers,New Jersey 5s,0.1799,0.8201,-4.840,3.589,6.690,Jessie Irvine v Anna Leigh Waters | Mari Humberg v Jorja Johnson | Jay Devilliers v Will Howells | Jaume Martinez Vich v Noe Khlif,WWMM,W,2
