match_id,game_number,ra_pre,wa_pre,rb_pre,wb_pre,ra_post,wa_post,rb_post,wb_post
00199ec4-0f98-4909-affe-35823a3ff511,3,7,6,3,1,6,5,0,0
00209021-0a75-4d7d-9ff7-e2405889f658,1,11,6,8,3,10,5,9,3
00441970-c390-4f18-a91d-6e08d1721f92,3,5,1,9,6,6,2,10,5
004baac6-c6ff-4676-a163-9bc65ff727ff,3,9,6,4,1,6,1,14,10
004ea030-e956-413f-9545-8ad762ec0848,3,11,6,10,5,7,5,3,1
00536dcb-0a05-4c15-8c90-3a55846232c7,3,10,6,5,1,9,5,4,0
0053f5d8-31d3-494d-b096-6c8d13a5722d,3,8,2,12,6,14,6,13,5
005484c9-e189-4f77-9a61-d18d424c3f29,1,9,6,4,1,13,6,17,9
00570d46-d809-4191-a8f8-a70af6b021f2,3,7,3,10,6,9,5,8,5
00758b90-a89a-4b98-9c4e-c7f9ccba79a4,3,8,6,4,2,11,3,15,9
00782288-3c46-44b8-8c84-2de6fc0044fa,3,10,4,11,6,9,3,11,5
0084690d-91e1-40a5-862d-b9c30f918b86,1,9,4,11,6,5,1,9,5
0097f037-e9a9-4f1c-b580-41845743af77,3,4,0,9,6,5,1,9,5
009913ae-fc9f-4025-ba98-abee42aa1880,3,7,6,1,0,10,5,6,2
009a9be1-a46c-4cf6-883a-ebc640468d2b,1,16,6,16,5,9,5,7,2
00a15862-1dd5-4f78-9403-e9b60e1f1be9,3,4,0,9,6,9,5,10,5
00a57de4-08a1-4d81-8fd6-741fd49fe2d4,3,8,6,2,0,12,4,13,5
00aea8cb-0beb-4b9c-8db0-50320c005598,3,9,6,5,1,7,2,5,0
00b45b65-2af6-4b5a-9a2a-6b6f8d35da1d,3,10,6,7,3,8,5,5,1
00d558df-77e4-47fe-ad80-c0def653329c,1,9,3,12,6,12,8,8,3
00e098fc-56c5-446e-a412-ad0529e935a8,3,15,4,16,6,9,3,12,5
00f04bf0-313e-4c3f-b667-be60c87f9a20,3,12,6,9,2,9,5,6,2
00f72059-c2a9-4e34-bdab-7fae80aa683c,1,12,6,12,5,6,0,11,6
00f839b5-3523-4582-8744-af8869b5455d,3,10,5,11,6,10,4,12,5
0106c0db-dc23-4716-8528-01876688d868,3,14,6,11,3,8,5,5,1
010eb9d8-6bc2-4ad2-814d-c56ad64262c6,3,10,1,14,6,18,10,11,3
0131605e-1072-44ee-91e2-a6eff504bcbf,1,11,5,11,6,15,7,14,4
01479881-be09-411e-9571-a89dab8babb9,3,11,5,11,6,7,3,10,5
014f9127-38ba-40f1-b056-a96488ebd110,1,8,2,12,6,7,3,9,5
0152a94a-7146-41ce-b433-3a7f3d299a5d,1,6,0,11,6,8,2,11,5
019b520d-4fc5-421e-bb3d-bd34d9847124,3,18,6,16,4,6,5,0,0
01a0569e-92a0-4867-a1aa-e064eb531894,3,9,6,4,1,22,9,28,12
01a4defc-0841-4beb-9a5b-e05c3a91a7de,1,14,6,10,2,9,6,12,8
01af8320-40db-4459-b8ab-8f83917df07b,1,2,0,7,6,10,3,12,5
01bfebfc-16ad-442f-97ec-c548f052506e,1,17,5,17,6,3,1,7,5
01cee61f-bbff-41ca-a334-d47a279e4e42,1,9,6,5,1,7,5,2,0
01e13e8e-12f3-4ceb-bd10-fe95fb575cb9,3,10,6,5,1,8,5,7,3
01e2e357-9e5e-4c16-a467-a994c439a562,3,9,6,4,1,8,5,11,7
01e3c657-f231-4c5b-8b4e-1024b74dcc82,3,10,4,11,6,7,3,10,5
01f8a88b-65af-47ea-a1f3-881c59c5b149,1,6,3,9,6,9,3,11,5
01f9fe1e-c568-466e-af24-195ed8cca3b9,3,15,6,8,4,8,3,11,7
020354a4-b548-433e-b67c-f55a5de319e3,1,10,5,5,1,7,5,2,0
0208e234-b78d-4981-9739-525c2924ab90,3,12,6,8,1,10,5,8,4
021b9ee2-5c34-468e-a21e-e19800bd5310,3,5,2,8,6,11,5,11,5
02202e32-0f99-4b79-9908-d66b852d995b,1,9,6,4,1,7,5,4,2
0230ea25-73d9-4a8e-ad3d-d80405ba6b3a,3,12,3,15,6,6,2,9,5
0234785c-c106-4730-991f-f83bd9ae8c11,3,14,5,14,6,17,2,19,5
02369cd7-abed-4c35-8ed5-350151502ea4,3,9,6,7,3,9,3,13,8
02383fb7-8ecc-4716-a301-fa703b860002,3,1,0,7,6,6,2,9,5
0242c69d-1b47-4432-8c81-5ff0823e6fb6,3,12,6,8,1,10,5,9,3
024fdab0-ede0-433b-adec-eab73977efe7,3,9,6,7,3,11,5,7,1
026a369c-c947-4520-abbe-fba67e762247,3,5,0,11,6,8,4,10,5
02806a39-7731-4729-b61e-718cacb6b242,3,9,6,5,1,7,5,2,0
028b7abf-f7b8-4b17-a240-8394b2f87d22,1,10,1,15,6,2,0,6,5
02914020-aa09-421e-aaa7-16dcb52f5647,3,14,6,14,5,18,8,18,7
02c44b3d-736b-4d8b-9edf-1f6eea7ce5ab,3,12,6,9,4,9,5,6,2
02df32dd-60bd-4900-80ec-c9000e44b51e,3,17,6,12,1,9,5,6,2
