context,date,event_id,event_name,game,match_id,reason,stage,tour
womens,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,f310d335-41e7-4df9-98bc-d180a0dd0fb8,match not completed (status=1),Round 4 L1,MLP
mens,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,da5b87dc-4bab-49e8-a8e8-5da17a587e2d,match not completed (status=1),Round 4 L1,MLP
mixed,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,f7cef37d-41be-4dcf-b99a-5f8e260e270c,match not completed (status=1),Round 4 L1,MLP
mixed,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,ad41a907-6d86-45ea-9298-08e302bcca10,match not completed (status=1),Round 4 L1,MLP
mixed,2026-07-09,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,3848f0b3-4865-49b5-8872-a492b3a476e8,no played games (forfeit/walkover),Round 16 W,MLP
,2026-06-11,9df489ec-31ac-4bd8-9df7-4fe508439d71,MLP Austin,,0586df70-baec-4c2d-828d-5ccb1ec4434f,bye matchup (no opponent),,MLP
,2026-05-22,940a7fb0-6fd9-4747-93c5-b7f8f46b1e5e,MLP Dallas,,0a1110ff-4c7c-46e5-b8d2-06fd36aac321,bye matchup (no opponent),,MLP
,2026-05-22,940a7fb0-6fd9-4747-93c5-b7f8f46b1e5e,MLP Dallas,,0cb0af37-62ec-4044-b016-4edac6b89bfb,bye matchup (no opponent),,MLP
,2026-05-28,5e469584-e821-4b40-bccd-3b1fa54a2e05,MLP Columbus,,119b8e93-d7c5-42a9-8a4e-75dda5887f5a,bye matchup (no opponent),,MLP
,2026-06-11,9df489ec-31ac-4bd8-9df7-4fe508439d71,MLP Austin,,128cf0e7-f95f-411c-9a4b-c8b309755054,bye matchup (no opponent),,MLP
,2026-06-17,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,,13961c84-2ebc-4907-b64b-1f169e207c4f,bye matchup (no opponent),,MLP
,2026-06-17,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,,257ae627-bfcb-4b1a-9254-6031a59e707e,bye matchup (no opponent),,MLP
,2026-06-11,9df489ec-31ac-4bd8-9df7-4fe508439d71,MLP Austin,,28a4ca80-f1d1-4d7b-b537-a182a4e8a623,bye matchup (no opponent),,MLP
,2026-06-11,9df489ec-31ac-4bd8-9df7-4fe508439d71,MLP Austin,,29b11fc6-0a6a-46aa-b501-6a2ae3f8a16a,bye matchup (no opponent),,MLP
mixed,2026-06-28,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,,0be4d9da-3aaa-4c76-9284-15f7e2b77bda,no played games (forfeit/walkover),Round 1 RR,MLP
mixed,2026-05-31,5e469584-e821-4b40-bccd-3b1fa54a2e05,MLP Columbus,,2960fddd-778d-4124-8fec-f19d58b80a54,no played games (forfeit/walkover),One and Done - Playoff W,MLP
,2026-05-22,940a7fb0-6fd9-4747-93c5-b7f8f46b1e5e,MLP Dallas,,38ccb419-ab51-438c-a15e-1bc6b2928c76,bye matchup (no opponent),,MLP
,2026-06-25,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,,3ad90512-1138-48e2-b7c2-5c0e0af22b69,bye matchup (no opponent),,MLP
,2026-06-25,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,,3aebdae7-a874-461e-a713-a9b5d7f1a9de,bye matchup (no opponent),,MLP
mixed,2026-07-08,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,e03489cd-d506-42d6-9266-83032d328c5f,no played games (forfeit/walkover),Round 32 W,MLP
,2026-05-28,5e469584-e821-4b40-bccd-3b1fa54a2e05,MLP Columbus,,3bc000d9-458c-455e-a81e-7864249f9a5f,bye matchup (no opponent),,MLP
mixed,2026-07-11,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,6d757f70-2ed2-4e26-b7f7-f92271dbc3c9,no played games (forfeit/walkover),Quarter Finals W,MLP
womens,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,a8dc2a82-acd4-4484-924b-adf0f4fc606b,match not completed (status=1),Round 5 L1,MLP
mens,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,6243f123-f94c-4746-baee-c20a109de0d5,match not completed (status=1),Round 5 L1,MLP
mixed,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,2f946038-6332-404c-a9e9-f5e13a479a5d,match not completed (status=1),Round 5 L1,MLP
mixed,2026-07-12,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,692d1256-6fc5-4160-8ca9-54b56a070ef2,match not completed (status=1),Round 5 L1,MLP
mixed,2026-07-09,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,9de36581-9ee4-4eb7-8d31-fecd779048ee,no played games (forfeit/walkover),Round 1 L1,MLP
,2026-06-04,24053d7f-1e91-454a-8e57-e13c51fc32ac,MLP St. Louis,,46026cf4-1f2a-4a1d-b202-2b74b3adcc07,bye matchup (no opponent),,MLP
mixed,2026-07-09,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,,3a435232-0fa9-43c6-b819-2ed4b1da30d0,no played games (forfeit/walkover),Round 16 W,MLP
mixed,2026-06-21,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,,247627f1-1a20-4769-a0b6-0fc4661e2527,no played games (forfeit/walkover),One and Done - Playoff W,MLP
