event_id,date,temperature_2m_max,temperature_2m_min,apparent_temperature_max,precipitation_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,cloudcover_mean,relative_humidity_2m_mean
ef4961bd-7c82-4c60-8181-ec81e778ce68,2024-01-09,56.5,47.6,48.4,0.0,4.3,11.2,134,18,15
ef4961bd-7c82-4c60-8181-ec81e778ce68,2024-01-10,60.8,49.2,52.5,0.0,8.5,18.6,87,4,33
ef4961bd-7c82-4c60-8181-ec81e778ce68,2024-01-11,65.2,48.1,57.0,0.0,10.0,20.1,41,32,37
ef4961bd-7c82-4c60-8181-ec81e778ce68,2024-01-12,58.3,41.4,51.4,0.0,5.6,11.6,329,20,24
ef4961bd-7c82-4c60-8181-ec81e778ce68,2024-01-13,60.9,50.2,55.9,0.0,3.6,10.5,78,42,27
ef4961bd-7c82-4c60-8181-ec81e778ce68,2024-01-14,65.8,54.0,59.2,0.0,9.0,18.6,90,35,35
3692157a-7dbf-45c1-a449-0a19923fb90b,2024-01-31,74.9,51.0,73.1,0.0,9.9,15.9,89,34,53
3692157a-7dbf-45c1-a449-0a19923fb90b,2024-02-01,75.7,54.3,66.9,0.335,19.6,30.9,166,65,52
3692157a-7dbf-45c1-a449-0a19923fb90b,2024-02-02,58.0,46.0,50.8,0.701,14.9,23.3,218,60,80
3692157a-7dbf-45c1-a449-0a19923fb90b,2024-02-03,59.0,43.3,53.7,0.0,8.1,13.4,189,8,72
3692157a-7dbf-45c1-a449-0a19923fb90b,2024-02-04,63.1,43.7,57.6,0.0,9.3,15.0,84,30,59
08e9832a-d061-4e90-aaac-453eda53a50d,2024-02-20,76.3,49.7,71.1,0.0,8.4,14.8,125,66,40
08e9832a-d061-4e90-aaac-453eda53a50d,2024-02-21,70.8,49.9,66.6,0.0,9.5,19.9,188,44,45
08e9832a-d061-4e90-aaac-453eda53a50d,2024-02-22,71.4,49.7,68.4,0.0,5.8,14.1,11,32,54
08e9832a-d061-4e90-aaac-453eda53a50d,2024-02-23,77.2,48.0,72.1,0.0,5.8,10.3,64,69,44
08e9832a-d061-4e90-aaac-453eda53a50d,2024-02-24,78.6,50.7,74.4,0.0,5.7,10.3,82,99,43
08e9832a-d061-4e90-aaac-453eda53a50d,2024-02-25,80.6,52.3,76.6,0.0,5.9,10.3,112,99,44
cfc270b2-59e0-4b68-ae6f-9504e63c89e7,2024-03-06,50.7,27.5,40.0,0.0,13.2,24.8,138,48,44
cfc270b2-59e0-4b68-ae6f-9504e63c89e7,2024-03-07,48.2,30.7,42.9,0.0,11.6,22.1,343,77,50
cfc270b2-59e0-4b68-ae6f-9504e63c89e7,2024-03-08,38.7,24.2,28.6,0.0,12.2,23.5,343,68,53
cfc270b2-59e0-4b68-ae6f-9504e63c89e7,2024-03-09,38.7,19.9,28.7,0.0,12.1,24.4,324,8,53
cfc270b2-59e0-4b68-ae6f-9504e63c89e7,2024-03-10,48.7,20.3,39.6,0.0,9.8,16.8,176,24,44
f3082b63-bea9-47c6-8554-6e7fa6fb72d5,2024-03-13,82.1,62.3,84.2,0.0,13.1,25.1,174,53,80
f3082b63-bea9-47c6-8554-6e7fa6fb72d5,2024-03-15,75.9,63.1,77.0,0.118,12.7,25.7,59,87,86
f3082b63-bea9-47c6-8554-6e7fa6fb72d5,2024-03-16,69.6,60.1,74.2,0.5,8.3,17.4,57,100,90
f3082b63-bea9-47c6-8554-6e7fa6fb72d5,2024-03-17,65.6,57.7,66.4,0.276,10.9,23.0,9,97,91
f3082b63-bea9-47c6-8554-6e7fa6fb72d5,2024-03-18,64.0,50.2,59.7,0.008,10.9,24.2,40,74,55
e127a7a0-2fa6-4c82-9054-e4cc4343932f,2024-04-01,81.0,57.6,80.5,0.0,8.8,21.0,229,94,65
e127a7a0-2fa6-4c82-9054-e4cc4343932f,2024-04-02,83.3,63.3,83.0,0.0,13.7,30.4,216,95,69
e127a7a0-2fa6-4c82-9054-e4cc4343932f,2024-04-03,75.1,56.6,72.7,0.228,19.0,45.9,212,70,68
e127a7a0-2fa6-4c82-9054-e4cc4343932f,2024-04-04,56.5,45.4,46.6,0.0,16.8,34.7,268,34,45
e127a7a0-2fa6-4c82-9054-e4cc4343932f,2024-04-05,59.5,40.4,53.8,0.0,12.8,28.9,300,39,49
