context,date,event_id,event_name,game_id,reason,score,stage,tour
womens,2026-06-21,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,24f4d273-9282-4276-8606-4b71e4ada3ab:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
mixed,2026-06-21,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,4dd70625-e227-4cda-b87b-b50cdf87e05c:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
mixed,2026-06-21,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,660ccff2-bfd4-446d-946e-d21405c68913:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
mens,2026-07-10,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,c70058f6-46ef-4322-9801-f2547fdddf38:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 1 L1,MLP
mixed,2026-07-10,7c8e927f-13f3-4073-8871-4aaeb68d511b,Edward Jones Mid-Season Tournament,5ca7edc4-06b6-4aa5-9e4c-4b580be4d78a:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 1 L1,MLP
mens,2026-06-21,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,cdc7ec44-d623-407f-a0be-2eac2f72a01c:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
mixed,2026-06-21,fdea9cee-bdd5-4cff-9c9f-1e2050c1c05f,MLP St. Petersburg,9ac1d2d7-98ce-463f-ae80-dd9531586b2c:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
womens,2026-06-28,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,50710e12-6ca1-45af-872d-fa336e2426d2:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 1 RR,MLP
mens,2026-06-28,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,98c1f2de-aef8-4bea-923a-891af3be9d45:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 1 RR,MLP
mixed,2026-06-28,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,395865fa-b93c-46df-8a94-a0149c6ffa0a:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 1 RR,MLP
mens,2026-05-24,940a7fb0-6fd9-4747-93c5-b7f8f46b1e5e,MLP Dallas,b3273cab-e093-40d9-9575-98117d9ade45:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 2 RR,MLP
mixed,2026-05-24,940a7fb0-6fd9-4747-93c5-b7f8f46b1e5e,MLP Dallas,dcaa7841-362f-4a21-b8af-eca168d4c490:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 2 RR,MLP
mens,2026-06-14,9df489ec-31ac-4bd8-9df7-4fe508439d71,MLP Austin,c4f53d7b-2321-43e0-be11-cbeeff5c4b67:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
mixed,2026-06-14,9df489ec-31ac-4bd8-9df7-4fe508439d71,MLP Austin,f8954448-8122-4587-9e0f-540b0f6ae9ea:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,One and Done - Playoff W,MLP
womens,2026-06-26,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,1dcc30fa-4f42-454a-8bb5-e352ed73ce8b:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 4 RR,MLP
mixed,2026-06-26,39695d6b-c680-4ee8-82a0-51e03901f6f5,MLP New York,49c53243-2848-47bc-8997-78ebf717f88b:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 4 RR,MLP
mixed,2026-05-24,940a7fb0-6fd9-4747-93c5-b7f8f46b1e5e,MLP Dallas,363fbc32-db21-4a06-b5fb-60a9dc9c15dc:g1,mid-match player swap recorded — listed lineup may not have played the whole game,,Round 5 RR,MLP
