team,player_id,full_name,gender,site_name,mlp_uuid,fetched
Atlanta Bouncers,295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,Jay Devilliers,234e41ec-ec8c-4c77-a618-a4b2c2e66477,2026-07-30
Atlanta Bouncers,8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,Jessie Irvine,10ff6f03-9d4e-4439-a746-6cf1bebd2071,2026-07-30
Atlanta Bouncers,aec5d8be-9ce0-4cc5-98a4-140fad555fe0,Donald Young,M,Donald Young,c77e4ffe-6442-43ec-bb2a-52db6f3afe36,2026-07-30
Atlanta Bouncers,b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,Mari Humberg,eef7e68f-987a-474c-b4d4-1fc7d77cad83,2026-07-30
Atlanta Bouncers,c3012322-e95e-4e38-a0d8-106f9e236869,Keilly Ulery,F,Keilly Ulery,dde0232a-4271-4430-9022-d1b894909593,2026-07-30
Atlanta Bouncers,cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jaume Martinez Vich,M,Jaume Martinez Vich,79b8360d-9cb9-4b85-b7eb-9ba00c97cd87,2026-07-30
Bay Area Breakers,25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F,Ella Yeh,8ef18cce-3285-4bc7-957b-eae7b1f94df6,2026-07-30
Bay Area Breakers,2856d69d-887b-4e89-a5c9-975f581f84a0,Len Yang,M,Len Yang,8d89024f-8e99-4e50-bb61-50c0d5b6d385,2026-07-30
Bay Area Breakers,4057f30d-d42a-4189-a158-11576fb5f52a,Blaine Hovenier,M,Blaine Hovenier,b48302da-8225-4d00-b918-f1bcedd95dd8,2026-07-30
Bay Area Breakers,461f063e-a587-4638-bad9-421ff33d91d7,Genie Erokhina,F,Genie Erokhina,565d7520-640a-444b-b3ea-3a753ce959ab,2026-07-30
Bay Area Breakers,a95df9a8-772c-4dbf-8c28-e200b7308584,Kiora Kunimoto,F,Kiora Kunimoto,3e871809-2772-41a2-9b39-f24aa3447431,2026-07-30
Bay Area Breakers,ecd31a05-120f-4373-b5c1-21136f8f0bf1,Braden Jacobson,M,Braden Jacobson,e28d840f-3ad6-4986-b82c-b24b0fb1eadd,2026-07-30
Brooklyn Pickleball Team,05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,Riley Newman,97cad99a-cbcd-4222-8b05-f6312752cf09,2026-07-30
Brooklyn Pickleball Team,25a6f570-d617-427a-9fc4-3bf6115a9a84,Hannah Blatt,F,Hannah Blatt,d0cf0aa5-a9c2-44b0-b34b-442e1b1ee106,2026-07-30
Brooklyn Pickleball Team,50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,Rachel Rohrabacher,b126d31a-cea0-4341-9886-42b6de469cdc,2026-07-30
Brooklyn Pickleball Team,79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,Christian Alshon,3fa395f8-3969-45a9-8d24-2c6b91f6ecf0,2026-07-30
Brooklyn Pickleball Team,a91e2b68-7357-4518-baf9-f59b0b4c2477,Christopher Haworth,M,Christopher Haworth,7c1cca81-e664-469e-9805-472dd558d00d,2026-07-30
Brooklyn Pickleball Team,be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,Jackie Kawamoto,9c5920cd-6532-43f8-9b07-be9e596fa7a1,2026-07-30
