team,player_id,full_name,gender,role,note
New Jersey 5s,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,Anna Leigh Waters,F,starter,
New Jersey 5s,b51ea0fb-c243-4427-85f8-b798febb51ff,Jorja Johnson,F,starter,
New Jersey 5s,7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,starter,
New Jersey 5s,1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,Noe Khlif,M,starter,
New Jersey 5s,d0f19d1e-2a6e-4eb3-b10c-1311edd599a8,Will Howells,M,bench,
New Jersey 5s,eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,bench,arrived with Staksrud in the deadline trade from Orlando; no MLP match played yet
St. Louis Shock,db5eef5c-99dd-49d9-bbfc-65171a366bda,Anna Bright,F,starter,
St. Louis Shock,3af01041-5679-400a-87b8-12c01db8cec4,Kate Fahey,F,starter,
St. Louis Shock,fc05556e-3e38-4a38-99c2-f855174a7c28,Hayden Patriquin,M,starter,
St. Louis Shock,d50310a6-9378-4228-823f-7fb54f7bd698,Gabriel Tardio,M,starter,
St. Louis Shock,8160ad59-4654-46b1-b229-8d5f2a9a45f9,Hunter Johnson,M,bench,2026-06-24 four-team trade CHI->STL; no match played yet
St. Louis Shock,5f367bee-cf3e-4aad-a6e6-72cca04d97e2,Angie Walker,F,bench,2026-06-24 trade TEX->STL; no match played yet
Los Angeles Mad Drops,6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,starter,
Los Angeles Mad Drops,9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,starter,
Los Angeles Mad Drops,6f862c1d-1317-4fe7-bdcd-64caa0dbb088,Ben Johns,M,starter,
Los Angeles Mad Drops,ff38654d-daae-4bad-a1a7-690e4e5706eb,Connor Garnett,M,starter,
Los Angeles Mad Drops,6794d224-7da3-43d9-8300-e24e731f5dea,Samantha Parker,F,bench,
Los Angeles Mad Drops,b03ff4de-9b8f-46a8-a530-d8f19e9d6ec9,Max Freeman,M,bench,
Columbus Sliders,1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,starter,
Columbus Sliders,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,starter,
Columbus Sliders,581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,starter,
Columbus Sliders,ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,starter,
Columbus Sliders,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F,bench,
Columbus Sliders,a9782e86-e5ae-46d3-9194-ac89fdaed622,Alexander Crum,M,bench,
Brooklyn Pickleball Team,50908953-a944-4a34-898b-16af312bc814,Rachel Rohrabacher,F,starter,
Brooklyn Pickleball Team,be33755f-9262-461b-aedd-e9a7a686a82c,Jackie Kawamoto,F,starter,
Brooklyn Pickleball Team,79a11da1-6aeb-4719-9b1e-9918e0163cec,Christian Alshon,M,starter,
Brooklyn Pickleball Team,05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M,starter,
Brooklyn Pickleball Team,a91e2b68-7357-4518-baf9-f59b0b4c2477,Christopher Haworth,M,bench,
Brooklyn Pickleball Team,25a6f570-d617-427a-9fc4-3bf6115a9a84,Hannah Blatt,F,bench,"the only bench woman, and has started WD in 12 of the last 13 matchups"
Dallas Flash,2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,starter,
Dallas Flash,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,starter,
Dallas Flash,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,starter,
Dallas Flash,ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,starter,
Dallas Flash,06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,Brooke Buckner,F,bench,
Dallas Flash,614e164a-4197-44eb-855c-586cf79fbfc9,Ivan Jakovljevic,M,bench,
Palm Beach Royals,f879086b-e0e5-4772-b0a6-4055c265da69,Tina Pisnik,F,starter,
Palm Beach Royals,b9bacc1e-29b5-4a92-a9c1-24e08ac72215,Sofia Sewing,F,starter,
Palm Beach Royals,89843e44-48fd-4a3f-b8c0-5f5aa6ae5741,Dekel Bar,M,starter,
Palm Beach Royals,cd1bf109-4907-4208-bca1-4d12f9494a4c,Casey Diamond,M,starter,
Palm Beach Royals,dbcb41e9-e983-410b-bc23-d184d034cfc0,Tyson McGuffin,M,bench,"outranks starter Diamond on value; sat out the whole Dallas weekend, not on IR"
Palm Beach Royals,435e466e-22c7-4917-8cb4-ff45bbccde19,Tamaryn Emmrich,F,bench,
Texas Ranchers,7319013d-d511-4aa5-a356-4aa2cccf94f5,Lea Jansen,F,starter,
Texas Ranchers,66a6c35b-33a2-4a23-b5db-fa53c96d643a,Kaitlyn Christian,F,starter,
Texas Ranchers,52690a0c-ed4a-4e0b-bf69-4ef416cf7d55,Eric Oncins,M,starter,
Texas Ranchers,a000a067-1bf1-442f-a961-e6c97cb50006,Nicolas Acevedo,M,starter,
Texas Ranchers,55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,Layne Sleeth,F,bench,"outranks starter Christian on value; shoulder injury (sling at MLP Austin), last played 2026-06-20"
Texas Ranchers,06ba18e0-687b-4aa3-822d-1c86981f576b,Rafa Hewett,M,bench,
