game_id,margin,a1,a2,a3,a4,dyad1,dyad2,match_idx,ctx_idx,tour_idx,best_of,game_number,event_name,date,stage
0286d25b-7db9-4b08-91ec-573c173188c0:g1,9,0,1,2,3,0,1,0,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
0286d25b-7db9-4b08-91ec-573c173188c0:g2,2,0,1,2,3,0,1,0,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
04297961-d760-4714-be74-b71a28d8f5dc:g1,6,4,5,6,7,2,3,1,1,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
04297961-d760-4714-be74-b71a28d8f5dc:g2,7,4,5,6,7,2,3,1,1,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
089c1979-9df6-4a05-adc7-8dfdf44c40c6:g1,-2,8,9,10,11,4,5,2,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
089c1979-9df6-4a05-adc7-8dfdf44c40c6:g2,-2,8,9,10,11,4,5,2,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
0af33305-ea3b-45c5-87d5-d8f1bab59283:g1,3,12,13,14,15,6,7,3,2,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
0af33305-ea3b-45c5-87d5-d8f1bab59283:g2,8,12,13,14,15,6,7,3,2,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
0c7ddfd1-1b50-4d22-a8d2-929bf473654e:g1,8,16,17,18,19,8,9,4,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
0c7ddfd1-1b50-4d22-a8d2-929bf473654e:g2,8,16,17,18,19,8,9,4,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
1027c4da-fa13-4032-bd72-f58caccd887d:g1,8,20,21,22,23,10,11,5,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
1027c4da-fa13-4032-bd72-f58caccd887d:g2,4,20,21,22,23,10,11,5,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
110d48c9-f223-4b0c-9a66-560c704dd89c:g1,4,24,25,26,27,12,13,6,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
110d48c9-f223-4b0c-9a66-560c704dd89c:g2,2,24,25,26,27,12,13,6,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
11a2d7e0-1ae2-4e70-b896-745226d879fc:g1,8,28,29,30,31,14,15,7,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
11a2d7e0-1ae2-4e70-b896-745226d879fc:g2,-5,28,29,30,31,14,15,7,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
11a2d7e0-1ae2-4e70-b896-745226d879fc:g3,-2,28,29,30,31,14,15,7,0,1,3,3,PPA Tour: Masters,2025-01-06,Qualifier — Round 64
13ca42f5-75ec-40e9-a2d9-1a984cdd410c:g1,10,32,33,34,35,16,17,8,1,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
