game_id,margin,a1,a2,a3,a4,dyad1,dyad2,match_idx,ctx_idx,tour_idx,best_of,game_number,event_name,date,stage
089c1979-9df6-4a05-adc7-8dfdf44c40c6:g1,-2,0,1,2,3,0,1,0,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
089c1979-9df6-4a05-adc7-8dfdf44c40c6:g2,-2,0,1,2,3,0,1,0,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
0c7ddfd1-1b50-4d22-a8d2-929bf473654e:g1,8,4,5,6,7,2,3,1,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
0c7ddfd1-1b50-4d22-a8d2-929bf473654e:g2,8,4,5,6,7,2,3,1,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
2de46c85-ef36-4ccb-86ab-3433974c5fc9:g1,-4,8,9,10,11,4,5,2,2,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
2de46c85-ef36-4ccb-86ab-3433974c5fc9:g2,-7,8,9,10,11,4,5,2,2,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 16
82fc2f9e-78d4-4147-a2da-14ad623c4737:g1,-5,12,13,14,15,6,7,3,0,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
82fc2f9e-78d4-4147-a2da-14ad623c4737:g2,-9,12,13,14,15,6,7,3,0,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
86bede01-b4b9-4858-851f-ebc77b91e16c:g1,2,16,3,17,18,8,9,4,1,1,3,1,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
86bede01-b4b9-4858-851f-ebc77b91e16c:g2,6,16,3,17,18,8,9,4,1,1,3,2,PPA Tour: Masters,2025-01-06,Qualifier — Round 32
0be6d63a-4659-4638-a72e-5c35b9ecabfe:g1,2,19,20,21,9,10,11,5,0,1,3,1,PPA Tour: Masters,2025-01-07,Round 64
0be6d63a-4659-4638-a72e-5c35b9ecabfe:g2,5,19,20,21,9,10,11,5,0,1,3,2,PPA Tour: Masters,2025-01-07,Round 64
0f46b768-f22c-4e6d-8fbb-ed598b512eb4:g1,7,22,23,24,25,12,13,6,0,1,3,1,PPA Tour: Masters,2025-01-07,Round 64
0f46b768-f22c-4e6d-8fbb-ed598b512eb4:g2,4,22,23,24,25,12,13,6,0,1,3,2,PPA Tour: Masters,2025-01-07,Round 64
16389312-1a7d-4850-83c7-45754bc08d2b:g1,2,26,27,28,29,14,15,7,0,1,3,1,PPA Tour: Masters,2025-01-07,Round 64
16389312-1a7d-4850-83c7-45754bc08d2b:g2,7,26,27,28,29,14,15,7,0,1,3,2,PPA Tour: Masters,2025-01-07,Round 64
21b7c49e-b9da-44ec-853d-6bb2e6e83338:g1,-2,30,31,32,33,16,17,8,2,1,3,1,PPA Tour: Masters,2025-01-07,Qualifier — Round 16
21b7c49e-b9da-44ec-853d-6bb2e6e83338:g2,-9,30,31,32,33,16,17,8,2,1,3,2,PPA Tour: Masters,2025-01-07,Qualifier — Round 16
3561a752-472a-4108-8818-23122f02054d:g1,10,34,35,36,37,18,19,9,0,1,3,1,PPA Tour: Masters,2025-01-07,Round 64
3561a752-472a-4108-8818-23122f02054d:g2,9,34,35,36,37,18,19,9,0,1,3,2,PPA Tour: Masters,2025-01-07,Round 64
3cfa3c93-fc87-42c9-8b98-535aca6bdd8d:g1,-6,38,39,40,41,20,21,10,0,1,3,1,PPA Tour: Masters,2025-01-07,Round 64
3cfa3c93-fc87-42c9-8b98-535aca6bdd8d:g2,3,38,39,40,41,20,21,10,0,1,3,2,PPA Tour: Masters,2025-01-07,Round 64
