game_id,margin,a1,a2,a3,a4,dyad1,dyad2,match_idx,ctx_idx,tour_idx,best_of,game_number,event_name,date,stage
3c47f74e-3fea-4c0c-8cd3-7876358c389e:g1,7,0,1,2,3,0,1,0,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
3c47f74e-3fea-4c0c-8cd3-7876358c389e:g2,4,0,1,2,3,0,1,0,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
3d2f509a-ac14-4303-86d0-8127057c48a4:g1,7,4,5,6,7,2,3,1,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
3d2f509a-ac14-4303-86d0-8127057c48a4:g2,8,4,5,6,7,2,3,1,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
3f631e50-b72a-42e5-8b40-8b89d778069b:g1,5,8,9,10,11,4,5,2,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
3f631e50-b72a-42e5-8b40-8b89d778069b:g2,3,8,9,10,11,4,5,2,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
468e2e8c-2fec-4130-af08-021ea84f6f4b:g1,7,12,13,14,15,6,7,3,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Finals
468e2e8c-2fec-4130-af08-021ea84f6f4b:g2,2,12,13,14,15,6,7,3,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Finals
57162512-45fe-4f27-9218-449834512aa8:g1,-2,0,1,16,17,0,8,4,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
57162512-45fe-4f27-9218-449834512aa8:g2,-7,0,1,16,17,0,8,4,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
7379f6b7-53cd-4e27-a09d-b482c4ebcc1b:g1,-6,8,9,18,19,4,9,5,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Bronze
7379f6b7-53cd-4e27-a09d-b482c4ebcc1b:g2,-8,8,9,18,19,4,9,5,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Bronze
77116e72-66df-4258-94a5-5aa47aad5daa:g1,-3,18,19,12,13,9,6,6,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
77116e72-66df-4258-94a5-5aa47aad5daa:g2,-5,18,19,12,13,9,6,6,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
7cd1e462-05c2-4982-8e0b-c8f1c3a395f4:g1,5,14,15,8,9,7,4,7,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
7cd1e462-05c2-4982-8e0b-c8f1c3a395f4:g2,-2,14,15,8,9,7,4,7,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
7cd1e462-05c2-4982-8e0b-c8f1c3a395f4:g3,4,14,15,8,9,7,4,7,2,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-10,Semi-Finals
9654f9a2-b58d-4572-bd49-aebf4b515e0c:g1,-5,12,13,20,21,6,10,8,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
9654f9a2-b58d-4572-bd49-aebf4b515e0c:g2,2,12,13,20,21,6,10,8,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
9654f9a2-b58d-4572-bd49-aebf4b515e0c:g3,6,12,13,20,21,6,10,8,2,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
a4d15f0e-781d-4dd1-a94b-058c727bed37:g1,-2,22,23,24,25,11,12,9,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
a4d15f0e-781d-4dd1-a94b-058c727bed37:g2,8,22,23,24,25,11,12,9,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
a4d15f0e-781d-4dd1-a94b-058c727bed37:g3,8,22,23,24,25,11,12,9,2,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
b2501855-85af-49a2-ac01-9defc2084dd3:g1,8,16,17,26,27,8,13,10,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
b2501855-85af-49a2-ac01-9defc2084dd3:g2,2,16,17,26,27,8,13,10,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
b9c37c48-b619-469c-bb22-a53040751f3b:g1,-5,16,17,28,29,8,14,11,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Finals
b9c37c48-b619-469c-bb22-a53040751f3b:g2,11,16,17,28,29,8,14,11,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Finals
b9c37c48-b619-469c-bb22-a53040751f3b:g3,2,16,17,28,29,8,14,11,1,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-10,Finals
e0857004-0f1e-407f-bb11-c3ca93da2ceb:g1,7,18,19,30,31,9,15,12,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
e0857004-0f1e-407f-bb11-c3ca93da2ceb:g2,-2,18,19,30,31,9,15,12,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
e0857004-0f1e-407f-bb11-c3ca93da2ceb:g3,7,18,19,30,31,9,15,12,2,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
e4eabe66-6e89-49fa-9071-cea7b46223cc:g1,8,14,15,4,5,7,2,13,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
e4eabe66-6e89-49fa-9071-cea7b46223cc:g2,-2,14,15,4,5,7,2,13,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
e4eabe66-6e89-49fa-9071-cea7b46223cc:g3,6,14,15,4,5,7,2,13,2,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
f7bafef8-603c-4b8f-86c4-a95b7da5cd62:g1,2,10,11,32,33,5,16,14,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
f7bafef8-603c-4b8f-86c4-a95b7da5cd62:g2,7,10,11,32,33,5,16,14,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
ff89f3f6-1955-4159-ad2d-335996d0cb01:g1,-11,22,23,12,13,11,6,15,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
ff89f3f6-1955-4159-ad2d-335996d0cb01:g2,-8,22,23,12,13,11,6,15,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Quarter Finals
09a5b45a-4ece-46ed-9fe0-3fafb3ae28a7:g1,9,34,23,16,30,17,18,16,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Quarter Finals
09a5b45a-4ece-46ed-9fe0-3fafb3ae28a7:g2,2,34,23,16,30,17,18,16,0,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-11,Quarter Finals
0e83c750-7e59-4240-9f17-81bd415d94db:g1,-9,5,27,28,15,19,20,17,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Bronze
0e83c750-7e59-4240-9f17-81bd415d94db:g2,-2,5,27,28,15,19,20,17,0,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-11,Bronze
148a15b1-0d31-43d6-a8d0-0a40a97dbfa4:g1,-3,35,31,34,23,21,17,18,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Finals
148a15b1-0d31-43d6-a8d0-0a40a97dbfa4:g2,-6,35,31,34,23,21,17,18,0,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-11,Finals
78c9fcf0-631b-4aaf-919c-7ed975ab8fbc:g1,-7,19,17,16,30,22,18,19,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Round 16
78c9fcf0-631b-4aaf-919c-7ed975ab8fbc:g2,-4,19,17,16,30,22,18,19,0,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-11,Round 16
7d568896-5ef9-4155-a171-0a6a76a576ba:g1,3,28,15,34,23,20,17,20,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Semi-Finals
7d568896-5ef9-4155-a171-0a6a76a576ba:g2,-2,28,15,34,23,20,17,20,0,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-11,Semi-Finals
7d568896-5ef9-4155-a171-0a6a76a576ba:g3,-3,28,15,34,23,20,17,20,0,1,3,3,2026 Punta Gorda PPA Challenger,2026-01-11,Semi-Finals
98dec458-b819-4703-82a4-3ab92c670853:g1,2,12,1,29,7,23,24,21,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Round 16
98dec458-b819-4703-82a4-3ab92c670853:g2,8,12,1,29,7,23,24,21,0,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-11,Round 16
bb7ffed9-f705-4dcf-ab66-15cd59f342db:g1,10,19,17,36,37,22,25,22,0,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-11,Round 32
