game_id,margin,a1,a2,a3,a4,dyad1,dyad2,match_idx,ctx_idx,tour_idx,best_of,game_number,event_name,date,stage
48cb1930-b35e-4677-a52f-a6ec3ebbca00:g1,-7,0,1,2,3,0,1,0,1,0,1,1,MLP San Diego,2026-07-16,Round 1 RR
4f04e9a3-4daa-4024-a17d-0ae4e09faa0e:g1,5,4,0,5,3,2,3,1,0,0,1,1,MLP San Diego,2026-07-16,Round 1 RR
4f0900b7-8217-4b44-bfa0-28cbc871c95e:g1,-10,6,7,4,8,4,5,2,2,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
5082a557-2d40-40d1-a10f-54112aacf889:g1,10,9,10,5,3,6,3,3,0,0,1,1,MLP San Diego,2026-07-16,Round 3 RR
5bda0ff7-b835-421b-a00d-2903e933e84c:g1,10,6,11,8,1,7,8,4,0,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
5c8077d3-c1a8-4f9a-8e5f-bac280630c01:g1,-7,12,13,14,15,9,10,5,0,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
6a6e463a-6577-4655-9257-0f2f92d6872b:g1,-10,16,13,15,10,11,12,6,1,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
73941c7e-2a07-4bde-a58a-63b604f87641:g1,-11,17,16,9,10,13,6,7,0,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
77b24560-8555-4579-95e8-436c667c40d5:g1,5,15,10,2,3,12,1,8,1,0,1,1,MLP San Diego,2026-07-16,Round 3 RR
85846e92-3fd9-4c4b-a40c-5b0aca9609e2:g1,-11,8,1,18,2,8,14,9,0,0,1,1,MLP San Diego,2026-07-16,Round 1 RR
8e1d89ba-71ce-4d60-b0d3-766b821db9cb:g1,3,19,20,21,11,15,16,10,1,0,1,1,MLP San Diego,2026-07-16,Round 4 RR
8eb3e4ac-5d80-4864-9462-dd8af550f390:g1,-8,12,17,22,9,17,18,11,2,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
b60d4544-52a5-4fc9-a3f8-3edb3c7e6443:g1,9,22,9,5,18,18,19,12,2,0,1,1,MLP San Diego,2026-07-16,Round 3 RR
c70ce832-4cd0-4c41-8736-0f4eb853de2a:g1,2,23,20,24,21,20,21,13,0,0,1,1,MLP San Diego,2026-07-16,Round 4 RR
ce87e8ef-e1c0-45b1-9528-256b673effcf:g1,-7,21,11,0,1,16,0,14,1,0,1,1,MLP San Diego,2026-07-16,Round 5 RR
d9ef1637-873e-4c2f-a045-9c1a1047757e:g1,2,4,8,5,18,5,19,15,2,0,1,1,MLP San Diego,2026-07-16,Round 1 RR
df1b3b45-3857-43ce-986b-5a43ab03eb79:g1,4,25,19,7,11,22,23,16,0,0,1,1,MLP San Diego,2026-07-16,Round 4 RR
faca296f-bfec-47d7-89e3-48e11707e8d3:g1,5,22,15,18,2,24,14,17,0,0,1,1,MLP San Diego,2026-07-16,Round 3 RR
fb6dcb36-1dc8-4bb0-9bac-de62870346b5:g1,2,23,25,24,6,25,26,18,2,0,1,1,MLP San Diego,2026-07-16,Round 4 RR
03cc27d4-efa8-403b-a67a-b9f77481d6d9:g1,6,17,16,18,2,13,14,19,0,0,1,1,MLP San Diego,2026-07-17,Round 4 RR
062fe453-c2c7-4899-8e66-dcdefe2d0441:g1,-7,16,13,2,3,11,1,20,1,0,1,1,MLP San Diego,2026-07-17,Round 4 RR
0a401824-f3b8-4195-9195-a64dee01ff39:g1,-2,21,11,16,13,16,11,21,1,0,1,1,MLP San Diego,2026-07-17,Round 3 RR
0b101229-f45a-4206-869d-9bfb9aa03148:g1,-2,26,27,28,29,27,28,22,2,0,1,1,MLP San Diego,2026-07-17,Round 4 RR
0e924682-1391-4a64-930e-79c5c1a6d426:g1,-5,18,2,25,19,14,22,23,0,0,1,1,MLP San Diego,2026-07-17,Round 5 RR
0ee01b69-e5f6-41cd-b7f6-b97296e69f32:g1,-7,26,30,29,31,29,30,24,0,0,1,1,MLP San Diego,2026-07-17,Round 4 RR
1b277a06-891a-4d28-a805-21f7ee49f1fd:g1,-7,24,6,22,9,26,18,25,2,0,1,1,MLP San Diego,2026-07-17,Round 1 RR
1cedf364-8a04-4faa-86ab-c8f9216bba27:g1,-5,32,33,26,27,31,27,26,2,0,1,1,MLP San Diego,2026-07-17,Round 5 RR
1d690a5c-3568-45b6-9a88-d68cff340b71:g1,-3,34,35,36,37,32,33,27,2,0,1,1,MLP San Diego,2026-07-17,Round 3 RR
22e12c59-c2cd-4a11-ad94-b6dfe277bfe7:g1,2,31,38,39,40,34,35,28,1,0,1,1,MLP San Diego,2026-07-17,Round 1 RR
2df95311-c709-475a-89b0-047b10dc27fe:g1,-8,34,35,32,33,32,31,29,2,0,1,1,MLP San Diego,2026-07-17,Round 2 RR
3a6f6f6a-bf05-44e0-8514-562499f65bab:g1,-5,32,41,26,30,36,29,30,0,0,1,1,MLP San Diego,2026-07-17,Round 5 RR
3abbf4d6-8f74-4912-b7d7-f4d289e205e5:g1,-9,27,42,43,38,37,38,31,0,0,1,1,MLP San Diego,2026-07-17,Round 4 RR
3bbbfd71-a28d-47e0-85e9-acdbfdcf7821:g1,-7,7,11,9,10,23,6,32,0,0,1,1,MLP San Diego,2026-07-17,Round 1 RR
3de0b060-9cf7-4883-97df-e2f622a06684:g1,-4,44,21,15,10,39,12,33,1,0,1,1,MLP San Diego,2026-07-17,Round 1 RR
42dbdcb5-b4d9-410f-9e9c-dc3adf48d664:g1,-4,5,18,23,25,19,25,34,2,0,1,1,MLP San Diego,2026-07-17,Round 5 RR
4a0b5d1a-c348-4591-b138-348b5b177c89:g1,-4,5,3,23,20,3,20,35,0,0,1,1,MLP San Diego,2026-07-17,Round 5 RR
5651ccef-6719-48e8-8076-7c0671d1fa15:g1,-5,45,46,47,39,40,41,36,1,0,1,1,MLP San Diego,2026-07-17,Round 3 RR
5aaf3a07-bbb1-4621-a5c8-3acaf4000336:g1,6,35,45,36,40,42,43,37,0,0,1,1,MLP San Diego,2026-07-17,Round 3 RR
68c65c32-c626-4bbd-9a75-9be5fa651a21:g1,-9,19,20,0,1,15,0,38,1,0,1,1,MLP San Diego,2026-07-17,Round 3 RR
