game_id,margin,a1,a2,a3,a4,dyad1,dyad2,match_idx,ctx_idx,tour_idx,best_of,game_number,event_name,date,stage
004b5d91-8e5e-4391-ae4f-8effbefa166d:g1,5,0,1,2,3,0,1,0,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
004b5d91-8e5e-4391-ae4f-8effbefa166d:g2,4,0,1,2,3,0,1,0,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
07626595-20ea-405a-9ddd-f9e467a071a1:g1,-10,4,5,6,7,2,3,1,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 32
07626595-20ea-405a-9ddd-f9e467a071a1:g2,-6,4,5,6,7,2,3,1,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 32
07a0e6a2-e00d-43ed-a0fb-decd7427df48:g1,9,8,9,10,11,4,5,2,2,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 32
07a0e6a2-e00d-43ed-a0fb-decd7427df48:g2,11,8,9,10,11,4,5,2,2,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 32
1946a82e-796a-4497-9cfe-a3dc1e706bcb:g1,-4,12,13,14,15,6,7,3,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
1946a82e-796a-4497-9cfe-a3dc1e706bcb:g2,-5,12,13,14,15,6,7,3,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
1e19bd15-0134-4226-9028-73b4dbf9b16d:g1,-4,16,17,18,19,8,9,4,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 32
1e19bd15-0134-4226-9028-73b4dbf9b16d:g2,-7,16,17,18,19,8,9,4,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 32
1e208e89-29ee-449a-b363-a676df293ffd:g1,-3,20,21,22,23,10,11,5,1,1,3,1,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
1e208e89-29ee-449a-b363-a676df293ffd:g2,2,20,21,22,23,10,11,5,1,1,3,2,2026 Punta Gorda PPA Challenger,2026-01-10,Round 16
