idx,p1_id,p2_id,p1_name,p2_name,context
0,05b194b3-db88-4f77-a26f-5ef5cfbf6146,ff789b9c-80c4-442c-b97e-2e2311298cfb,Riley Newman,Vivian Glozman,mixed
1,6396521a-e346-4dbb-b306-b2f026d4f547,c14774e8-bb9b-4512-a867-fb4aed28941d,Julianne Le,Harrison Yee,mixed
2,6f149538-c6f6-4ad5-9e60-2afc100f97c1,7cbd7e4d-3d2c-40f8-8c09-40c271d64a73,Spartak Rahachou,Louie Payetta,mens
3,168e244e-7a4c-44b4-9b0d-7bcd8be46ca9,1bb5daf7-4380-4bd6-97b6-394f6b49d5b3,Farshid Mirzaee,Landon Dunn,mens
4,6160a7c7-6b90-41f1-96d3-af5fa1623ca5,6a87bc44-5190-44db-8a2f-467de4de48c6,Collin Johns,Christa Gecheva,mixed
5,8d4ab63d-f14c-4013-a97a-3789015b9bd8,ce4f0e14-80ea-4ed0-a81c-7341d356d427,Tatiana Ruhl,Yuta Funemizu,mixed
6,608756f6-bfc7-41b5-9cfd-5e69eacfe513,c5964640-5d39-4c95-b6a4-7a1faeda89a6,Victoria Dimuzio,Amanda Rosati,womens
7,1b5c8cc6-0e5c-4085-a51d-3464584f192b,842f8bec-3b5d-43c6-93db-abc161c0d9af,Lorna Morris,Emmerentia Marx,womens
8,0c5b84bb-4c04-4906-86bc-deb533ff4eec,c4ca8085-84ed-451f-81c0-6df4a1c8d59f,Zane Ford,Dominique Schaefer,mixed
9,3b609732-aeb8-49ef-af26-4321e6e0d151,bb20d284-a077-49bd-8409-a3452e3067f3,Bryanna Ojeda,Kevin Caulfield,mixed
10,1ad19b48-ae39-44aa-b2a0-5a40a6b71420,5c428248-d346-49fc-8c5e-ad19fb318da2,Daniel Byun,Dayna La Belle,mixed
11,34757087-a5ce-41f6-837c-0eff5827ea06,c62c2081-d9ce-4750-93f5-c9163bf46f74,Shelley Wong,Yaamunan Venkatesan,mixed
12,a9a168ae-7822-4d31-b07b-fba40480c1fc,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Brandon French,Judit Castillo,mixed
13,a9950e78-2b86-495e-a0d2-bb8efac93531,ab3af95f-cc49-4ff2-a731-668dd10a6b50,Malia K Lum,Farzin Amiri,mixed
14,3fc3a7df-63dc-4bcd-afd8-9bce53dd257c,5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Carl Hilliard,Nicole Conard,mixed
15,bdfff14f-d84e-4fe7-a71b-e78e75245caf,dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,Isabella Hoang,Luc Pham,mixed
16,0d23964f-d43f-4006-b1e0-13001393216c,b4b00d3c-1974-48f2-b74e-9cf9faa04d69,Ross Whittaker,Kevin Dayan,mens
17,16ecbff8-84ab-4bb8-9c1f-7039c882ddb7,ac6c0d79-2b47-471c-a635-848b3ef22e04,Flynn Kantzalis Orton,Mark Wei,mens
18,25139050-f977-4456-9545-7d63b72fa380,4be45b4a-461b-43e3-b0a4-33effdc2248a,David Litvinov,Dalia Garza,mixed
19,5883c77e-d6e0-4848-9473-866396578248,8d4ab63d-f14c-4013-a97a-3789015b9bd8,Audrey Adele Brown,Tatiana Ruhl,womens
20,1bbc9415-96dd-4751-9513-95274c5fc0f9,7ab0b456-a129-4879-86a6-05d34bd8781e,Nicole Eugenio,Domenika Turkovic,womens
21,1af53bb7-816e-4292-bd2e-08374c50aa42,b43c46a3-0b98-4fdb-aa93-6c3982761aeb,Sergey Afanasenka,Rob Hutchins,mens
22,001e944e-7159-46c8-afe6-63c2754d9241,1936f665-e630-462a-bd89-0dcfcf7c9e6b,Brodie Smith,Indigo Dagnall,mens
23,16deb566-c508-4f05-84d9-a01fb527a005,b9078ad5-9d55-4617-9c9d-131823dfca0b,Michael I,Luke Ness,mens
24,35f81e87-382e-41cc-9bab-687116861954,69633ccf-87be-4975-a578-53d6e166c91b,Jace Morris,Wil Shaffer,mens
25,8187d00f-7c10-4947-a218-1641c659356c,c2a65079-49d6-4023-a03f-a97bc3be3bf8,Sam Angelo,Daniel Jensen,mens
26,1d5698ad-f0a1-4ff7-8321-6c166069946e,b046a7b0-2e97-403a-b28a-210cca13d0cc,Pally Ray,Omar Garcia-Heredia,mens
27,3d1d26f9-b591-4b81-80be-a2e708e216a7,5883c77e-d6e0-4848-9473-866396578248,Chase Holderman,Audrey Adele Brown,mixed
28,53955191-e756-453e-bf46-162afae7d905,c57fd717-c267-4fb8-9be7-2f1c678a655f,Danica Wolf,Ali Amiri,mixed
29,b6928a70-4384-418f-87d9-76ae2637ea69,f2f22110-2d83-4a94-9e5b-811d3b01898c,Bryce Larson,Clayton Boydston,mens
30,3701f5a0-aa34-4a06-a718-7b223491362e,a7e358b0-517e-4972-89ff-d95f0797e1c7,Ethan Violette,Jase Edwards,mens
31,43df1205-e834-4427-9f1a-4e173bf93296,b3485ff8-bab5-4443-8245-3f81cbfb2b77,Grayson Goldin,Emily Cederquist,mixed
32,051f5c82-82ce-4ab8-b4f8-36976638a89b,cda7df21-9bc5-4986-b080-122b97324ae9,Sahra Dennehy,Liam Jesperson,mixed
33,5925398b-b2a9-4e8f-ae46-5c2b59b1b818,f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,Nicole Conard,Ava Ignatowich,womens
34,4f142e8d-9a57-41cb-a89b-5b4c3af752fa,b025eccb-868e-4ce6-a4db-c1082a288b59,Ella Boydston,Maddy Rasmusen,womens
35,0dfe6dd7-dcc9-407b-a761-1cafc880401b,7ab0b456-a129-4879-86a6-05d34bd8781e,Erik Pailet,Domenika Turkovic,mixed
36,1d5698ad-f0a1-4ff7-8321-6c166069946e,25d59da5-27bb-4584-941c-c2f8bd72577c,Pally Ray,Journey Barajas,mixed
37,9647bc45-f17b-43c8-9658-32448d4d95b9,ec94501d-8b59-4236-b77d-7238f8925e48,Leah Tauber,Marcela Aguila Ampon,womens
38,3b609732-aeb8-49ef-af26-4321e6e0d151,d57934e4-fe65-4168-8fd7-26da1b07cb2d,Bryanna Ojeda,Michelle Murphy,womens
39,9647bc45-f17b-43c8-9658-32448d4d95b9,d45a3391-82f4-45d0-ba66-f1901854a8d0,Leah Tauber,Darrian Young,mixed
40,66a6c35b-33a2-4a23-b5db-fa53c96d643a,6a87bc44-5190-44db-8a2f-467de4de48c6,Kaitlyn Christian,Christa Gecheva,womens
41,4a7604e0-0f45-4057-8da0-bbfd0a58df83,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cami Blake,Cailyn Campbell,womens
42,ab3af95f-cc49-4ff2-a731-668dd10a6b50,c57fd717-c267-4fb8-9be7-2f1c678a655f,Farzin Amiri,Ali Amiri,mens
43,34df6ae0-3b15-474c-81a9-63bebc580ed7,a973d880-71ca-48d1-b127-a7e23afd5a19,Brian Bonilla,Matthew Mead,mens
44,3242a766-be8b-4ca0-92a0-fd824e538dc5,d7549a4c-a286-498a-87b8-ce9a705659cc,JR Jones,Nick Casey,mens
45,994842fc-32d2-46a2-8e49-98bd63528b2e,b4b00d3c-1974-48f2-b74e-9cf9faa04d69,Natalie Raney,Kevin Dayan,mixed
46,18dd2b8c-d93c-43eb-be75-a64bcf36f486,a973d880-71ca-48d1-b127-a7e23afd5a19,Julia Ronney,Matthew Mead,mixed
47,7cbd7e4d-3d2c-40f8-8c09-40c271d64a73,d57934e4-fe65-4168-8fd7-26da1b07cb2d,Louie Payetta,Michelle Murphy,mixed
48,2aa8ced3-d599-4c83-86dd-ecc80196833b,bf84d952-c6a8-4494-943d-064b223e764f,Luca Mack,Estee Widdershoven,mixed
49,25139050-f977-4456-9545-7d63b72fa380,a92239e2-429d-4a0a-85b7-58cac29488ee,David Litvinov,Jordan Chrysostom,mens
50,4e721a6a-101a-4895-9d2d-b74928b73523,c4c38a97-b982-4591-bfd5-a1d6bf4f3bf8,John-Paul Weber,Gary S,mens
51,bb20d284-a077-49bd-8409-a3452e3067f3,f40135fa-ed68-4d6f-9dbd-a9fb0a210e4b,Kevin Caulfield,Justin Slattery,mens
52,0517f4a6-2648-470e-a9ff-8cf78eee3421,643997b8-acbf-4ad1-a35f-26bd393015be,Connor McCartney,Brhet Bewley,mens
53,0b75af4a-8c68-4ff7-a2f1-09bda71b5bed,10397234-6551-4a06-8bc6-aa50d6915731,Andre Mercado,Liam Duffin,mens
54,c971bb40-090b-4e47-be58-905495e38401,d9606838-65bf-4a4f-bcb5-1cf0d867e705,Miles Hoover,Jacob Lee,mens
55,091e8c64-3b31-4263-889e-7170c2313b97,8c94d7b2-0dce-455e-916f-e35927d53547,Santhosh Narayanan,Thomas Yu,mens
56,7ef0e6aa-5130-41c0-9c7c-68cb94fa2d3d,da18d74c-4ea3-4eba-b137-7b43192b8e5a,Jack Sahid,Nicholas Garza,mens
57,3701f5a0-aa34-4a06-a718-7b223491362e,4a7604e0-0f45-4057-8da0-bbfd0a58df83,Ethan Violette,Cami Blake,mixed
58,1072c348-fd0a-4303-9dc3-be20c9736074,a7e358b0-517e-4972-89ff-d95f0797e1c7,Jessica Jones,Jase Edwards,mixed
59,794634b2-7e1a-4928-ac82-a13fd3e984b2,e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Jessica Wilcox,Rio Newcombe,mixed
60,4f142e8d-9a57-41cb-a89b-5b4c3af752fa,f2f22110-2d83-4a94-9e5b-811d3b01898c,Ella Boydston,Clayton Boydston,mixed
61,04158680-ebb3-4554-96a1-500cc6d00882,091e8c64-3b31-4263-889e-7170c2313b97,Chloe Igleski,Santhosh Narayanan,mixed
62,518626d4-2600-4134-8c6a-0ae9315f9625,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cason Campbell,Cailyn Campbell,mixed
63,96fa4141-9648-475f-ab95-fb6796c2f489,ad27fa70-ef8e-493c-8871-caf9afce0801,Sam Weinbach,Dave Weinbach,mens
