idx,p1_id,p2_id,p1_name,p2_name,context
0,6160a7c7-6b90-41f1-96d3-af5fa1623ca5,6a87bc44-5190-44db-8a2f-467de4de48c6,Collin Johns,Christa Gecheva,mixed
1,8d4ab63d-f14c-4013-a97a-3789015b9bd8,ce4f0e14-80ea-4ed0-a81c-7341d356d427,Tatiana Ruhl,Yuta Funemizu,mixed
2,0c5b84bb-4c04-4906-86bc-deb533ff4eec,c4ca8085-84ed-451f-81c0-6df4a1c8d59f,Zane Ford,Dominique Schaefer,mixed
3,3b609732-aeb8-49ef-af26-4321e6e0d151,bb20d284-a077-49bd-8409-a3452e3067f3,Bryanna Ojeda,Kevin Caulfield,mixed
4,5925398b-b2a9-4e8f-ae46-5c2b59b1b818,f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,Nicole Conard,Ava Ignatowich,womens
5,4f142e8d-9a57-41cb-a89b-5b4c3af752fa,b025eccb-868e-4ce6-a4db-c1082a288b59,Ella Boydston,Maddy Rasmusen,womens
6,518626d4-2600-4134-8c6a-0ae9315f9625,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cason Campbell,Cailyn Campbell,mixed
7,2aa8ced3-d599-4c83-86dd-ecc80196833b,bf84d952-c6a8-4494-943d-064b223e764f,Luca Mack,Estee Widdershoven,mixed
8,1e5d81dc-961d-455a-b80f-d6c30c518cde,ce4f0e14-80ea-4ed0-a81c-7341d356d427,Caden Nemoff,Yuta Funemizu,mens
9,091e8c64-3b31-4263-889e-7170c2313b97,8c94d7b2-0dce-455e-916f-e35927d53547,Santhosh Narayanan,Thomas Yu,mens
10,1dd5c313-10f5-4e0a-bb9b-699913a5abe8,ba491f1c-0112-47a8-a348-4695289e958a,Mary Brascia,Augustus Ge,mixed
11,1bab49f1-6891-4d3e-8f77-42aa4fc1d18e,f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,Mohaned Alhouni,Ava Ignatowich,mixed
12,4025f403-d676-42ee-97a1-61d9b38c211b,d43db93c-6710-4a18-a406-497eb7a068ce,Allison Phillips,Spencer Smith,mixed
13,06ba18e0-687b-4aa3-822d-1c86981f576b,ec94501d-8b59-4236-b77d-7238f8925e48,Rafa Hewett,Marcela Aguila Ampon,mixed
14,14d61e81-14d5-4cb3-ae33-d427fbc1b4f6,1728d016-1f02-4789-be73-63d12d5a5b42,Quang Duong,Parris Todd,mixed
15,4057f30d-d42a-4189-a158-11576fb5f52a,bd7773b4-7b8e-4da2-96ce-98fe3490ee93,Blaine Hovenier,Lindsey Newman,mixed
16,55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Layne Sleeth,Judit Castillo,womens
17,608756f6-bfc7-41b5-9cfd-5e69eacfe513,c5964640-5d39-4c95-b6a4-7a1faeda89a6,Victoria Dimuzio,Amanda Rosati,womens
18,3a43c56f-b9d8-4e72-ae8a-58fd69291946,4da698bf-605d-4c6c-8566-6bfbdb6c1a24,Jack Sock,Genie Bouchard,mixed
19,4e39b9bd-436d-495d-99d7-c2818bbea4ab,ebb2a1e0-7c6c-48a4-b994-e81edd8ddb97,Camila Zilveti,Patrick Smith,mixed
20,88fb0858-b9c3-4620-9408-0dda0eb241ef,cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Tyler Loong,Lina Padegimaite,mixed
21,38b1bfb1-576b-4a3e-ab6b-e8bc46031c1d,f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Eric Roddy,Alex Walker,mixed
22,55ed7e0a-ff2d-4ac2-aad6-b6772ef4f448,7925aefe-e260-4b83-8bfc-214da1d14fb5,Layne Sleeth,Travis Rettenmaier,mixed
23,614e164a-4197-44eb-855c-586cf79fbfc9,9034d36a-1b11-4c9d-ad75-5c665d87b8c5,Ivan Jakovljevic,Pierina Imparato,mixed
24,66a6c35b-33a2-4a23-b5db-fa53c96d643a,e9849183-4693-4340-abf5-f4b6f3cb226f,Kaitlyn Christian,Martin Emmrich,mixed
25,f03d156f-3d8a-4830-a5d1-ae4372ad5009,f91b88a1-7d1e-41ad-9782-200959faf6bd,Wesley Burrows,Olivia McMillan,mixed
26,65bcab7c-9c93-4dc8-a847-a34da426b933,763b4d27-8140-47cd-86f5-982706cd4ebb,Martina Frantova,Michael Loyd,mixed
27,41118195-75b3-4b25-adc9-07991301280a,d69ec633-93c9-4d07-8870-be9f5acd5330,Craig Johnson,Rachel Rettger,mixed
28,20684550-cb89-4ea2-9e2f-0f44eb920b45,52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Chao Yi Wang,Pablo Tellez,mixed
29,22989ac3-e778-487a-ba32-a30243acd294,571d4503-e073-4580-a555-be3c7f93c59c,Christine Trifunovic,Chuck Taylor,mixed
30,2bfe44bb-d558-411f-abeb-c8522dd42ce9,76419f3a-712c-4241-8940-6f9bda847ba7,Julian Arnold,Lauren Stratman,mixed
31,a9a168ae-7822-4d31-b07b-fba40480c1fc,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Brandon French,Judit Castillo,mixed
32,1bb8b2c1-ca6f-45ac-afdd-fab7e77d69d4,eb14fc6e-ede1-4999-bec3-e36695e7f94e,Noe Khlif,Milan Rane,mixed
33,25a6f570-d617-427a-9fc4-3bf6115a9a84,850116be-7d0f-4325-ab06-1f37dd3d1c7e,Hannah Blatt,Steve Deakin,mixed
34,0c1bb94d-3af2-42f4-b938-d712c707ace4,295e343a-31a0-4e1d-a286-d62592291435,Callie Smith,Jay Devilliers,mixed
35,9647bc45-f17b-43c8-9658-32448d4d95b9,d45a3391-82f4-45d0-ba66-f1901854a8d0,Leah Tauber,Darrian Young,mixed
36,50c2125b-406c-41e7-aad6-5432c7cd8e1c,8f521dcc-1cb5-4c8d-933c-af6b267bd395,AJ Koller,Meghan Dizon,mixed
37,a3ed7970-35d2-485c-8285-187c298a2d83,dbcb41e9-e983-410b-bc23-d184d034cfc0,Lacy Schneemann,Tyson McGuffin,mixed
38,04158680-ebb3-4554-96a1-500cc6d00882,091e8c64-3b31-4263-889e-7170c2313b97,Chloe Igleski,Santhosh Narayanan,mixed
39,504e8c08-caf6-4db8-b454-11ffa321261c,759ecf95-26a6-4ffe-bb8b-035d3ec05f31,Lucy Kovalova,Matt Wright,mixed
40,be33755f-9262-461b-aedd-e9a7a686a82c,cc8832b9-9a8f-4cbc-8eff-b20e9a7ff09a,Jackie Kawamoto,Jaume Martinez Vich,mixed
41,461f063e-a587-4638-bad9-421ff33d91d7,fa8d5d28-d8f5-4996-8c35-0f4ca3c35bae,Genie Erokhina,Anderson Scarpa,mixed
42,71992955-8b6f-470b-a991-796cfa56a826,f86cff72-5f9c-40b1-9f28-f28aafae245f,Liz Truluck,Wyatt Stone,mixed
43,66e1ddf7-61f6-4683-afdf-b6cc313af407,efe9989b-5864-48c2-806c-06697024e1da,Todd Fought,Allyce Jones,mixed
44,74afd19c-8f82-4ca2-9345-e4d693111033,7cb07784-a295-4038-b712-ec86ecd70c39,Marshall Brown,Michelle Esquivel,mixed
45,b51ea0fb-c243-4427-85f8-b798febb51ff,bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,Jorja Johnson,JW Johnson,mixed
46,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Christian Alshon,Tyra Hurricane Black,mixed
47,5f367bee-cf3e-4aad-a6e6-72cca04d97e2,a2c56686-b330-41e4-b7e8-bda8a3ec97a8,Angie Walker,Ryan Fu,mixed
48,50908953-a944-4a34-898b-16af312bc814,9decd87b-03ac-4d79-a1e7-d03ca3f7519b,Rachel Rohrabacher,James Ignatowich,mixed
49,518626d4-2600-4134-8c6a-0ae9315f9625,84bc805f-1c7a-4151-8c50-f3236805edea,Cason Campbell,Aanik Lohani,mens
50,62955f38-bdf5-46af-9622-13c7afe90619,e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Jonathan Truong,Rio Newcombe,mens
51,50908953-a944-4a34-898b-16af312bc814,db5eef5c-99dd-49d9-bbfc-65171a366bda,Rachel Rohrabacher,Anna Bright,womens
52,db5eef5c-99dd-49d9-bbfc-65171a366bda,fc05556e-3e38-4a38-99c2-f855174a7c28,Anna Bright,Hayden Patriquin,mixed
53,66e1ddf7-61f6-4683-afdf-b6cc313af407,763b4d27-8140-47cd-86f5-982706cd4ebb,Todd Fought,Michael Loyd,mens
54,25139050-f977-4456-9545-7d63b72fa380,a92239e2-429d-4a0a-85b7-58cac29488ee,David Litvinov,Jordan Chrysostom,mens
55,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,925c1306-6b3b-4510-8482-f34168a0842a,Alix Truong,Roscoe Bellamy,mixed
56,1de884f8-7bf7-4b49-9de8-3f1fd74cabd6,736475dd-7ccd-40d8-8b43-8c2d9ef9e674,Dylan Frazier,Maggie Brascia,mixed
57,05b194b3-db88-4f77-a26f-5ef5cfbf6146,ff789b9c-80c4-442c-b97e-2e2311298cfb,Riley Newman,Vivian Glozman,mixed
