idx,p1_id,p2_id,p1_name,p2_name,context
0,05bf7513-7f0a-4f6b-bc11-5d4b14314d91,e9849183-4693-4340-abf5-f4b6f3cb226f,Tom Protzek,Martin Emmrich,mens
1,aa45af3b-41b0-4e03-9a17-4ca16a108df3,c971bb40-090b-4e47-be58-905495e38401,Vincent Rettke,Miles Hoover,mens
2,38fdc174-96d6-459f-a27c-df35eb9f945c,fd565e56-6223-4ef0-882e-02346e7e0573,Ashley Griffith,Brooke Caruso,womens
3,bf84d952-c6a8-4494-943d-064b223e764f,dba7cf49-9f57-43e3-878d-a63ced26a243,Estee Widdershoven,Jaeda Minniefield,womens
4,34270d82-e968-407d-a918-8aa57f0123a6,cd7b97fc-d912-4c59-8ab3-c2d70e79d998,Elsie Hendershot,Lina Padegimaite,womens
5,65bcab7c-9c93-4dc8-a847-a34da426b933,79046b96-4601-4443-ad6a-b1d2451be668,Martina Frantova,Rachel Summers,womens
6,1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,435e466e-22c7-4917-8cb4-ff45bbccde19,Ewa Radzikowska,Tamaryn Emmrich,womens
7,6a87bc44-5190-44db-8a2f-467de4de48c6,be74032b-1035-4ece-bf4f-773b45da4d58,Christa Gecheva,Mehvish Safdar,womens
8,99b25b49-2a51-412d-9fbf-e1b6804acce0,f4c43443-fdff-4344-b291-274cfd26361e,Camden Chaffin,Juan Benitez,mens
9,45e53881-72e4-4de1-9763-c2e7f7f854ba,b1ab7d76-a859-4136-8405-3ed7c9be287a,Andrea Koop,Mari Humberg,womens
10,1d36eae4-41f1-4739-b9d2-0783fd371112,f2a996de-50a0-4d1d-b16f-f6450daa4a1e,Samantha Buyckx,Kelsey Laurente,womens
11,5925398b-b2a9-4e8f-ae46-5c2b59b1b818,ad6e69ff-7913-4b21-86dd-9489f749be01,Nicole Conard,Paula Rives,womens
12,4214dfa2-6d13-43c3-b98b-f36e4556402d,c3012322-e95e-4e38-a0d8-106f9e236869,Kayla Williams,Keilly Ulery,womens
13,79ee2d66-5ba3-47cc-bc43-f489a09d2d5a,cecffdc0-29ee-46c0-9832-2dbe04700307,George Rangelov,Nejc Sitar,mens
14,2aa8ced3-d599-4c83-86dd-ecc80196833b,d8d51930-abf9-468b-9e43-55a9c0728d58,Luca Mack,Anouar Braham,mens
15,1e538b1f-66e9-4166-ac60-3aef311ee0b5,87d60b6f-6f2e-4610-ab89-487e8acc097e,Jada Bui,Mya Bui,womens
16,7cf93ef3-86b7-4bb4-937b-5b5dc4c72c32,efedfcd1-7638-4c6e-8225-fea7f8d40031,Valerie R Simon,Victoria Simon,womens
17,306da673-de7e-44f5-bc16-0738b44bd089,ad6e69ff-7913-4b21-86dd-9489f749be01,Christopher Crouch,Paula Rives,mixed
18,1e538b1f-66e9-4166-ac60-3aef311ee0b5,f4c43443-fdff-4344-b291-274cfd26361e,Jada Bui,Juan Benitez,mixed
19,38fdc174-96d6-459f-a27c-df35eb9f945c,79ee2d66-5ba3-47cc-bc43-f489a09d2d5a,Ashley Griffith,George Rangelov,mixed
20,be74032b-1035-4ece-bf4f-773b45da4d58,d8d51930-abf9-468b-9e43-55a9c0728d58,Mehvish Safdar,Anouar Braham,mixed
21,3d67b6d0-063e-466c-a475-7679d0764354,87d60b6f-6f2e-4610-ab89-487e8acc097e,Austin Bricker,Mya Bui,mixed
22,45e53881-72e4-4de1-9763-c2e7f7f854ba,99b25b49-2a51-412d-9fbf-e1b6804acce0,Andrea Koop,Camden Chaffin,mixed
23,1d51becb-4ea0-4878-9660-e3fd2dfaa0ea,e9849183-4693-4340-abf5-f4b6f3cb226f,Ewa Radzikowska,Martin Emmrich,mixed
24,2aa8ced3-d599-4c83-86dd-ecc80196833b,bf84d952-c6a8-4494-943d-064b223e764f,Luca Mack,Estee Widdershoven,mixed
25,070be5dd-2dcf-44b6-b2e7-37d9fbd29aa2,f932a82f-0702-44ac-9a1f-09bb5670b25c,Adalynn Lund,Christian Lund,mixed
26,4214dfa2-6d13-43c3-b98b-f36e4556402d,9d7b2972-477c-4cea-977d-f65f86dccac5,Kayla Williams,Parth Mody,mixed
27,25139050-f977-4456-9545-7d63b72fa380,b025eccb-868e-4ce6-a4db-c1082a288b59,David Litvinov,Maddy Rasmusen,mixed
28,1abf464c-e8fc-472b-b1c8-f42a5c1fc02a,8172788a-eec8-4064-90ee-a01dd09e2729,Natalie Hur,Jaikin Gomez,mixed
29,079cece3-01b2-4dd1-9e95-957b83b14cd7,cb9ea037-f204-4216-ac56-930a01009166,Victor Rodrigo,Matt Burkhardt,mens
30,68c97127-3873-41f9-a1ec-9bb608a7a74a,d5d2a4dc-fb77-4686-8f63-d75694831b5c,Nicolas Almeida,Karthik Ganesh,mens
31,12c765d0-8384-41d3-a498-de63fd7c37da,e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Naomi Nguyen,Rio Newcombe,mixed
32,9e8ad96a-17a3-48bf-9363-7b35cc96b2b8,dc69fcde-bcda-4441-8b66-a8bafeb12ded,Averee Beck,Joel Poland,mixed
33,a0581131-7d36-4424-b7f1-a5a4eaaed30f,d0a30dc1-a7d7-475c-bfc9-d55e0aa8e7e3,Cc Eleven Sacca,Ethan Bakalinsky,mixed
34,91846d4e-67fb-4891-87a6-bed8362b8e2c,b025eccb-868e-4ce6-a4db-c1082a288b59,Olivia Phillips,Maddy Rasmusen,womens
35,12c765d0-8384-41d3-a498-de63fd7c37da,9e8ad96a-17a3-48bf-9363-7b35cc96b2b8,Naomi Nguyen,Averee Beck,womens
36,2feffeaa-aca5-4c5d-aad6-62eb0d38a6be,81535c8c-27d9-452c-a72a-61fc9f755b01,Abigail Okelley,Will Mackinnon,mixed
37,a6f57d71-bf90-48fc-b05b-abe66980a132,fa7cb18f-9d87-4d49-bb43-5291b7201bd3,Mike Radermacher,Jessica Ho,mixed
38,68c97127-3873-41f9-a1ec-9bb608a7a74a,cd9ee524-11da-4099-805f-1f362f2bc468,Nicolas Almeida,Stevie Petropouleas,mixed
39,91846d4e-67fb-4891-87a6-bed8362b8e2c,ecd31a05-120f-4373-b5c1-21136f8f0bf1,Olivia Phillips,Braden Jacobson,mixed
40,736475dd-7ccd-40d8-8b43-8c2d9ef9e674,ba491f1c-0112-47a8-a348-4695289e958a,Maggie Brascia,Augustus Ge,mixed
41,614e164a-4197-44eb-855c-586cf79fbfc9,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Ivan Jakovljevic,Judit Castillo,mixed
42,79a11da1-6aeb-4719-9b1e-9918e0163cec,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Christian Alshon,Tyra Hurricane Black,mixed
