idx,p1_id,p2_id,p1_name,p2_name,context
0,62955f38-bdf5-46af-9622-13c7afe90619,99b25b49-2a51-412d-9fbf-e1b6804acce0,Jonathan Truong,Camden Chaffin,mens
1,3a43c56f-b9d8-4e72-ae8a-58fd69291946,7edb882c-6d17-4129-8208-710e3c82364c,Jack Sock,Federico Staksrud,mens
2,99b25b49-2a51-412d-9fbf-e1b6804acce0,a226291c-c48b-408b-a846-f45400d313a9,Camden Chaffin,Alexa Schull,mixed
3,3a43c56f-b9d8-4e72-ae8a-58fd69291946,f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Jack Sock,Alex Walker,mixed
4,65bcab7c-9c93-4dc8-a847-a34da426b933,87d60b6f-6f2e-4610-ab89-487e8acc097e,Martina Frantova,Mya Bui,womens
5,3e6b668a-8d26-4424-9420-3ceb18486b65,a226291c-c48b-408b-a846-f45400d313a9,Daria Walczak,Alexa Schull,womens
6,ead35052-7367-4296-96d4-064f546cc2b9,fec65f7e-f2c8-482f-ab5b-541cf53b1064,CJ Klinger,Tyra Hurricane Black,mixed
7,3d9c8684-953f-4008-b355-b6104ee56a5b,87d60b6f-6f2e-4610-ab89-487e8acc097e,Connor Mogle,Mya Bui,mixed
8,3e6b668a-8d26-4424-9420-3ceb18486b65,62955f38-bdf5-46af-9622-13c7afe90619,Daria Walczak,Jonathan Truong,mixed
9,051f5c82-82ce-4ab8-b4f8-36976638a89b,a51b59c5-1a13-4472-821a-eb9866e72adf,Sahra Dennehy,Joseph Wild,mixed
10,581183e8-3d9e-459e-b69f-7337d8b6f3d2,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Andrei Daescu,Judit Castillo,mixed
11,52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,a51b59c5-1a13-4472-821a-eb9866e72adf,Pablo Tellez,Joseph Wild,mens
12,581183e8-3d9e-459e-b69f-7337d8b6f3d2,ead35052-7367-4296-96d4-064f546cc2b9,Andrei Daescu,CJ Klinger,mens
13,1d701c30-6b5d-485f-ae97-60f3b0c50896,52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Zoey Weil,Pablo Tellez,mixed
14,7edb882c-6d17-4129-8208-710e3c82364c,eb14fc6e-ede1-4999-bec3-e36695e7f94e,Federico Staksrud,Milan Rane,mixed
15,33292af3-984d-4752-8d18-b3a5c147e9fe,81535c8c-27d9-452c-a72a-61fc9f755b01,Armaan Bhatia,Will Mackinnon,mens
16,306da673-de7e-44f5-bc16-0738b44bd089,3d9c8684-953f-4008-b355-b6104ee56a5b,Christopher Crouch,Connor Mogle,mens
17,051f5c82-82ce-4ab8-b4f8-36976638a89b,1d701c30-6b5d-485f-ae97-60f3b0c50896,Sahra Dennehy,Zoey Weil,womens
18,1728d016-1f02-4789-be73-63d12d5a5b42,fec65f7e-f2c8-482f-ab5b-541cf53b1064,Parris Todd,Tyra Hurricane Black,womens
19,eb14fc6e-ede1-4999-bec3-e36695e7f94e,f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Milan Rane,Alex Walker,womens
20,81535c8c-27d9-452c-a72a-61fc9f755b01,9eff9049-c45c-42ee-9a49-e9a797cc2116,Will Mackinnon,Cailyn Campbell,mixed
21,306da673-de7e-44f5-bc16-0738b44bd089,ad6e69ff-7913-4b21-86dd-9489f749be01,Christopher Crouch,Paula Rives,mixed
22,33292af3-984d-4752-8d18-b3a5c147e9fe,8f521dcc-1cb5-4c8d-933c-af6b267bd395,Armaan Bhatia,Meghan Dizon,mixed
23,3d9c8684-953f-4008-b355-b6104ee56a5b,65bcab7c-9c93-4dc8-a847-a34da426b933,Connor Mogle,Martina Frantova,mixed
24,1728d016-1f02-4789-be73-63d12d5a5b42,581183e8-3d9e-459e-b69f-7337d8b6f3d2,Parris Todd,Andrei Daescu,mixed
25,8f521dcc-1cb5-4c8d-933c-af6b267bd395,9eff9049-c45c-42ee-9a49-e9a797cc2116,Meghan Dizon,Cailyn Campbell,womens
26,87d60b6f-6f2e-4610-ab89-487e8acc097e,ad6e69ff-7913-4b21-86dd-9489f749be01,Mya Bui,Paula Rives,womens
27,8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,b1ab7d76-a859-4136-8405-3ed7c9be287a,Jessie Irvine,Mari Humberg,womens
28,2c4de762-88d6-47c3-8b2b-af562c5d1f93,646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Danni-Elle Townsend,Alix Truong,womens
29,295e343a-31a0-4e1d-a286-d62592291435,8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jay Devilliers,Jessie Irvine,mixed
30,2c4de762-88d6-47c3-8b2b-af562c5d1f93,ba491f1c-0112-47a8-a348-4695289e958a,Danni-Elle Townsend,Augustus Ge,mixed
31,6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,9b97206b-783a-4fab-85e9-45a6240325a5,Jade Kawamoto,Catherine Parenteau,womens
32,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,Etta Tuionetoa,Allyce Jones,womens
33,25104e43-16f9-4ce3-9085-70243d8b350a,a95df9a8-772c-4dbf-8c28-e200b7308584,Ella Yeh,Kiora Kunimoto,womens
