idx,player_id,full_name,gender
0,ff789b9c-80c4-442c-b97e-2e2311298cfb,Vivian Glozman,F
1,05b194b3-db88-4f77-a26f-5ef5cfbf6146,Riley Newman,M
2,6396521a-e346-4dbb-b306-b2f026d4f547,Julianne Le,
3,c14774e8-bb9b-4512-a867-fb4aed28941d,Harrison Yee,M
4,6f149538-c6f6-4ad5-9e60-2afc100f97c1,Spartak Rahachou,M
5,7cbd7e4d-3d2c-40f8-8c09-40c271d64a73,Louie Payetta,M
6,1bb5daf7-4380-4bd6-97b6-394f6b49d5b3,Landon Dunn,M
7,168e244e-7a4c-44b4-9b0d-7bcd8be46ca9,Farshid Mirzaee,M
8,6a87bc44-5190-44db-8a2f-467de4de48c6,Christa Gecheva,F
9,6160a7c7-6b90-41f1-96d3-af5fa1623ca5,Collin Johns,M
10,8d4ab63d-f14c-4013-a97a-3789015b9bd8,Tatiana Ruhl,F
11,ce4f0e14-80ea-4ed0-a81c-7341d356d427,Yuta Funemizu,M
12,608756f6-bfc7-41b5-9cfd-5e69eacfe513,Victoria Dimuzio,F
13,c5964640-5d39-4c95-b6a4-7a1faeda89a6,Amanda Rosati,F
14,1b5c8cc6-0e5c-4085-a51d-3464584f192b,Lorna Morris,F
15,842f8bec-3b5d-43c6-93db-abc161c0d9af,Emmerentia Marx,F
16,0c5b84bb-4c04-4906-86bc-deb533ff4eec,Zane Ford,M
17,c4ca8085-84ed-451f-81c0-6df4a1c8d59f,Dominique Schaefer,F
18,bb20d284-a077-49bd-8409-a3452e3067f3,Kevin Caulfield,M
19,3b609732-aeb8-49ef-af26-4321e6e0d151,Bryanna Ojeda,F
20,1ad19b48-ae39-44aa-b2a0-5a40a6b71420,Daniel Byun,M
21,5c428248-d346-49fc-8c5e-ad19fb318da2,Dayna La Belle,F
22,34757087-a5ce-41f6-837c-0eff5827ea06,Shelley Wong,
23,c62c2081-d9ce-4750-93f5-c9163bf46f74,Yaamunan Venkatesan,M
24,ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F
25,a9a168ae-7822-4d31-b07b-fba40480c1fc,Brandon French,M
26,a9950e78-2b86-495e-a0d2-bb8efac93531,Malia K Lum,F
27,ab3af95f-cc49-4ff2-a731-668dd10a6b50,Farzin Amiri,M
28,3fc3a7df-63dc-4bcd-afd8-9bce53dd257c,Carl Hilliard,M
29,5925398b-b2a9-4e8f-ae46-5c2b59b1b818,Nicole Conard,F
30,bdfff14f-d84e-4fe7-a71b-e78e75245caf,Isabella Hoang,F
31,dc7f6ac5-f007-4b8f-b343-95e524dc7d0a,Luc Pham,M
32,0d23964f-d43f-4006-b1e0-13001393216c,Ross Whittaker,M
33,b4b00d3c-1974-48f2-b74e-9cf9faa04d69,Kevin Dayan,M
34,ac6c0d79-2b47-471c-a635-848b3ef22e04,Mark Wei,M
35,16ecbff8-84ab-4bb8-9c1f-7039c882ddb7,Flynn Kantzalis Orton,M
36,25139050-f977-4456-9545-7d63b72fa380,David Litvinov,M
37,4be45b4a-461b-43e3-b0a4-33effdc2248a,Dalia Garza,F
38,5883c77e-d6e0-4848-9473-866396578248,Audrey Adele Brown,F
39,1bbc9415-96dd-4751-9513-95274c5fc0f9,Nicole Eugenio,F
40,7ab0b456-a129-4879-86a6-05d34bd8781e,Domenika Turkovic,F
41,b43c46a3-0b98-4fdb-aa93-6c3982761aeb,Rob Hutchins,M
42,1af53bb7-816e-4292-bd2e-08374c50aa42,Sergey Afanasenka,M
43,001e944e-7159-46c8-afe6-63c2754d9241,Brodie Smith,M
44,1936f665-e630-462a-bd89-0dcfcf7c9e6b,Indigo Dagnall,M
45,b9078ad5-9d55-4617-9c9d-131823dfca0b,Luke Ness,M
46,16deb566-c508-4f05-84d9-a01fb527a005,Michael I,M
47,69633ccf-87be-4975-a578-53d6e166c91b,Wil Shaffer,M
48,35f81e87-382e-41cc-9bab-687116861954,Jace Morris,M
49,8187d00f-7c10-4947-a218-1641c659356c,Sam Angelo,M
50,c2a65079-49d6-4023-a03f-a97bc3be3bf8,Daniel Jensen,M
51,1d5698ad-f0a1-4ff7-8321-6c166069946e,Pally Ray,M
52,b046a7b0-2e97-403a-b28a-210cca13d0cc,Omar Garcia-Heredia,M
53,3d1d26f9-b591-4b81-80be-a2e708e216a7,Chase Holderman,M
54,c57fd717-c267-4fb8-9be7-2f1c678a655f,Ali Amiri,M
55,53955191-e756-453e-bf46-162afae7d905,Danica Wolf,F
56,b6928a70-4384-418f-87d9-76ae2637ea69,Bryce Larson,M
57,f2f22110-2d83-4a94-9e5b-811d3b01898c,Clayton Boydston,M
58,a7e358b0-517e-4972-89ff-d95f0797e1c7,Jase Edwards,M
59,3701f5a0-aa34-4a06-a718-7b223491362e,Ethan Violette,M
60,b3485ff8-bab5-4443-8245-3f81cbfb2b77,Emily Cederquist,F
61,43df1205-e834-4427-9f1a-4e173bf93296,Grayson Goldin,M
62,cda7df21-9bc5-4986-b080-122b97324ae9,Liam Jesperson,M
63,051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F
64,f8b6b217-f9f8-4fd3-a71d-ae4dfcbb9c89,Ava Ignatowich,F
65,b025eccb-868e-4ce6-a4db-c1082a288b59,Maddy Rasmusen,F
66,4f142e8d-9a57-41cb-a89b-5b4c3af752fa,Ella Boydston,F
67,0dfe6dd7-dcc9-407b-a761-1cafc880401b,Erik Pailet,M
68,25d59da5-27bb-4584-941c-c2f8bd72577c,Journey Barajas,F
69,ec94501d-8b59-4236-b77d-7238f8925e48,Marcela Aguila Ampon,F
70,9647bc45-f17b-43c8-9658-32448d4d95b9,Leah Tauber,F
71,d57934e4-fe65-4168-8fd7-26da1b07cb2d,Michelle Murphy,F
72,d45a3391-82f4-45d0-ba66-f1901854a8d0,Darrian Young,M
73,66a6c35b-33a2-4a23-b5db-fa53c96d643a,Kaitlyn Christian,F
74,4a7604e0-0f45-4057-8da0-bbfd0a58df83,Cami Blake,F
75,9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F
76,a973d880-71ca-48d1-b127-a7e23afd5a19,Matthew Mead,M
77,34df6ae0-3b15-474c-81a9-63bebc580ed7,Brian Bonilla,M
78,d7549a4c-a286-498a-87b8-ce9a705659cc,Nick Casey,M
79,3242a766-be8b-4ca0-92a0-fd824e538dc5,JR Jones,M
80,994842fc-32d2-46a2-8e49-98bd63528b2e,Natalie Raney,F
81,18dd2b8c-d93c-43eb-be75-a64bcf36f486,Julia Ronney,F
82,bf84d952-c6a8-4494-943d-064b223e764f,Estee Widdershoven,F
83,2aa8ced3-d599-4c83-86dd-ecc80196833b,Luca Mack,M
84,a92239e2-429d-4a0a-85b7-58cac29488ee,Jordan Chrysostom,M
85,4e721a6a-101a-4895-9d2d-b74928b73523,John-Paul Weber,M
86,c4c38a97-b982-4591-bfd5-a1d6bf4f3bf8,Gary S,M
87,f40135fa-ed68-4d6f-9dbd-a9fb0a210e4b,Justin Slattery,M
88,643997b8-acbf-4ad1-a35f-26bd393015be,Brhet Bewley,M
89,0517f4a6-2648-470e-a9ff-8cf78eee3421,Connor McCartney,M
90,10397234-6551-4a06-8bc6-aa50d6915731,Liam Duffin,M
91,0b75af4a-8c68-4ff7-a2f1-09bda71b5bed,Andre Mercado,M
92,c971bb40-090b-4e47-be58-905495e38401,Miles Hoover,M
93,d9606838-65bf-4a4f-bcb5-1cf0d867e705,Jacob Lee,M
94,8c94d7b2-0dce-455e-916f-e35927d53547,Thomas Yu,M
95,091e8c64-3b31-4263-889e-7170c2313b97,Santhosh Narayanan,M
96,da18d74c-4ea3-4eba-b137-7b43192b8e5a,Nicholas Garza,M
97,7ef0e6aa-5130-41c0-9c7c-68cb94fa2d3d,Jack Sahid,M
98,1072c348-fd0a-4303-9dc3-be20c9736074,Jessica Jones,F
99,e8e10ea8-2ff2-4155-9169-cc33ff8c6265,Rio Newcombe,M
100,794634b2-7e1a-4928-ac82-a13fd3e984b2,Jessica Wilcox,F
101,04158680-ebb3-4554-96a1-500cc6d00882,Chloe Igleski,F
102,518626d4-2600-4134-8c6a-0ae9315f9625,Cason Campbell,M
103,96fa4141-9648-475f-ab95-fb6796c2f489,Sam Weinbach,M
