player_id,platform_rating_latest,n_snapshots
001e0c99-ca33-4d77-a721-d012be8acc8e,4.6,2
001e944e-7159-46c8-afe6-63c2754d9241,5.489,5
00333c0f-cfae-404f-a137-0dca5a3d67dd,5.317,3
00e04f40-f239-42cd-baaa-0800e5f7d525,4.8,3
013ec48b-8d63-4849-840c-948862965f08,3.92,1
0142557a-6231-455b-8eee-daf5f67fc1ff,5.39,7
01896d81-137e-4ebe-b18b-8d1c3beeb375,4.459,2
01ad1002-ab3c-4f05-b99c-8c265738bd68,4.49,1
01b07975-0090-42e8-b9d3-513896e6cd31,5.334,3
01b97541-4425-4241-a2d7-7025477b293f,4.524,1
01f8bc01-6aa9-45e3-95f2-ba4250adca73,4.999,2
02a3c8ae-fb47-4b82-8001-b33d9446a90e,5.954,3
030f3afe-5d7f-471e-af4d-b7abbe4cbb16,5.292,8
0343accd-6e43-4a1b-9afb-c9aaaf2f2e68,5.348,2
034ef432-2de0-4893-b242-34baee3c73a6,4.51,3
034ef82d-e77d-43ac-b0e7-4cd9c3358104,5.04,4
03db4060-fcb3-41f7-83d5-7ee732dd8841,5.11,12
03ee9ee1-7ce1-4704-9a48-a504790e91b0,5.308,1
04158680-ebb3-4554-96a1-500cc6d00882,5.541,3
044b3243-46cf-4b7d-bd47-9f2fad3933c8,4.686,1
04ab231b-f2ab-456a-a79a-1728f29e42fa,5.132,8
0513b1c7-d2f4-4800-92c6-07484b9fb344,4.8,2
0517f4a6-2648-470e-a9ff-8cf78eee3421,5.34,16
051c6bbf-be07-499c-98ec-3ce9179ce4de,5.194,9
051f5c82-82ce-4ab8-b4f8-36976638a89b,5.716,27
05b194b3-db88-4f77-a26f-5ef5cfbf6146,6.575,26
05bf7513-7f0a-4f6b-bc11-5d4b14314d91,5.929,15
05c9cc9c-18c5-4d1f-be3d-eb67578883c8,5.26,3
05de0c71-15ed-47f0-9268-8ab4dbe34993,4.75,1
063af537-3442-4e91-81b7-4ae4b11482c5,4.813,3
06ba18e0-687b-4aa3-822d-1c86981f576b,6.28,17
06bf1d7a-349c-4252-8ee0-05cb65a4a6a0,4.71,1
06dc9b8a-5c01-49cf-bb4d-70d7b5f85acf,5.874,32
06e87b30-1f70-46e6-a6a8-17a4086d609a,5.994,4
070be5dd-2dcf-44b6-b2e7-37d9fbd29aa2,5.267,4
079cece3-01b2-4dd1-9e95-957b83b14cd7,6.05,4
07b464bc-0c99-4969-a8b6-5b47fbc91436,4.74,2
07d2038a-4cec-414e-ac3f-0869c6e38390,4.998,2
0818d3c6-b863-49c8-89c4-e28e1cc5fb67,5.11,5
08208add-da5e-4a73-adb0-f1a86bf28153,5.76,4
086c9ee0-0aa3-4d2e-bc64-22a683f44d73,5.39,3
087c0954-17b8-440a-806d-a09a1547d9de,6.114,3
08c496a4-798a-4922-a573-dae3555f5d9e,4.722,2
093e132a-0458-472b-aaee-ee7e15d25e20,5.685,5
09d3b780-54b0-4bc9-8b9d-066753cc068f,4.441,2
0a287886-b880-4c46-8c66-ea4d198a7eba,5.08,4
0a58a30a-1c6f-4cf8-8ea8-06a19315506b,4.433,3
0a787ca5-f7c5-4352-99f8-3c7214e231c3,5.559,4
0a84556e-30f6-4500-8c95-a9ccbc51c7b1,4.75,4
0ac11983-04a4-49b8-80b6-afbc7453465e,5.084,10
0b75af4a-8c68-4ff7-a2f1-09bda71b5bed,5.633,30
0b7b1eb4-576e-4b87-a766-662437b590f0,4.854,1
0bc24306-92b4-44e1-8b21-0aaf0c9ee4f7,4.954,9
0c1bb94d-3af2-42f4-b938-d712c707ace4,5.494,19
0c3263ce-a370-475e-8cd7-32414ea409dd,5.627,3
0c557fe1-ed48-43e7-8942-9e0e32e2e427,5.18,2
0c5b84bb-4c04-4906-86bc-deb533ff4eec,6.431,11
0c80fb8f-dca2-4b40-a6f7-130dfb06448c,5.15,3
0ccab93d-398c-40a8-821f-07a2ded79dde,5.25,7
0d14405e-2e45-4dcb-8fb7-73558c261b4f,5.614,5
0d23964f-d43f-4006-b1e0-13001393216c,5.818,8
0d40af37-5b44-4f00-a2c8-03ea5e34960c,5.381,4
0d659a6e-9386-45c5-a3c0-8f8ce4efaa14,4.935,7
0d7764b9-3d03-4a04-a432-54982c8c1b5a,5.49,7
0d95388f-4063-43ff-bd5e-bfee39700a34,5.379,1
0df3b359-d935-4c79-a16a-ce373f55db07,5.807,6
0e58c8eb-91b0-48df-8554-1ccc35106ea9,5.16,1
