p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jillian Braverman,Jaume Martinez Vich,mixed,25,0.011,0.244,0.509,73.0
Kent Hunter,Kenadi Hance,mixed,4,0.016,0.267,0.509,78.2
Alec Weller,Luke Ness,mens,7,0.01,0.254,0.521,71.8
Sergey Afanasenka,William Stults,mens,2,-0.021,0.274,0.469,16.2
Roman Estareja,Aron Ouye,mens,3,-0.026,0.265,0.469,10.8
Chase Ora,Jesse Knight,mens,5,-0.012,0.27,0.486,31.3
Benjamin Bramblett,Chase Mason,mens,6,-0.0,0.26,0.494,55.5
Phuc Huynh,Marcel Chan,mens,39,0.043,0.293,0.549,94.8
Erik Pailet,Cierra Gaytan-Leach,mixed,7,0.015,0.256,0.525,77.2
Ryan Skufca,Elizabeth Skufca,mixed,14,0.014,0.272,0.534,76.7
Cason Campbell,Tucker Mueck,mens,2,-0.028,0.279,0.469,9.2
Benjamin Grant,Ryan Diaz,mens,7,0.029,0.276,0.527,89.0
Nick Black,Kevin Pham,mens,2,-0.012,0.259,0.494,32.0
Alex Emery,Ernesto Russo,mens,11,0.028,0.261,0.516,88.3
Walter Lau,Kyle McMakin,mens,2,0.007,0.258,0.524,66.5
Stephen Madonia,Grayson Goldin,mens,27,0.046,0.259,0.551,95.4
Julie Rodriguez,Alex Emery,mixed,4,0.02,0.262,0.509,82.1
Tim Ryan,Nancy Tsai,mixed,4,-0.008,0.28,0.496,40.6
Matthew Marceau,Malia K Lum,mixed,4,0.015,0.258,0.514,77.6
Jessica Mason,Chase Mason,mixed,27,-0.02,0.252,0.473,18.9
Cassidy Hoag,Anderson Scarpa,mixed,37,0.092,0.259,0.619,99.3
Lingwei Kong,Blaine Hovenier,mixed,4,-0.012,0.257,0.481,31.7
Caden Nemoff,Pierina Imparato,mixed,3,-0.011,0.256,0.481,34.7
Christine Maddox,James Bragg,mixed,5,0.017,0.272,0.52,79.3
Ethan Violette,Ammar Wazir,mens,25,0.017,0.256,0.509,79.2
Michael Loyd,Brooke Revuelta,mixed,25,0.03,0.259,0.538,90.0
Aron Ouye,Camila Garcia Wright,mixed,4,-0.0,0.248,0.506,55.0
Patrick Kawka,Lauren Mercado,mixed,9,0.07,0.253,0.581,98.6
Jake Davis,Jeffrey Tolman,mens,2,-0.015,0.256,0.476,26.2
Anders Jansson,Chiron Burl,mens,4,-0.025,0.256,0.479,12.1
Blaine Hovenier,Matthew Marceau,mens,4,-0.006,0.253,0.491,43.8
Jerome Jayapal,Jonathan Williams,mens,2,-0.012,0.251,0.483,32.6
Blake Potter,Ivana King,mixed,7,0.01,0.231,0.509,70.5
Luke Ness,Michelle Murphy,mixed,8,0.032,0.248,0.55,90.9
Madison Wold,Jake Presser,mixed,12,0.028,0.26,0.541,88.9
Yates Johnson,Vivian Glozman,mixed,7,-0.006,0.248,0.491,44.0
Katerina Stewart,Cason Campbell,mixed,12,0.05,0.251,0.564,96.3
Jericho Grollman,Harrison Gold,mens,7,0.022,0.251,0.525,83.6
Tatiana Ruhl,Jonny Pickleball Andrews,mixed,2,-0.011,0.254,0.499,34.7
Sabrina Guillebeaux,Chase Holderman,mixed,4,0.001,0.249,0.49,57.3
Kevin Dayan,Warren Tamanaha,mens,5,0.017,0.256,0.512,80.0
Cade Erickson,Vincent Van Patten,mens,2,-0.005,0.252,0.494,44.8
Kent Hunter,Matthew Mead,mens,3,-0.013,0.251,0.472,29.2
Angel Hernandez,David Horn,mens,5,-0.019,0.263,0.48,20.1
Jackson Ayotte,Rio Newcombe,mens,15,0.019,0.24,0.524,81.4
Matthew Mead,Ali Welch,mixed,2,-0.022,0.251,0.473,15.5
Gino Valencia,Dionne Lim,mixed,7,0.001,0.261,0.516,58.1
Clemens Graute,Ekaterina Biakina,mixed,28,-0.031,0.247,0.444,6.9
Gabrielle Boudreau,Rio Newcombe,mixed,3,-0.015,0.252,0.474,25.4
Stefan Svicevic,Mario Figueredo,mens,2,-0.01,0.246,0.493,36.9
David Hall,Christopher Williams,mens,3,-0.004,0.25,0.499,48.3
Troy Akin,Bryan Hammond,mens,10,0.026,0.242,0.521,87.0
Claudio Quinones Garcia,Iker Tomas,mens,2,-0.009,0.264,0.481,37.5
Mason Fung,Ryan Ali,mens,14,0.034,0.26,0.562,92.0
Chase Holderman,Christopher Haworth,mens,13,-0.008,0.235,0.491,40.4
Dean Loock,Danny Derry,mens,8,-0.016,0.242,0.471,24.4
Max Green,Cambell Nakayama,mens,2,0.006,0.254,0.506,65.2
Cori Elliott,Benjamin Grant,mixed,2,-0.005,0.235,0.492,45.9
Ryan Eveloff,Amanda Rosati,mixed,2,-0.012,0.252,0.492,31.5
Nicole Eugenio,Wesley Burrows,mixed,8,0.079,0.289,0.594,99.0
Mike Anderson,Marcela Aguila Ampon,mixed,6,0.003,0.26,0.497,60.5
Kevin Dayan,Trang Huynh,mixed,6,-0.006,0.249,0.504,43.5
Jason Gregory,Christopher Welch,mens,2,-0.014,0.258,0.472,27.7
Liz Truluck,Casey Diamond,mixed,2,-0.017,0.274,0.474,23.3
Claudia Stepien,Chiron Burl,mixed,4,-0.003,0.253,0.507,50.0
Naveen Beasley,Sharienne Ricardo,mixed,2,-0.016,0.257,0.471,24.5
Shea Donahue,Mario Figueredo,mixed,2,0.01,0.247,0.51,70.9
Jaume Martinez Vich,Wyatt Stone,mens,5,-0.001,0.25,0.503,54.6
Yates Johnson,Hunter Johnson,mens,26,-0.04,0.253,0.446,3.4
Spartak Rahachou,Louie Payetta,mens,4,-0.028,0.281,0.46,9.4
Camila Garcia Wright,Marcela Aguila Ampon,womens,2,-0.015,0.261,0.476,26.0
Pamela Montez,Claudia Stepien,womens,4,0.022,0.255,0.524,83.4
Nicole Eugenio,Cori Elliott,womens,4,0.002,0.262,0.506,58.8
Lyndsay Kinstler,Michelle Murphy,womens,5,-0.015,0.268,0.491,26.9
Parris Todd,Hunter Johnson,mixed,73,0.108,0.267,0.636,99.6
Camila Zilveti,Ivan Jakovljevic,mixed,2,-0.008,0.258,0.479,40.4
Jonny Pickleball Andrews,Ryan Sherry,mens,2,-0.033,0.259,0.445,5.8
Eric Roddy,Jason McNulty,mens,8,0.025,0.262,0.549,86.3
Cierra Gaytan-Leach,Olivia McMillan,womens,2,-0.018,0.238,0.471,21.2
Christine Trifunovic,Kaitlyn Christian,womens,14,-0.009,0.251,0.486,38.7
Sabrina Guillebeaux,Tatiana Ruhl,womens,10,0.046,0.258,0.576,95.6
Lingwei Kong,Ekaterina Biakina,womens,7,-0.006,0.261,0.503,43.1
Erik Lange,Lina Padegimaite,mixed,7,-0.029,0.276,0.452,8.3
Madeline Schulte,Patrick Smith,mixed,2,-0.059,0.258,0.415,1.0
Rafa Hewett,Ava Ignatowich,mixed,2,-0.034,0.255,0.45,5.2
Chao Yi Wang,Eric Roddy,mixed,6,-0.018,0.273,0.478,20.8
Dominique Schaefer,Wyatt Stone,mixed,11,0.012,0.252,0.514,74.4
Genie Erokhina,Martin Emmrich,mixed,8,0.005,0.246,0.5,64.8
Allison Phillips,Chuck Taylor,mixed,5,0.014,0.261,0.534,76.7
Naveen Beasley,Elliot Markowitz,mens,9,0.017,0.238,0.519,79.3
Mohaned Alhouni,Mota Alhouni,mens,28,-0.033,0.257,0.452,6.0
Patrick Kawka,Michael Loyd,mens,16,0.053,0.255,0.563,96.8
Alvaro Terron,Donald Young,mens,14,0.011,0.247,0.521,73.0
Mary Brascia,Gabriel Tardio,mixed,10,-0.063,0.279,0.413,0.8
Quang Duong,Pesa Teoni,mens,8,-0.058,0.282,0.421,1.0
Lauren Mercado,Brooke Revuelta,womens,5,-0.044,0.249,0.439,2.5
Malia K Lum,Trang Huynh,womens,24,0.069,0.263,0.594,98.6
Brandon French,Anderson Scarpa,mens,2,-0.037,0.258,0.457,4.5
Pablo Tellez,Etta Tuionetoa,mixed,25,-0.012,0.242,0.487,32.4
Tamaryn Emmrich,Daniel De la Rosa,mixed,71,0.067,0.256,0.591,98.4
Brooke Buckner,Collin Johns,mixed,14,-0.015,0.236,0.484,25.1
Maggie Brascia,Hayden Patriquin,mixed,24,0.015,0.226,0.53,77.2
Alex Neumann,Aanik Lohani,mens,15,0.001,0.245,0.489,57.3
Erik Pailet,Derek Shearer,mens,3,0.019,0.258,0.531,81.5
Rachel Rohrabacher,Federico Staksrud,mixed,132,-0.07,0.271,0.404,0.6
Genie Bouchard,Tyler Loong,mixed,2,-0.02,0.245,0.476,18.2
Liz Truluck,Pierina Imparato,womens,54,0.028,0.254,0.539,88.4
Craig Johnson,Augustus Ge,mens,26,0.006,0.251,0.514,65.9
Angie Walker,Alex Walker,womens,89,0.065,0.264,0.599,98.2
Katerina Stewart,Ava Ignatowich,womens,7,-0.048,0.245,0.443,2.1
Collin Shick,Rachel Rettger,mixed,20,0.154,0.287,0.696,99.8
Allison Phillips,Dominique Schaefer,womens,9,-0.025,0.264,0.476,12.2
Jessica Mason,Ali Welch,womens,2,0.021,0.268,0.524,83.3
Brandon French,Olivia McMillan,mixed,2,-0.04,0.265,0.453,3.6
