p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Benjamin Bramblett,Chase Mason,mens,4,-0.103,0.404,0.399,4.2
Phuc Huynh,Marcel Chan,mens,15,-0.024,0.386,0.464,39.0
Cassidy Hoag,Anderson Scarpa,mixed,33,0.171,0.373,0.674,98.2
Lingwei Kong,Blaine Hovenier,mixed,2,-0.072,0.436,0.435,11.4
Michael Loyd,Brooke Revuelta,mixed,13,0.014,0.403,0.506,63.8
Luke Ness,Michelle Murphy,mixed,3,0.0,0.416,0.502,55.3
Patrick Kawka,Lauren Mercado,mixed,4,0.119,0.399,0.599,94.6
Kevin Dayan,Trang Huynh,mixed,4,-0.074,0.401,0.434,10.6
Jaume Martinez Vich,Wyatt Stone,mens,3,-0.083,0.407,0.418,7.6
Yates Johnson,Hunter Johnson,mens,19,-0.046,0.39,0.462,24.3
Parris Todd,Hunter Johnson,mixed,69,0.219,0.383,0.708,99.0
Camila Zilveti,Ivan Jakovljevic,mixed,2,-0.015,0.413,0.485,45.0
Sabrina Guillebeaux,Tatiana Ruhl,womens,6,0.029,0.385,0.522,72.0
Lingwei Kong,Ekaterina Biakina,womens,7,0.012,0.394,0.516,62.0
Madeline Schulte,Patrick Smith,mixed,2,-0.134,0.4,0.381,1.8
Nicole Eugenio,Wesley Burrows,mixed,4,0.102,0.412,0.584,93.3
Rafa Hewett,Ava Ignatowich,mixed,2,-0.068,0.397,0.446,12.6
Chao Yi Wang,Eric Roddy,mixed,6,-0.013,0.417,0.498,46.7
Genie Erokhina,Martin Emmrich,mixed,8,0.016,0.382,0.518,65.0
Allison Phillips,Chuck Taylor,mixed,5,0.018,0.397,0.514,66.4
Lauren Mercado,Brooke Revuelta,womens,5,-0.129,0.401,0.389,1.8
Malia K Lum,Trang Huynh,womens,18,0.127,0.401,0.621,95.8
Pablo Tellez,Etta Tuionetoa,mixed,25,-0.026,0.349,0.481,37.7
Tamaryn Emmrich,Daniel De la Rosa,mixed,71,0.146,0.404,0.626,97.0
Brooke Buckner,Collin Johns,mixed,12,-0.039,0.396,0.469,28.7
Jillian Braverman,Jaume Martinez Vich,mixed,18,0.075,0.384,0.576,88.4
Maggie Brascia,Hayden Patriquin,mixed,20,0.005,0.389,0.515,58.3
Alex Neumann,Aanik Lohani,mens,10,-0.052,0.409,0.441,19.9
Erik Pailet,Derek Shearer,mens,3,0.015,0.365,0.516,64.6
Rachel Rohrabacher,Federico Staksrud,mixed,130,-0.136,0.348,0.343,1.5
Yates Johnson,Vivian Glozman,mixed,2,-0.025,0.378,0.471,38.9
Genie Bouchard,Tyler Loong,mixed,2,-0.041,0.432,0.469,26.9
Craig Johnson,Augustus Ge,mens,26,0.003,0.369,0.496,56.5
Jackson Ayotte,Rio Newcombe,mens,6,-0.037,0.407,0.456,30.4
Mary Brascia,Gabriel Tardio,mixed,8,-0.15,0.402,0.351,0.8
Collin Shick,Rachel Rettger,mixed,20,0.34,0.439,0.774,99.7
Brandon French,Olivia McMillan,mixed,2,-0.085,0.42,0.417,7.0
Callan Dawson,Judit Castillo,mixed,2,-0.037,0.402,0.471,30.1
Dominique Schaefer,Wyatt Stone,mixed,9,0.035,0.369,0.534,74.0
Quang Duong,Christine Trifunovic,mixed,3,-0.002,0.395,0.498,53.5
Ewa Radzikowska,Judit Castillo,womens,50,0.05,0.371,0.544,79.9
Domenika Turkovic,Amanda Rosati,womens,5,-0.053,0.384,0.451,19.3
Daniel De la Rosa,Martin Emmrich,mens,62,-0.18,0.39,0.328,0.5
Angie Walker,Donald Young,mixed,9,0.048,0.392,0.544,78.8
Steve Deakin,Alex Walker,mixed,18,0.124,0.378,0.607,95.6
Travis Rettenmaier,Roscoe Bellamy,mens,9,0.086,0.381,0.586,90.4
Ethan Violette,Ammar Wazir,mens,6,-0.036,0.401,0.475,31.4
Quang Duong,Pesa Teoni,mens,5,-0.073,0.409,0.431,11.0
Sam Querrey,Wesley Burrows,mens,11,-0.03,0.39,0.463,35.6
Camila Zilveti,Rachel Rettger,womens,3,-0.005,0.384,0.489,52.1
Jade Kawamoto,Darrian Young,mixed,2,-0.078,0.435,0.439,9.5
Zack Taylor,Casey Diamond,mens,2,-0.006,0.382,0.491,51.4
AJ Koller,Chuck Taylor,mens,7,-0.108,0.41,0.396,3.7
Patrick Kawka,Michael Loyd,mens,10,0.063,0.368,0.541,84.4
Parris Todd,Vivian Glozman,womens,4,-0.083,0.385,0.417,7.8
Callie Smith,Jay Devilliers,mixed,65,0.023,0.352,0.521,69.0
James Ignatowich,Anna Bright,mixed,90,0.26,0.376,0.743,99.4
Andrei Daescu,Lea Jansen,mixed,14,-0.051,0.362,0.444,20.5
Mary Brascia,Maggie Brascia,womens,92,-0.052,0.374,0.444,19.7
Christine Trifunovic,Kaitlyn Christian,womens,9,-0.002,0.391,0.503,53.3
Travis Rettenmaier,Lacy Schneemann,mixed,20,-0.141,0.385,0.349,1.4
Tamaryn Emmrich,Genie Erokhina,womens,13,0.027,0.384,0.526,70.3
Angie Walker,Alex Walker,womens,71,0.074,0.339,0.574,88.1
Brooke Buckner,Lina Padegimaite,womens,26,-0.232,0.415,0.296,0.1
Allison Phillips,Dominique Schaefer,womens,5,-0.029,0.394,0.477,36.1
Lucy Kovalova,Matt Wright,mixed,84,-0.073,0.366,0.442,10.9
Julian Arnold,Lauren Stratman,mixed,47,0.079,0.365,0.585,89.3
Jack Sock,Catherine Parenteau,mixed,36,0.052,0.354,0.549,81.0
Dekel Bar,Tina Pisnik,mixed,135,-0.145,0.352,0.365,1.2
Callan Dawson,Hayden Patriquin,mens,51,0.004,0.379,0.512,56.9
Thomas Wilson,Vivienne David,mixed,108,0.397,0.429,0.834,100.0
Jorja Johnson,JW Johnson,mixed,149,-0.018,0.356,0.473,43.0
Jack Sock,Collin Shick,mens,54,-0.069,0.368,0.436,12.3
Chao Yi Wang,Genie Bouchard,womens,5,-0.169,0.417,0.341,0.5
Allyce Jones,Connor Garnett,mixed,23,0.022,0.358,0.502,68.6
Meghan Dizon,Tyson McGuffin,mixed,30,0.07,0.37,0.566,86.6
Phillip Locklear,Spencer Smith,mens,4,-0.184,0.412,0.347,0.4
Andrei Daescu,Gabriel Tardio,mens,75,-0.147,0.36,0.339,0.9
Christine Maddox,Jillian Braverman,womens,13,0.145,0.397,0.625,96.9
Liz Truluck,Pierina Imparato,womens,41,-0.065,0.368,0.433,13.5
Anna Leigh Waters,Ben Johns,mixed,198,0.112,0.378,0.606,94.3
Riley Newman,Thomas Wilson,mens,19,0.144,0.404,0.631,96.7
Julian Arnold,Christian Alshon,mens,14,0.031,0.402,0.516,72.7
Collin Johns,Ben Johns,mens,175,0.361,0.418,0.813,99.8
Lacy Schneemann,Vivienne David,womens,33,0.075,0.368,0.57,88.5
Jorja Johnson,Tina Pisnik,womens,12,0.091,0.403,0.587,91.5
Jade Kawamoto,Jackie Kawamoto,womens,35,0.041,0.391,0.539,76.6
Lea Jansen,Tyra Hurricane Black,womens,4,-0.026,0.379,0.478,37.8
Pablo Tellez,Federico Staksrud,mens,65,-0.235,0.39,0.274,0.0
Matt Wright,James Ignatowich,mens,46,0.229,0.382,0.708,99.1
Todd Fought,Tyler Loong,mens,4,-0.106,0.414,0.405,3.9
Rachel Rohrabacher,Anna Bright,womens,171,0.35,0.42,0.791,99.8
Lauren Stratman,Allyce Jones,womens,26,0.054,0.381,0.548,81.9
Anna Leigh Waters,Catherine Parenteau,womens,180,0.15,0.389,0.636,97.3
Dylan Frazier,JW Johnson,mens,155,0.206,0.403,0.686,98.9
Callie Smith,Lucy Kovalova,womens,80,0.071,0.349,0.562,87.2
Dekel Bar,Tyson McGuffin,mens,71,-0.021,0.364,0.471,40.5
Etta Tuionetoa,Meghan Dizon,womens,115,0.061,0.353,0.564,83.6
Jay Devilliers,Patrick Smith,mens,55,0.083,0.375,0.582,89.9
Rafa Hewett,Connor Garnett,mens,4,-0.001,0.383,0.489,54.5
Riley Newman,Jackie Kawamoto,mixed,38,0.121,0.364,0.621,95.1
Claudio Quinones Garcia,Christopher Haworth,mens,5,-0.083,0.386,0.413,7.7
Thatcher Schwendiman,Clayton Boydston,mens,10,-0.065,0.393,0.431,13.8
David Litvinov,Benjamin Grant,mens,2,-0.039,0.39,0.469,28.5
Nick Black,Logan Rosenbach,mens,7,0.009,0.386,0.508,60.4
AJ Koller,Lacy Schneemann,mixed,5,0.005,0.396,0.504,57.9
Allison Phillips,John Cincola,mixed,6,-0.038,0.42,0.466,29.4
Chao Yi Wang,Chuck Taylor,mixed,17,0.065,0.376,0.569,85.2
Christian Alshon,Catherine Parenteau,mixed,48,0.085,0.348,0.599,90.2
Lina Padegimaite,CJ Klinger,mixed,10,0.004,0.389,0.511,57.5
Mari Humberg,Martin Emmrich,mixed,14,-0.053,0.395,0.442,19.6
Kaitlyn Christian,Wesley Burrows,mixed,5,-0.01,0.413,0.497,48.0
Callan Dawson,Emilia Schmidt,mixed,16,0.067,0.377,0.569,85.7
Christine Trifunovic,Brandon French,mixed,7,-0.005,0.419,0.496,52.0
Liz Truluck,Aanik Lohani,mixed,2,-0.046,0.38,0.445,24.0
Casey Diamond,Ava Ignatowich,mixed,2,-0.025,0.391,0.474,38.6
Lea Jansen,Jack Munro,mixed,3,-0.036,0.386,0.475,31.7
Augustus Ge,Tyra Hurricane Black,mixed,19,0.12,0.383,0.624,94.9
Zane Navratil,Andrea Koop,mixed,16,0.062,0.393,0.563,84.3
Rafa Hewett,Jade Kawamoto,mixed,2,-0.045,0.375,0.449,24.6
Lingwei Kong,Wyatt Stone,mixed,2,-0.038,0.387,0.469,29.4
Christine Maddox,Tyler Loong,mixed,4,-0.192,0.426,0.348,0.2
Patrick Kawka,Salome Devidze,mixed,4,0.084,0.4,0.576,90.1
Carlota Trevino,Benjamin Grant,mixed,2,-0.008,0.416,0.485,50.3
Madeline Schulte,Tavon Morrow,mixed,16,-0.098,0.388,0.422,5.0
Dana Raugust,Daniel Jensen,mixed,11,-0.031,0.376,0.471,34.5
Craig Johnson,Audrey Adele Brown,mixed,5,-0.081,0.41,0.432,8.3
Johnny Goldberg,Will Howells,mens,2,-0.019,0.385,0.494,41.9
Roscoe Bellamy,Wesley Burrows,mens,3,-0.003,0.392,0.492,53.0
Tamaryn Emmrich,Mari Humberg,womens,9,-0.025,0.394,0.471,38.1
Cassidy Hoag,Brooke Revuelta,womens,2,0.035,0.374,0.544,73.9
Blaine Hovenier,Ryan Eveloff,mens,9,-0.087,0.42,0.426,6.7
Luke Wasson,Drake Palm,mens,3,-0.02,0.394,0.463,41.3
Chloe Igleski,Ella Boydston,womens,2,-0.025,0.397,0.476,38.8
Jonny Pickleball Andrews,Keith Read,mens,14,0.076,0.374,0.561,89.0
Caden Nemoff,Rob Cassidy,mens,4,-0.023,0.385,0.474,39.4
Jaume Martinez Vich,CJ Klinger,mens,25,-0.027,0.364,0.488,37.2
Tavon Morrow,Evgeniy Kim,mens,3,0.035,0.387,0.528,73.9
Daria Walczak,Marcela Aguila Ampon,womens,2,0.027,0.411,0.533,70.9
Andrea Koop,Tina Pisnik,womens,11,-0.099,0.371,0.391,4.8
Nicole Eugenio,Malia K Lum,womens,2,-0.023,0.384,0.485,39.8
Eric Roddy,Aanik Lohani,mens,4,0.066,0.39,0.546,85.5
Lingwei Kong,Ava Ignatowich,womens,9,0.051,0.411,0.544,80.4
Pesa Teoni,Etienne Blaszkewycz,mens,8,-0.005,0.412,0.496,51.8
Brandon French,Donald Young,mens,5,-0.053,0.388,0.443,19.1
Ross Whittaker,Casey Diamond,mens,8,-0.099,0.377,0.414,4.9
Madeline Schulte,Dionne Lim,womens,2,-0.069,0.395,0.45,12.5
Jackson Ayotte,Daniel Jensen,mens,10,0.112,0.386,0.606,94.3
John Cincola,Wyatt Stone,mens,11,0.07,0.392,0.563,86.9
Ivan Jakovljevic,Steve Deakin,mens,21,0.027,0.379,0.514,70.6
David Hall,Bryce Larson,mens,12,-0.021,0.381,0.491,40.8
Lauren Wong,Brenna Murray,womens,3,-0.062,0.403,0.436,14.8
Erik Pailet,Jericho Grollman,mens,2,-0.017,0.368,0.476,44.0
Ernesto Russo,Sarah Ansboury,mixed,2,-0.032,0.397,0.471,34.2
Daria Walczak,Craig Johnson,mixed,10,0.035,0.398,0.525,74.5
Madeline Schulte,Drake Palm,mixed,5,-0.015,0.381,0.486,45.3
Chloe Igleski,Thatcher Schwendiman,mixed,3,0.002,0.415,0.494,56.0
Dalia Garza,Pesa Teoni,mixed,4,0.009,0.373,0.499,60.6
Sabrina Guillebeaux,Quan Do,mixed,2,-0.059,0.404,0.452,16.1
Tatiana Ruhl,Claudio Quinones Garcia,mixed,5,0.017,0.407,0.494,65.8
Benjamin Bramblett,Domenika Turkovic,mixed,6,0.022,0.419,0.504,68.4
Rachael James,Erik Forsythe,mixed,16,0.049,0.403,0.534,79.3
Cassidy Hoag,Darrian Young,mixed,3,-0.01,0.381,0.489,47.9
Quan Do,Ryan Gilbert,mens,4,0.021,0.407,0.516,68.1
Nick Black,Jordan Bridge,mens,2,-0.059,0.409,0.451,16.3
Ryan Fu,Tanner Tomassi,mens,9,-0.041,0.423,0.456,26.8
Joshua Reason,Zak Parks,mens,6,0.002,0.391,0.493,55.7
Brandon French,Judit Castillo,mixed,3,-0.007,0.414,0.499,50.8
Carolina Mayorga-Perry,Phillip Locklear,mixed,7,0.01,0.402,0.524,61.2
David Hall,Clayton Boydston,mens,5,0.074,0.391,0.568,88.2
Ryan Gilbert,Dionne Lim,mixed,6,0.095,0.407,0.584,92.4
Maddy Rasmusen,Benjamin Grant,mixed,2,-0.023,0.397,0.484,39.4
Genie Erokhina,Anderson Scarpa,mixed,15,-0.114,0.382,0.399,3.1
Joshua Reason,Shea Donahue,mixed,2,-0.011,0.421,0.49,47.6
Brenna Murray,Bryce Larson,mixed,6,0.001,0.381,0.489,55.5
Dominique Schaefer,Rachel Rettger,womens,7,-0.051,0.396,0.434,20.3
Brenna Murray,Maddy Rasmusen,womens,8,-0.008,0.375,0.496,49.5
Quang Duong,Lingwei Kong,mixed,2,-0.049,0.392,0.457,22.1
Erik Pailet,Drake Palm,mens,5,0.028,0.407,0.529,71.3
Ross Whittaker,Mari Humberg,mixed,2,-0.013,0.388,0.491,46.3
Genie Bouchard,Gregory Dow,mixed,2,-0.015,0.388,0.481,44.6
Michael Loyd,Pesa Teoni,mens,4,0.005,0.409,0.494,58.5
Bobbi Oshiro,Wyatt Stone,mixed,18,0.152,0.381,0.65,97.4
Christine Trifunovic,Marshall Brown,mixed,13,-0.005,0.368,0.476,51.6
Liz Truluck,Wesley Burrows,mixed,2,-0.008,0.358,0.491,50.0
Rafa Hewett,Tyra Hurricane Black,mixed,5,-0.018,0.384,0.475,43.2
Tam Trinh,Luke Wasson,mens,2,-0.077,0.41,0.426,9.9
Ryan Sherry,Ava Ignatowich,mixed,5,0.02,0.391,0.511,67.2
Audrey Adele Brown,Tatiana Ruhl,womens,5,-0.046,0.412,0.463,23.8
Domenika Turkovic,Dionne Lim,womens,10,-0.009,0.378,0.473,48.6
Ivan Jakovljevic,Brandon French,mens,22,-0.034,0.384,0.475,32.7
Mohaned Alhouni,Sammy Lee,mens,6,0.088,0.396,0.566,90.9
Ewa Radzikowska,Todd Fought,mixed,2,-0.052,0.397,0.459,20.0
Gregory Dow,Anderson Scarpa,mens,36,0.056,0.382,0.553,82.3
Callan Dawson,Dominique Schaefer,mixed,11,-0.077,0.37,0.436,9.8
Gabriel Joseph,Camila Zilveti,mixed,8,0.063,0.394,0.567,84.6
Genie Erokhina,Sarah Ansboury,womens,2,-0.026,0.363,0.473,37.8
Jade Kawamoto,Federico Staksrud,mixed,14,0.058,0.397,0.562,82.9
Sam Querrey,Kaitlyn Christian,mixed,6,0.07,0.404,0.559,86.7
Spencer Smith,Olivia McMillan,mixed,7,0.119,0.403,0.604,94.7
Tamaryn Emmrich,Olivia McMillan,womens,2,-0.027,0.388,0.484,37.1
Zane Navratil,Allison Phillips,mixed,3,0.005,0.386,0.501,58.0
Carolina Mayorga-Perry,Dana Raugust,womens,2,-0.088,0.404,0.411,6.3
Daria Walczak,Christa Gecheva,womens,11,0.021,0.392,0.524,67.9
Gabriel Joseph,Jericho Grollman,mens,3,0.015,0.411,0.514,64.4
Phillip Locklear,Steve Deakin,mens,4,0.03,0.398,0.529,72.5
Claudio Quinones Garcia,Juan Benitez,mens,6,0.052,0.392,0.558,80.8
Bobbi Oshiro,Milan Rane,womens,23,0.016,0.361,0.524,64.8
Marshall Brown,Donald Young,mens,2,-0.02,0.382,0.479,41.1
Darrian Young,Connor Garnett,mens,12,0.069,0.362,0.574,86.5
Quang Duong,Tyler Loong,mens,2,-0.054,0.382,0.445,18.7
Jessie Irvine,Tina Pisnik,womens,40,0.045,0.364,0.542,78.1
Parris Todd,Tyra Hurricane Black,womens,55,0.166,0.361,0.679,98.1
Julian Arnold,Jack Munro,mens,26,0.024,0.376,0.509,69.2
Spencer Smith,Wyatt Stone,mens,2,-0.013,0.376,0.48,46.5
Christian Alshon,Jessie Irvine,mixed,13,0.052,0.379,0.564,81.0
Zane Navratil,Christian Alshon,mens,16,0.01,0.396,0.516,60.9
Irina Tereschenko,Lacy Schneemann,womens,2,0.025,0.421,0.522,69.4
Mari Humberg,Jorja Johnson,womens,66,-0.002,0.358,0.488,53.6
AJ Koller,Travis Rettenmaier,mens,4,-0.035,0.378,0.464,32.3
Vivienne David,Anna Bright,womens,8,0.005,0.368,0.502,58.1
Rafa Hewett,Todd Fought,mens,2,-0.04,0.384,0.451,28.0
Lea Jansen,Lauren Stratman,womens,2,-0.078,0.409,0.431,9.6
Ivan Jakovljevic,Ava Ignatowich,mixed,4,-0.019,0.399,0.477,42.4
Collin Johns,Anna Bright,mixed,7,0.035,0.385,0.537,74.2
