p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.077,0.489,0.428,19.7
Alia Brown,Madalina Grigoriu,womens,4,0.072,0.528,0.548,79.9
Hudson De Risi,Matthew Finnerty,mens,7,-0.093,0.531,0.436,14.3
Vincent Rettke,Miles Hoover,mens,15,0.013,0.532,0.509,62.0
Samantha Buyckx,Kelsey Laurente,womens,5,0.024,0.514,0.519,66.3
Arianna Raga,Ali Quintero,womens,2,-0.029,0.542,0.473,42.0
Michael Leonard,John Lucian Goins,mens,4,-0.008,0.529,0.499,53.0
Connor Mogle,Jose Martinez,mens,10,0.017,0.518,0.51,64.1
Poongi Hong,Michael Vallejo,mens,5,0.045,0.54,0.534,73.1
Andrew Loftin,Amir Evgamukov,mens,7,0.172,0.504,0.619,94.0
Austin Bricker,Adam Harvey,mens,10,0.083,0.52,0.584,81.8
Mark Dancuart,Tanner Tomassi,mens,12,0.063,0.522,0.529,77.9
Robby Greenlaw,Thiago Braga,mens,3,-0.051,0.54,0.468,31.4
Luca Mack,Anouar Braham,mens,19,0.347,0.513,0.756,99.2
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.155,0.526,0.608,92.2
Robert Laidlaw,Connor Duvally,mens,6,0.061,0.551,0.536,77.5
Grayson Goldin,William Sobek,mens,8,0.159,0.517,0.625,92.9
MJ Greiner,Dylan Lewis,mens,4,-0.031,0.535,0.481,40.8
Riley Bohnert,Marisa Ruiz,womens,5,-0.003,0.53,0.497,55.7
Seone Mendez,Jessica Warren,womens,2,0.011,0.526,0.517,61.1
George Rangelov,Nejc Sitar,mens,7,0.015,0.484,0.507,62.9
Logan Rowe,Joe Wiencek,mens,2,-0.023,0.543,0.5,44.9
Mark Growcott,Bret Berryman,mens,10,0.098,0.52,0.576,85.1
Jarryd Woog,Evan Pratt,mens,8,0.025,0.539,0.518,66.7
Michael Coleman,Jake Benjamin,mens,2,0.016,0.526,0.517,63.1
Justin Graham,Emanuel Dickson,mens,9,-0.022,0.552,0.501,45.6
Evan Zoeteman,Mulima Mulenga,mens,2,0.017,0.522,0.498,63.7
Zane Ford,Tendai Tapfuma,mens,3,-0.104,0.536,0.424,11.3
Tom Protzek,Martin Emmrich,mens,20,-0.149,0.503,0.388,4.5
Ashley Griffith,Brooke Caruso,womens,16,0.25,0.519,0.661,97.7
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.142,0.503,0.393,5.4
Elsie Hendershot,Lina Padegimaite,womens,12,-0.036,0.491,0.475,38.0
Martina Frantova,Rachel Summers,womens,10,0.073,0.524,0.551,80.0
Brie Aldridge,Morgan Downing,womens,3,-0.045,0.53,0.471,33.6
Adalynn Lund,Monica Perez,womens,7,0.01,0.538,0.513,60.6
Ernesto Fajardo,Tobias Moreno,mens,2,-0.082,0.531,0.431,17.5
Caio Bardauil,Rey Greenlaw,mens,8,0.095,0.54,0.571,84.5
Ewa Radzikowska,Tamaryn Emmrich,womens,30,0.541,0.575,0.841,100.0
Christa Gecheva,Mehvish Safdar,womens,10,0.102,0.52,0.571,86.1
Jay Evans,William Hsieh,mens,9,-0.005,0.53,0.486,54.6
Brian Chamberlin,Tyler Glowaki,mens,3,-0.084,0.533,0.44,17.3
William Owens,Brayden Nguyen,mens,5,0.008,0.521,0.504,60.1
Rodrigo Reyes,Maksims Kazijevs,mens,3,-0.083,0.51,0.433,17.5
TJ Rudden,Matthew Mead,mens,2,-0.072,0.554,0.451,21.9
Evan Ankrom,Matthew Pokorny,mens,11,0.106,0.545,0.566,86.8
Cole Whitaker,Nicholas Wade,mens,3,-0.137,0.531,0.404,6.1
Kleyton Martins da Silva,Carlos Miranda,mens,2,-0.014,0.558,0.489,50.2
Camden Chaffin,Juan Benitez,mens,11,0.134,0.497,0.594,90.3
Ahmad El-Zarif,Stephen Preissler,mens,14,0.048,0.54,0.52,73.6
Haley Ferguson,Sharienne Ricardo,womens,4,-0.046,0.534,0.472,33.5
Caroline Stepnowski,Veronica Alteri,womens,2,-0.045,0.529,0.466,34.1
Andrea Koop,Mari Humberg,womens,9,-0.079,0.495,0.438,18.7
Freddie Powell,Zachary Card,mens,4,-0.026,0.529,0.49,43.9
Colton Thielman,Christian Lund,mens,2,-0.08,0.525,0.432,18.3
Valerie R Simon,Victoria Simon,womens,27,0.102,0.52,0.569,86.0
Jazz Hearn IV,Kimberly Bacalla,womens,2,-0.069,0.528,0.452,23.2
Tim Ahlersmeyer,John Moorin,mens,2,-0.016,0.541,0.476,48.8
Joshua Elliott,Jae Centonze,mens,4,-0.006,0.493,0.486,53.8
Noah Torres,Brendan Gallagher,mens,2,0.008,0.515,0.513,60.1
Kayla Williams,Keilly Ulery,womens,14,-0.029,0.513,0.469,42.3
Michelle McMahon,Stephanie Galainena,womens,2,-0.062,0.534,0.466,26.0
Eliel Herminas,Jorge Garcia,mens,2,-0.036,0.514,0.481,38.0
Preston Engel,Noah Waddell,mens,5,0.038,0.505,0.534,70.9
Brett Barrette,Elijah Chernoff,mens,2,-0.103,0.544,0.435,11.5
Eduardo Correia,Benjamin Pepion,mens,2,-0.039,0.545,0.474,36.5
Nicole Conard,Paula Rives,womens,5,-0.154,0.518,0.379,4.2
Piercarlo Usai,Domenico Geminiani,mens,2,-0.064,0.503,0.439,24.9
Scout Johnson,Adrienn Hidvegi,womens,2,-0.077,0.516,0.464,19.9
Johan Nilsson,Michael Shaw,mens,4,-0.041,0.554,0.461,35.7
Julian Slive,Adair Garcia,mens,3,-0.155,0.561,0.385,4.1
Zach Gonnering,Jake Anderson,mens,12,-0.019,0.496,0.488,47.3
George Bulger,Benjamin Bramblett,mens,15,-0.063,0.526,0.459,25.7
Alexis Almy,Olivia Almy,womens,2,-0.095,0.534,0.439,13.6
Parth Mody,Ben Slive,mens,5,0.077,0.521,0.55,80.6
Gautham Bondugula,Daniel Gallegos,mens,2,-0.076,0.534,0.462,20.2
Chris Walker,Nicholas Romano,mens,4,0.016,0.517,0.513,63.4
Ryan Lucci,Diego Lebron Perez,mens,2,-0.048,0.505,0.46,32.5
Ryan Nolan,Dan Nguyen,mens,2,-0.104,0.526,0.418,11.1
Lauren Lennertz,Christee Chargot,womens,2,-0.01,0.493,0.486,52.0
Zachary Higginson,Samuel Higginson,mens,6,0.024,0.542,0.503,66.3
Nicole Conard,Freddie Powell,mixed,2,-0.147,0.511,0.402,4.7
