p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.068,0.5,0.446,24.1
Alia Brown,Madalina Grigoriu,womens,4,0.087,0.53,0.57,82.9
Hudson De Risi,Matthew Finnerty,mens,7,-0.105,0.546,0.426,11.0
Vincent Rettke,Miles Hoover,mens,15,-0.039,0.537,0.474,37.2
Samantha Buyckx,Kelsey Laurente,womens,5,0.04,0.537,0.516,71.0
Arianna Raga,Ali Quintero,womens,2,-0.017,0.534,0.489,48.6
Michael Leonard,John Lucian Goins,mens,4,0.005,0.529,0.493,59.3
Connor Mogle,Jose Martinez,mens,10,0.018,0.54,0.515,64.1
Poongi Hong,Michael Vallejo,mens,5,0.024,0.549,0.514,65.8
Andrew Loftin,Amir Evgamukov,mens,7,0.166,0.504,0.62,93.4
Austin Bricker,Adam Harvey,mens,10,0.083,0.502,0.559,81.9
Mark Dancuart,Tanner Tomassi,mens,12,0.04,0.546,0.536,71.1
Robby Greenlaw,Thiago Braga,mens,3,-0.053,0.538,0.462,30.6
Luca Mack,Anouar Braham,mens,19,0.367,0.524,0.741,99.4
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.141,0.514,0.603,91.1
Robert Laidlaw,Connor Duvally,mens,6,0.07,0.537,0.545,78.9
Grayson Goldin,William Sobek,mens,8,0.141,0.521,0.597,91.0
MJ Greiner,Dylan Lewis,mens,4,-0.024,0.544,0.493,45.1
Riley Bohnert,Marisa Ruiz,womens,5,0.004,0.521,0.501,58.9
Seone Mendez,Jessica Warren,womens,2,0.01,0.537,0.505,61.2
George Rangelov,Nejc Sitar,mens,7,0.016,0.49,0.514,63.4
Logan Rowe,Joe Wiencek,mens,2,-0.023,0.545,0.479,45.8
Mark Growcott,Bret Berryman,mens,10,0.106,0.52,0.576,86.8
Jarryd Woog,Evan Pratt,mens,8,0.019,0.573,0.514,64.4
Michael Coleman,Jake Benjamin,mens,2,-0.007,0.549,0.499,53.3
Justin Graham,Emanuel Dickson,mens,9,-0.03,0.527,0.474,42.7
Evan Zoeteman,Mulima Mulenga,mens,2,0.006,0.525,0.503,59.4
Zane Ford,Tendai Tapfuma,mens,3,-0.098,0.522,0.429,12.7
Tom Protzek,Martin Emmrich,mens,20,-0.161,0.475,0.36,3.8
Ashley Griffith,Brooke Caruso,womens,16,0.263,0.537,0.675,98.2
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.137,0.522,0.405,6.2
Elsie Hendershot,Lina Padegimaite,womens,12,-0.026,0.52,0.486,44.6
Martina Frantova,Rachel Summers,womens,10,0.04,0.511,0.527,71.2
Brie Aldridge,Morgan Downing,womens,3,-0.045,0.538,0.468,34.1
Adalynn Lund,Monica Perez,womens,7,0.011,0.55,0.517,61.5
Ernesto Fajardo,Tobias Moreno,mens,2,-0.102,0.553,0.429,12.0
Caio Bardauil,Rey Greenlaw,mens,8,0.088,0.573,0.569,82.9
Ewa Radzikowska,Tamaryn Emmrich,womens,30,0.524,0.555,0.844,99.9
Christa Gecheva,Mehvish Safdar,womens,10,0.086,0.518,0.567,82.5
Jay Evans,William Hsieh,mens,9,-0.006,0.534,0.494,54.2
Brian Chamberlin,Tyler Glowaki,mens,3,-0.064,0.511,0.461,26.0
William Owens,Brayden Nguyen,mens,5,0.012,0.531,0.514,62.0
Rodrigo Reyes,Maksims Kazijevs,mens,3,-0.085,0.534,0.446,16.4
TJ Rudden,Matthew Mead,mens,2,-0.06,0.529,0.457,27.6
Evan Ankrom,Matthew Pokorny,mens,11,0.089,0.554,0.57,83.2
Cole Whitaker,Nicholas Wade,mens,3,-0.161,0.519,0.371,3.8
Kleyton Martins da Silva,Carlos Miranda,mens,2,0.015,0.532,0.524,63.0
Camden Chaffin,Juan Benitez,mens,11,0.13,0.535,0.584,89.8
Ahmad El-Zarif,Stephen Preissler,mens,14,0.054,0.533,0.549,75.2
Haley Ferguson,Sharienne Ricardo,womens,4,-0.028,0.495,0.477,43.5
Caroline Stepnowski,Veronica Alteri,womens,2,-0.043,0.545,0.479,35.4
Andrea Koop,Mari Humberg,womens,9,-0.066,0.508,0.444,24.9
Freddie Powell,Zachary Card,mens,4,-0.041,0.528,0.486,36.2
Colton Thielman,Christian Lund,mens,2,-0.071,0.537,0.446,21.9
Valerie R Simon,Victoria Simon,womens,27,0.095,0.525,0.573,84.4
Jazz Hearn IV,Kimberly Bacalla,womens,2,-0.018,0.548,0.48,48.2
Tim Ahlersmeyer,John Moorin,mens,2,-0.025,0.54,0.463,45.0
Joshua Elliott,Jae Centonze,mens,4,-0.025,0.527,0.484,44.9
Noah Torres,Brendan Gallagher,mens,2,-0.006,0.547,0.496,53.9
Kayla Williams,Keilly Ulery,womens,14,0.022,0.51,0.524,65.2
Michelle McMahon,Stephanie Galainena,womens,2,-0.074,0.544,0.439,20.8
Eliel Herminas,Jorge Garcia,mens,2,-0.064,0.527,0.453,25.9
Preston Engel,Noah Waddell,mens,5,0.071,0.496,0.562,79.2
Brett Barrette,Elijah Chernoff,mens,2,-0.083,0.522,0.437,17.0
Eduardo Correia,Benjamin Pepion,mens,2,-0.03,0.569,0.485,42.3
Nicole Conard,Paula Rives,womens,5,-0.151,0.512,0.402,4.6
Piercarlo Usai,Domenico Geminiani,mens,2,-0.065,0.528,0.459,25.3
Scout Johnson,Adrienn Hidvegi,womens,2,-0.045,0.511,0.471,34.3
Johan Nilsson,Michael Shaw,mens,4,-0.04,0.54,0.468,36.8
Julian Slive,Adair Garcia,mens,3,-0.125,0.547,0.413,7.8
Zach Gonnering,Jake Anderson,mens,12,-0.04,0.513,0.475,36.9
George Bulger,Benjamin Bramblett,mens,15,-0.071,0.529,0.44,22.2
Alexis Almy,Olivia Almy,womens,2,-0.09,0.526,0.442,15.1
Parth Mody,Ben Slive,mens,5,0.075,0.546,0.546,80.1
Gautham Bondugula,Daniel Gallegos,mens,2,-0.05,0.539,0.472,31.9
Chris Walker,Nicholas Romano,mens,4,0.017,0.509,0.512,63.8
Ryan Lucci,Diego Lebron Perez,mens,2,-0.055,0.519,0.461,30.1
Ryan Nolan,Dan Nguyen,mens,2,-0.079,0.545,0.444,19.1
Lauren Lennertz,Christee Chargot,womens,2,-0.034,0.521,0.471,40.2
Zachary Higginson,Samuel Higginson,mens,6,-0.017,0.528,0.479,48.9
Nicole Conard,Freddie Powell,mixed,2,-0.156,0.516,0.397,4.2
Marisa Ruiz,Jae Centonze,mixed,13,0.102,0.525,0.584,86.0
Natalia Maynetto,Domenico Geminiani,mixed,4,-0.002,0.543,0.495,56.4
Veronica Alteri,Diego Lebron Perez,mixed,2,-0.02,0.518,0.485,47.1
Mark Dancuart,Riley Bohnert,mixed,6,0.074,0.512,0.556,80.0
Christopher Crouch,Paula Rives,mixed,44,0.091,0.501,0.576,83.8
Kayla Williams,Parth Mody,mixed,12,-0.048,0.523,0.45,32.9
Tobias Moreno,Ali Quintero,mixed,3,-0.007,0.535,0.491,53.4
Jada Bui,Juan Benitez,mixed,6,-0.003,0.554,0.507,55.7
Zach (ernesto) Hunter,Christa Gecheva,mixed,6,-0.027,0.512,0.473,43.8
Madalina Grigoriu,Nejc Sitar,mixed,5,-0.065,0.521,0.446,25.5
Ashley Griffith,George Rangelov,mixed,51,0.373,0.531,0.74,99.4
Mehvish Safdar,Anouar Braham,mixed,12,0.213,0.506,0.671,96.2
Jhonnatan Medina Alvarez,Olivia McMillan,mixed,11,0.113,0.508,0.568,87.8
Jemere Plummer,Victoria Simon,mixed,12,-0.011,0.526,0.498,51.2
Austin Bricker,Mya Bui,mixed,18,0.14,0.49,0.608,90.9
Brie Aldridge,Federico Nani,mixed,2,-0.093,0.537,0.449,13.7
Andrew Loftin,Brittni Tonnessen,mixed,4,0.117,0.541,0.588,88.3
Eva Kohutova,Jake Benjamin,mixed,2,-0.067,0.525,0.457,24.2
Zachary Higginson,Valerie R Simon,mixed,2,-0.048,0.516,0.468,32.8
Martina Frantova,William Sobek,mixed,6,-0.037,0.513,0.469,38.7
Preston Engel,Rachel Summers,mixed,12,-0.063,0.52,0.459,26.7
Caio Bardauil,Michelle Esquivel,mixed,7,0.048,0.523,0.519,74.0
Poongi Hong,Kelsey Laurente,mixed,15,-0.064,0.519,0.444,25.7
Kimberly Bacalla,Ben Slive,mixed,5,-0.03,0.549,0.484,42.7
Tanner Tomassi,Jessica Warren,mixed,5,0.099,0.568,0.564,85.2
Jay Evans,Katie Mell,mixed,2,-0.002,0.521,0.498,56.1
Ewa Radzikowska,Martin Emmrich,mixed,35,-0.063,0.479,0.429,26.1
Seone Mendez,Jake Anderson,mixed,5,0.148,0.55,0.596,91.5
Zane Ford,Maria Ford,mixed,24,0.239,0.516,0.689,97.4
Andrea Koop,Camden Chaffin,mixed,4,-0.079,0.529,0.448,19.0
Adair Garcia,Jaeda Minniefield,mixed,4,0.108,0.552,0.574,87.1
Vincent Rettke,Andrea Miller,mixed,2,-0.103,0.559,0.426,11.6
Luca Mack,Estee Widdershoven,mixed,30,-0.052,0.5,0.45,30.9
Arianna Raga,Vladimir Orellana,mixed,2,0.045,0.535,0.539,72.8
Audrey Banada,MJ Marrero,mixed,24,0.043,0.556,0.522,72.1
Jazz Hearn IV,Julian Slive,mixed,3,0.005,0.543,0.506,59.3
Brittany Levkulich,Roger Dugas,mixed,9,0.02,0.496,0.522,64.9
Mandy Gabriel,Michael Leonard,mixed,2,-0.083,0.531,0.435,17.2
Regina Goldberg,Johnny Goldberg,mixed,10,-0.171,0.507,0.374,2.8
Eliel Herminas,Monica Perez,mixed,2,-0.04,0.528,0.46,36.5
Brandon Johnson,Scout Johnson,mixed,2,-0.024,0.509,0.479,45.5
Adalynn Lund,Christian Lund,mixed,17,0.002,0.557,0.491,57.5
Tom Protzek,Tamaryn Emmrich,mixed,2,-0.173,0.545,0.382,2.6
Haley Ferguson,Adam Harvey,mixed,3,-0.077,0.52,0.458,19.7
Alicia Lai,Miles Hoover,mixed,2,-0.091,0.555,0.433,14.6
Zach Gonnering,Christee Chargot,mixed,2,-0.084,0.527,0.456,16.9
Ernesto Fajardo,Alia Brown,mixed,3,-0.008,0.521,0.488,53.0
Morgan Downing,Brendan Gallagher,mixed,3,0.06,0.516,0.537,76.5
Caroline Stepnowski,Joe Wiencek,mixed,2,-0.012,0.544,0.501,50.6
Samantha Buyckx,Michael Vallejo,mixed,2,-0.128,0.517,0.409,7.4
Warren Tamanaha,Yaamunan Venkatesan,mens,10,-0.078,0.562,0.458,19.2
Jake Panno,Eric Diaz,mens,11,0.01,0.524,0.51,60.6
Natalie Hur,Jaikin Gomez,mixed,8,0.034,0.491,0.522,69.0
Janaye Sakkas,Joshua Yoo,mixed,2,-0.022,0.525,0.478,46.2
Nicolas Almeida,Karthik Ganesh,mens,4,-0.049,0.538,0.457,32.5
Carson Nguyen,Sunny Krittayaweth,mens,2,-0.016,0.521,0.485,49.2
Abigail Okelley,Will Mackinnon,mixed,5,0.036,0.513,0.527,69.6
Kelly Jensen,Eric Diaz,mixed,12,0.087,0.506,0.56,82.7
Brodie Smith,Omar Garcia-Heredia,mens,16,0.091,0.514,0.581,83.6
Maddox Castellanos,Rob Hutchins,mens,2,-0.021,0.5,0.483,46.8
Carlota Trevino,Rafael Lenhard,mixed,9,-0.162,0.495,0.374,3.5
Jessica Bowman,Matthew Mead,mixed,4,0.121,0.55,0.585,88.8
Cori Sidell,Tayah Cross,womens,2,-0.053,0.529,0.464,30.6
Natalie Hur,Lyn Yuen Choo,womens,30,0.083,0.533,0.561,82.0
Santhosh Narayanan,Harrison Brown,mens,5,0.073,0.549,0.544,79.7
Elliott Schupp,Kyle Koszuta,mens,36,0.063,0.518,0.556,77.3
