p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.045,0.375,0.446,16.6
Alia Brown,Madalina Grigoriu,womens,4,0.05,0.385,0.545,84.7
Hudson De Risi,Matthew Finnerty,mens,7,-0.06,0.412,0.449,9.3
Vincent Rettke,Miles Hoover,mens,15,-0.073,0.367,0.437,5.4
Samantha Buyckx,Kelsey Laurente,womens,5,0.038,0.391,0.539,80.1
Arianna Raga,Ali Quintero,womens,2,-0.02,0.381,0.461,37.9
Michael Leonard,John Lucian Goins,mens,4,-0.01,0.396,0.488,47.8
Connor Mogle,Jose Martinez,mens,10,0.023,0.347,0.527,72.7
Poongi Hong,Michael Vallejo,mens,5,0.008,0.376,0.527,62.4
Andrew Loftin,Amir Evgamukov,mens,7,0.058,0.385,0.56,87.6
Austin Bricker,Adam Harvey,mens,10,0.036,0.4,0.533,79.0
Mark Dancuart,Tanner Tomassi,mens,12,0.025,0.37,0.529,73.6
Robby Greenlaw,Thiago Braga,mens,3,-0.025,0.369,0.471,32.3
Luca Mack,Anouar Braham,mens,19,0.157,0.378,0.655,98.7
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.072,0.389,0.547,91.3
Robert Laidlaw,Connor Duvally,mens,6,0.023,0.367,0.533,72.6
Grayson Goldin,William Sobek,mens,8,0.088,0.378,0.586,93.8
MJ Greiner,Dylan Lewis,mens,4,-0.02,0.39,0.483,38.6
Riley Bohnert,Marisa Ruiz,womens,5,0.008,0.36,0.514,62.8
Seone Mendez,Jessica Warren,womens,2,0.008,0.365,0.515,62.8
George Rangelov,Nejc Sitar,mens,7,0.002,0.357,0.491,58.7
Logan Rowe,Joe Wiencek,mens,2,-0.009,0.359,0.496,48.2
Mark Growcott,Bret Berryman,mens,10,0.058,0.397,0.549,87.4
Jarryd Woog,Evan Pratt,mens,8,0.029,0.39,0.517,75.8
Michael Coleman,Jake Benjamin,mens,2,0.022,0.385,0.516,72.2
Justin Graham,Emanuel Dickson,mens,9,-0.008,0.37,0.508,49.9
Evan Zoeteman,Mulima Mulenga,mens,2,0.011,0.371,0.516,65.1
Zane Ford,Tendai Tapfuma,mens,3,-0.048,0.366,0.457,14.8
Tom Protzek,Martin Emmrich,mens,20,-0.067,0.35,0.436,6.5
Ashley Griffith,Brooke Caruso,womens,16,0.153,0.372,0.646,98.5
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.086,0.375,0.417,3.2
Elsie Hendershot,Lina Padegimaite,womens,12,-0.034,0.344,0.457,24.2
Martina Frantova,Rachel Summers,womens,10,0.065,0.377,0.576,89.9
Brie Aldridge,Morgan Downing,womens,3,-0.009,0.374,0.487,49.2
Adalynn Lund,Monica Perez,womens,7,0.003,0.36,0.517,59.2
Ernesto Fajardo,Tobias Moreno,mens,2,-0.057,0.371,0.442,10.3
Caio Bardauil,Rey Greenlaw,mens,8,0.054,0.359,0.548,86.6
Ewa Radzikowska,Tamaryn Emmrich,womens,30,0.237,0.416,0.703,99.8
Christa Gecheva,Mehvish Safdar,womens,10,0.091,0.361,0.572,94.3
Jay Evans,William Hsieh,mens,9,0.017,0.379,0.511,69.3
Brian Chamberlin,Tyler Glowaki,mens,3,-0.036,0.374,0.474,23.1
William Owens,Brayden Nguyen,mens,5,0.014,0.352,0.509,67.9
Rodrigo Reyes,Maksims Kazijevs,mens,3,-0.053,0.409,0.454,11.7
TJ Rudden,Matthew Mead,mens,2,-0.028,0.357,0.485,29.2
Evan Ankrom,Matthew Pokorny,mens,11,0.06,0.381,0.56,88.4
Cole Whitaker,Nicholas Wade,mens,3,-0.06,0.379,0.439,9.2
Kleyton Martins da Silva,Carlos Miranda,mens,2,0.011,0.372,0.508,64.9
Camden Chaffin,Juan Benitez,mens,11,0.09,0.389,0.581,94.1
Ahmad El-Zarif,Stephen Preissler,mens,14,0.03,0.375,0.535,76.4
Haley Ferguson,Sharienne Ricardo,womens,4,-0.009,0.381,0.491,48.2
Caroline Stepnowski,Veronica Alteri,womens,2,-0.012,0.375,0.481,46.4
Andrea Koop,Mari Humberg,womens,9,-0.037,0.361,0.452,22.0
Freddie Powell,Zachary Card,mens,4,-0.026,0.375,0.468,31.2
Colton Thielman,Christian Lund,mens,2,-0.036,0.379,0.471,23.0
Valerie R Simon,Victoria Simon,womens,27,0.027,0.37,0.533,74.7
Jazz Hearn IV,Kimberly Bacalla,womens,2,-0.014,0.361,0.481,44.2
Tim Ahlersmeyer,John Moorin,mens,2,-0.005,0.356,0.49,52.8
Joshua Elliott,Jae Centonze,mens,4,0.009,0.366,0.508,63.3
Noah Torres,Brendan Gallagher,mens,2,-0.019,0.386,0.482,38.9
Kayla Williams,Keilly Ulery,womens,14,0.013,0.379,0.504,67.0
Michelle McMahon,Stephanie Galainena,womens,2,-0.024,0.373,0.502,33.8
Eliel Herminas,Jorge Garcia,mens,2,-0.03,0.34,0.459,27.6
Preston Engel,Noah Waddell,mens,5,0.03,0.375,0.529,76.0
Brett Barrette,Elijah Chernoff,mens,2,-0.042,0.378,0.47,18.5
Eduardo Correia,Benjamin Pepion,mens,2,-0.013,0.384,0.485,45.5
Nicole Conard,Paula Rives,womens,5,-0.066,0.352,0.424,6.8
Piercarlo Usai,Domenico Geminiani,mens,2,-0.043,0.371,0.462,17.7
Scout Johnson,Adrienn Hidvegi,womens,2,-0.017,0.404,0.488,41.5
Johan Nilsson,Michael Shaw,mens,4,-0.027,0.402,0.484,30.3
Julian Slive,Adair Garcia,mens,3,-0.061,0.383,0.452,8.6
Zach Gonnering,Jake Anderson,mens,12,-0.03,0.356,0.479,27.7
George Bulger,Benjamin Bramblett,mens,15,-0.056,0.349,0.441,10.9
Alexis Almy,Olivia Almy,womens,2,-0.051,0.379,0.471,13.0
Parth Mody,Ben Slive,mens,5,0.046,0.392,0.533,83.3
Gautham Bondugula,Daniel Gallegos,mens,2,-0.024,0.393,0.484,34.2
Chris Walker,Nicholas Romano,mens,4,0.014,0.362,0.506,67.5
Ryan Lucci,Diego Lebron Perez,mens,2,-0.034,0.387,0.474,24.7
Ryan Nolan,Dan Nguyen,mens,2,-0.053,0.367,0.45,12.3
Lauren Lennertz,Christee Chargot,womens,2,-0.019,0.369,0.476,39.2
Zachary Higginson,Samuel Higginson,mens,6,0.011,0.372,0.521,64.9
Nicole Conard,Freddie Powell,mixed,2,-0.066,0.386,0.452,6.8
Marisa Ruiz,Jae Centonze,mixed,13,0.032,0.387,0.53,77.2
Natalia Maynetto,Domenico Geminiani,mixed,4,0.0,0.362,0.493,56.1
Veronica Alteri,Diego Lebron Perez,mixed,2,-0.019,0.401,0.482,38.7
Mark Dancuart,Riley Bohnert,mixed,6,0.054,0.397,0.542,86.4
Christopher Crouch,Paula Rives,mixed,44,0.035,0.353,0.523,78.7
Kayla Williams,Parth Mody,mixed,12,-0.041,0.369,0.45,19.5
Tobias Moreno,Ali Quintero,mixed,3,0.012,0.39,0.521,65.5
Jada Bui,Juan Benitez,mixed,6,0.001,0.351,0.494,56.8
Zach (ernesto) Hunter,Christa Gecheva,mixed,6,-0.014,0.381,0.493,44.0
Madalina Grigoriu,Nejc Sitar,mixed,5,-0.023,0.414,0.481,35.3
Ashley Griffith,George Rangelov,mixed,51,0.2,0.401,0.676,99.5
Mehvish Safdar,Anouar Braham,mixed,12,0.129,0.383,0.616,97.7
Jhonnatan Medina Alvarez,Olivia McMillan,mixed,11,0.066,0.375,0.547,90.0
Jemere Plummer,Victoria Simon,mixed,12,0.01,0.361,0.506,64.3
Austin Bricker,Mya Bui,mixed,18,0.058,0.382,0.537,87.4
Brie Aldridge,Federico Nani,mixed,2,-0.047,0.354,0.451,15.7
Andrew Loftin,Brittni Tonnessen,mixed,4,0.049,0.385,0.539,84.3
Eva Kohutova,Jake Benjamin,mixed,2,-0.031,0.389,0.459,27.0
Zachary Higginson,Valerie R Simon,mixed,2,-0.029,0.368,0.467,28.8
Martina Frantova,William Sobek,mixed,6,-0.019,0.352,0.484,38.9
Preston Engel,Rachel Summers,mixed,12,-0.034,0.379,0.462,24.6
Caio Bardauil,Michelle Esquivel,mixed,7,0.036,0.38,0.531,79.0
Poongi Hong,Kelsey Laurente,mixed,15,-0.063,0.394,0.442,7.9
Kimberly Bacalla,Ben Slive,mixed,5,-0.014,0.375,0.479,44.1
Tanner Tomassi,Jessica Warren,mixed,5,0.048,0.411,0.536,84.0
Jay Evans,Katie Mell,mixed,2,-0.005,0.368,0.491,52.4
Ewa Radzikowska,Martin Emmrich,mixed,35,-0.108,0.355,0.39,1.4
Seone Mendez,Jake Anderson,mixed,5,0.064,0.364,0.572,89.4
Zane Ford,Maria Ford,mixed,24,0.107,0.373,0.612,95.9
Andrea Koop,Camden Chaffin,mixed,4,-0.025,0.386,0.474,32.8
Adair Garcia,Jaeda Minniefield,mixed,4,0.059,0.42,0.547,87.9
Vincent Rettke,Andrea Miller,mixed,2,-0.063,0.397,0.446,7.7
Luca Mack,Estee Widdershoven,mixed,30,-0.072,0.369,0.419,5.6
Arianna Raga,Vladimir Orellana,mixed,2,0.024,0.391,0.533,73.0
Audrey Banada,MJ Marrero,mixed,24,0.006,0.362,0.506,61.1
Jazz Hearn IV,Julian Slive,mixed,3,0.022,0.377,0.534,71.9
Brittany Levkulich,Roger Dugas,mixed,9,0.0,0.392,0.501,56.1
Mandy Gabriel,Michael Leonard,mixed,2,-0.039,0.359,0.463,20.7
Regina Goldberg,Johnny Goldberg,mixed,10,-0.057,0.371,0.449,10.5
Eliel Herminas,Monica Perez,mixed,2,-0.022,0.365,0.48,36.0
Brandon Johnson,Scout Johnson,mixed,2,-0.004,0.399,0.5,53.2
Adalynn Lund,Christian Lund,mixed,17,-0.02,0.387,0.469,37.8
Tom Protzek,Tamaryn Emmrich,mixed,2,-0.099,0.404,0.425,1.8
Haley Ferguson,Adam Harvey,mixed,3,-0.04,0.371,0.469,20.2
Alicia Lai,Miles Hoover,mixed,2,-0.053,0.4,0.457,12.1
Zach Gonnering,Christee Chargot,mixed,2,-0.04,0.359,0.467,20.2
Ernesto Fajardo,Alia Brown,mixed,3,-0.008,0.368,0.485,50.1
Morgan Downing,Brendan Gallagher,mixed,3,0.038,0.376,0.541,80.1
Caroline Stepnowski,Joe Wiencek,mixed,2,-0.002,0.348,0.52,54.8
Samantha Buyckx,Michael Vallejo,mixed,2,-0.076,0.385,0.431,4.7
Warren Tamanaha,Yaamunan Venkatesan,mens,10,-0.047,0.378,0.452,15.7
Jake Panno,Eric Diaz,mens,11,0.004,0.358,0.514,60.1
Natalie Hur,Jaikin Gomez,mixed,8,-0.005,0.366,0.496,51.9
Janaye Sakkas,Joshua Yoo,mixed,2,0.008,0.38,0.53,62.6
Nicolas Almeida,Karthik Ganesh,mens,4,-0.035,0.359,0.46,23.6
Carson Nguyen,Sunny Krittayaweth,mens,2,-0.014,0.393,0.476,44.3
Abigail Okelley,Will Mackinnon,mixed,5,0.021,0.399,0.516,71.3
Kelly Jensen,Eric Diaz,mixed,12,0.029,0.378,0.524,75.7
Brodie Smith,Omar Garcia-Heredia,mens,16,0.052,0.375,0.546,85.4
Maddox Castellanos,Rob Hutchins,mens,2,-0.012,0.406,0.483,46.2
Carlota Trevino,Rafael Lenhard,mixed,9,-0.099,0.379,0.401,1.8
Jessica Bowman,Matthew Mead,mixed,4,0.061,0.393,0.563,88.6
Cori Sidell,Tayah Cross,womens,2,-0.006,0.371,0.496,51.6
Natalie Hur,Lyn Yuen Choo,womens,30,0.026,0.362,0.525,74.1
Santhosh Narayanan,Harrison Brown,mens,5,0.049,0.377,0.534,84.6
Elliott Schupp,Kyle Koszuta,mens,36,0.053,0.363,0.547,85.9
David Litvinov,Maddy Rasmusen,mixed,5,0.02,0.388,0.513,70.7
Jase Edwards,Dana Raugust,mixed,4,0.037,0.398,0.526,79.7
Jericho Grollman,Madison Grollman,mixed,14,0.068,0.383,0.564,90.6
Jaden Lam,Jace Howard,mens,11,0.051,0.38,0.546,85.2
Josh Barber,Liam Jesperson,mens,3,0.011,0.343,0.512,65.3
Matthew Sah,Alyssia Fossorier,mixed,18,0.054,0.363,0.556,86.2
Michelle McLaughlan,Alyssia Fossorier,womens,2,-0.017,0.376,0.474,40.9
Victor Rodrigo,Matt Burkhardt,mens,16,0.044,0.366,0.534,82.6
Anderson Ju,Harrison Yee,mens,3,-0.048,0.38,0.458,15.3
Chase Holderman,Derek Shearer,mens,5,-0.035,0.374,0.471,23.6
Indigo Dagnall,Armaan Jiwa Mawji,mens,5,-0.003,0.39,0.499,53.9
Connor McCartney,Jack Sahid,mens,14,0.002,0.401,0.49,58.0
Naomi Nguyen,Rio Newcombe,mixed,18,0.033,0.341,0.544,77.6
Kathryn Glavinovich,Blake Suard,mixed,2,-0.033,0.38,0.471,25.6
Isabella Hoang,Matt Burkhardt,mixed,3,0.028,0.377,0.525,75.0
Averee Beck,Joel Poland,mixed,5,0.035,0.351,0.539,78.7
Cc Eleven Sacca,Ethan Bakalinsky,mixed,6,0.046,0.37,0.554,83.1
Nicolas Almeida,Stevie Petropouleas,mixed,7,0.088,0.368,0.593,93.8
Dayna La Belle,Sunny Krittayaweth,mixed,2,-0.043,0.382,0.458,18.0
Preston Lynch,Fabian Jacobo,mens,2,-0.015,0.391,0.486,43.5
Anderson Ju,Chloe Pham,mixed,4,0.009,0.362,0.504,63.9
Matthew Powley,Mackenzie Lee,mixed,2,-0.035,0.377,0.479,23.7
Olivia Phillips,Braden Jacobson,mixed,5,-0.013,0.395,0.509,44.9
Ishan Balakrishnan,Julianne Le,mixed,6,0.001,0.387,0.499,57.3
Josh Barber,Tayah Cross,mixed,3,-0.018,0.376,0.493,39.7
Natalia Simson,Karthik Ganesh,mixed,26,0.098,0.377,0.583,95.3
Matthew Sah,Cadell Traya,mens,8,-0.024,0.36,0.459,33.4
Dawoud Ghafarshad,Carl Taibl,mens,6,0.022,0.389,0.515,72.1
Ashley Mackie,Janaye Sakkas,womens,5,-0.016,0.366,0.485,42.0
Natalia Simson,Caroline Maguire,womens,6,0.115,0.374,0.606,96.8
Olivia Phillips,Maddy Rasmusen,womens,3,-0.009,0.376,0.496,49.4
Naomi Nguyen,Averee Beck,womens,7,0.063,0.358,0.569,89.2
Carlota Trevino,Cc Eleven Sacca,womens,10,-0.05,0.374,0.455,13.6
