p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.075,0.434,0.443,14.5
Alia Brown,Madalina Grigoriu,womens,4,0.09,0.514,0.576,87.0
Hudson De Risi,Matthew Finnerty,mens,7,-0.089,0.495,0.437,10.7
Vincent Rettke,Miles Hoover,mens,15,-0.104,0.51,0.4,7.4
Samantha Buyckx,Kelsey Laurente,womens,5,0.05,0.466,0.539,76.9
Arianna Raga,Ali Quintero,womens,2,-0.043,0.475,0.469,30.9
Michael Leonard,John Lucian Goins,mens,4,-0.044,0.482,0.453,29.9
Connor Mogle,Jose Martinez,mens,10,0.053,0.501,0.536,77.8
Poongi Hong,Michael Vallejo,mens,5,0.018,0.473,0.52,65.1
Andrew Loftin,Amir Evgamukov,mens,7,0.099,0.471,0.577,88.6
Austin Bricker,Adam Harvey,mens,10,0.057,0.445,0.556,79.2
Mark Dancuart,Tanner Tomassi,mens,12,0.024,0.501,0.505,68.3
Robby Greenlaw,Thiago Braga,mens,3,-0.034,0.47,0.475,36.1
Luca Mack,Anouar Braham,mens,19,0.262,0.488,0.69,98.8
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.105,0.484,0.584,90.0
Robert Laidlaw,Connor Duvally,mens,6,0.024,0.477,0.529,68.2
Grayson Goldin,William Sobek,mens,8,0.144,0.472,0.611,94.1
MJ Greiner,Dylan Lewis,mens,4,-0.039,0.489,0.476,32.8
Riley Bohnert,Marisa Ruiz,womens,5,-0.009,0.471,0.496,51.6
Seone Mendez,Jessica Warren,womens,2,0.002,0.47,0.508,57.8
George Rangelov,Nejc Sitar,mens,7,0.021,0.446,0.509,66.7
Logan Rowe,Joe Wiencek,mens,2,-0.019,0.468,0.472,46.1
Mark Growcott,Bret Berryman,mens,10,0.078,0.494,0.557,84.6
Jarryd Woog,Evan Pratt,mens,8,0.023,0.501,0.524,67.9
Michael Coleman,Jake Benjamin,mens,2,0.021,0.494,0.501,66.8
Justin Graham,Emanuel Dickson,mens,9,-0.003,0.496,0.513,55.5
Evan Zoeteman,Mulima Mulenga,mens,2,0.019,0.478,0.518,65.5
Zane Ford,Tendai Tapfuma,mens,3,-0.074,0.484,0.443,15.1
Tom Protzek,Martin Emmrich,mens,20,-0.103,0.46,0.412,7.8
Ashley Griffith,Brooke Caruso,womens,16,0.24,0.489,0.682,98.3
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.139,0.473,0.396,3.1
Elsie Hendershot,Lina Padegimaite,womens,12,-0.044,0.467,0.463,30.1
Martina Frantova,Rachel Summers,womens,10,0.075,0.446,0.574,84.1
Brie Aldridge,Morgan Downing,womens,3,-0.018,0.474,0.491,46.6
Adalynn Lund,Monica Perez,womens,7,0.001,0.495,0.501,57.3
Ernesto Fajardo,Tobias Moreno,mens,2,-0.074,0.507,0.441,15.0
Caio Bardauil,Rey Greenlaw,mens,8,0.067,0.468,0.547,82.7
Ewa Radzikowska,Tamaryn Emmrich,womens,30,0.374,0.484,0.785,99.8
Christa Gecheva,Mehvish Safdar,womens,10,0.102,0.49,0.592,89.4
Jay Evans,William Hsieh,mens,9,0.03,0.463,0.536,70.2
Brian Chamberlin,Tyler Glowaki,mens,3,-0.045,0.477,0.467,29.7
William Owens,Brayden Nguyen,mens,5,0.038,0.47,0.527,73.0
Rodrigo Reyes,Maksims Kazijevs,mens,3,-0.065,0.494,0.448,19.0
TJ Rudden,Matthew Mead,mens,2,-0.05,0.465,0.465,26.6
Evan Ankrom,Matthew Pokorny,mens,11,0.085,0.49,0.564,86.0
Cole Whitaker,Nicholas Wade,mens,3,-0.089,0.493,0.443,10.7
Kleyton Martins da Silva,Carlos Miranda,mens,2,0.003,0.485,0.498,58.2
Camden Chaffin,Juan Benitez,mens,11,0.146,0.49,0.599,94.2
Ahmad El-Zarif,Stephen Preissler,mens,14,0.029,0.466,0.519,70.0
Haley Ferguson,Sharienne Ricardo,womens,4,-0.022,0.458,0.479,44.1
Caroline Stepnowski,Veronica Alteri,womens,2,-0.036,0.463,0.47,34.7
Andrea Koop,Mari Humberg,womens,9,-0.082,0.436,0.434,12.2
Freddie Powell,Zachary Card,mens,4,-0.036,0.464,0.479,35.2
Colton Thielman,Christian Lund,mens,2,-0.052,0.473,0.473,26.1
Valerie R Simon,Victoria Simon,womens,27,0.064,0.457,0.546,81.6
Jazz Hearn IV,Kimberly Bacalla,womens,2,-0.043,0.482,0.469,30.7
Tim Ahlersmeyer,John Moorin,mens,2,-0.006,0.468,0.504,53.6
Joshua Elliott,Jae Centonze,mens,4,0.01,0.489,0.507,61.8
Noah Torres,Brendan Gallagher,mens,2,-0.018,0.481,0.484,46.2
Kayla Williams,Keilly Ulery,womens,14,-0.004,0.44,0.492,54.9
Michelle McMahon,Stephanie Galainena,womens,2,-0.046,0.501,0.486,29.0
Eliel Herminas,Jorge Garcia,mens,2,-0.044,0.465,0.482,30.1
Preston Engel,Noah Waddell,mens,5,0.053,0.461,0.55,77.9
Brett Barrette,Elijah Chernoff,mens,2,-0.077,0.475,0.448,13.9
Eduardo Correia,Benjamin Pepion,mens,2,-0.03,0.512,0.481,38.9
Nicole Conard,Paula Rives,womens,5,-0.105,0.47,0.399,7.2
Piercarlo Usai,Domenico Geminiani,mens,2,-0.065,0.482,0.436,18.8
Scout Johnson,Adrienn Hidvegi,womens,2,-0.039,0.454,0.459,32.8
Johan Nilsson,Michael Shaw,mens,4,-0.033,0.494,0.478,36.4
Julian Slive,Adair Garcia,mens,3,-0.094,0.496,0.441,9.6
Zach Gonnering,Jake Anderson,mens,12,-0.039,0.462,0.488,32.5
George Bulger,Benjamin Bramblett,mens,15,-0.067,0.502,0.444,18.0
Alexis Almy,Olivia Almy,womens,2,-0.088,0.503,0.425,10.9
Parth Mody,Ben Slive,mens,5,0.071,0.479,0.554,83.5
Gautham Bondugula,Daniel Gallegos,mens,2,-0.07,0.476,0.446,16.5
Chris Walker,Nicholas Romano,mens,4,0.019,0.459,0.529,65.7
