p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Tom Protzek,Martin Emmrich,mens,13,-0.088,0.401,0.426,6.4
Vincent Rettke,Miles Hoover,mens,6,-0.107,0.401,0.404,3.1
Ashley Griffith,Brooke Caruso,womens,11,0.131,0.396,0.615,96.8
Estee Widdershoven,Jaeda Minniefield,womens,2,-0.104,0.425,0.415,3.4
Elsie Hendershot,Lina Padegimaite,womens,9,-0.034,0.364,0.454,30.4
Martina Frantova,Rachel Summers,womens,8,0.031,0.384,0.534,73.5
Ewa Radzikowska,Tamaryn Emmrich,womens,28,0.162,0.387,0.644,98.3
Christa Gecheva,Mehvish Safdar,womens,8,0.085,0.41,0.574,90.8
Camden Chaffin,Juan Benitez,mens,7,0.064,0.39,0.568,85.8
Andrea Koop,Mari Humberg,womens,7,-0.037,0.368,0.474,28.3
Samantha Buyckx,Kelsey Laurente,womens,3,0.015,0.394,0.517,66.0
Nicole Conard,Paula Rives,womens,5,-0.068,0.391,0.439,10.4
Kayla Williams,Keilly Ulery,womens,10,0.042,0.373,0.553,78.7
George Rangelov,Nejc Sitar,mens,2,-0.009,0.375,0.476,48.8
Luca Mack,Anouar Braham,mens,11,0.075,0.387,0.577,88.5
Jada Bui,Mya Bui,womens,7,-0.054,0.401,0.457,16.7
Valerie R Simon,Victoria Simon,womens,21,0.02,0.352,0.516,68.7
Christopher Crouch,Paula Rives,mixed,38,0.015,0.353,0.532,65.8
Jada Bui,Juan Benitez,mixed,4,-0.007,0.365,0.491,49.8
Ashley Griffith,George Rangelov,mixed,24,-0.018,0.37,0.478,41.7
Mehvish Safdar,Anouar Braham,mixed,5,0.051,0.349,0.568,82.0
Austin Bricker,Mya Bui,mixed,9,0.023,0.353,0.516,70.6
Andrea Koop,Camden Chaffin,mixed,4,-0.01,0.38,0.49,48.3
Ewa Radzikowska,Martin Emmrich,mixed,28,-0.055,0.382,0.456,15.6
Luca Mack,Estee Widdershoven,mixed,26,-0.034,0.373,0.469,30.1
Adalynn Lund,Christian Lund,mixed,5,-0.016,0.409,0.48,44.0
Kayla Williams,Parth Mody,mixed,5,-0.026,0.369,0.491,35.4
David Litvinov,Maddy Rasmusen,mixed,3,0.001,0.384,0.505,55.8
Natalie Hur,Jaikin Gomez,mixed,6,-0.018,0.361,0.477,42.1
Victor Rodrigo,Matt Burkhardt,mens,11,0.031,0.368,0.521,73.7
Nicolas Almeida,Karthik Ganesh,mens,2,-0.052,0.389,0.445,17.7
Naomi Nguyen,Rio Newcombe,mixed,12,0.027,0.36,0.541,71.9
Averee Beck,Joel Poland,mixed,5,-0.002,0.378,0.487,53.6
Cc Eleven Sacca,Ethan Bakalinsky,mixed,4,0.008,0.375,0.522,60.3
Olivia Phillips,Maddy Rasmusen,womens,3,-0.008,0.387,0.489,49.3
Naomi Nguyen,Averee Beck,womens,5,-0.002,0.378,0.496,52.9
Abigail Okelley,Will Mackinnon,mixed,3,-0.044,0.384,0.465,23.3
Mike Radermacher,Jessica Ho,mixed,5,-0.042,0.372,0.458,24.9
Nicolas Almeida,Stevie Petropouleas,mixed,2,0.049,0.382,0.539,81.2
Olivia Phillips,Braden Jacobson,mixed,2,-0.039,0.388,0.45,27.3
Maggie Brascia,Augustus Ge,mixed,7,-0.096,0.384,0.413,4.8
Ivan Jakovljevic,Judit Castillo,mixed,46,0.241,0.416,0.7,99.8
Christian Alshon,Tyra Hurricane Black,mixed,21,0.11,0.359,0.614,94.1
Ella Yeh,Adam Harvey,mixed,6,-0.009,0.399,0.485,48.4
Jade Rau,Cason Campbell,mixed,4,0.008,0.351,0.521,60.6
Caden Nemoff,Jaeda Minniefield,mixed,2,-0.019,0.358,0.491,40.1
Gabriel Joseph,Ella Cosma,mixed,6,0.054,0.372,0.551,83.1
Catherine Parenteau,Gabriel Tardio,mixed,73,-0.013,0.347,0.477,46.2
Christine Trifunovic,Spartak Rahachou,mixed,4,-0.039,0.37,0.473,27.1
Elsie Hendershot,Andrew Caldarella,mixed,4,0.058,0.378,0.561,84.4
Chao Yi Wang,Tyson McGuffin,mixed,24,-0.091,0.383,0.415,5.6
Jalina Ingram,John Lucian Goins,mixed,15,0.022,0.342,0.526,69.7
Austin Bricker,Camila Zilveti,mixed,4,-0.021,0.381,0.477,38.5
Luana Stanciu,Wil Shaffer,mixed,2,0.01,0.373,0.511,61.8
Juan Benitez,Brooke Caruso,mixed,5,-0.021,0.375,0.488,38.7
Natalia Simson,Karthik Ganesh,mixed,9,0.016,0.381,0.52,66.3
Jorja Johnson,JW Johnson,mixed,93,-0.073,0.37,0.438,9.1
Eric Oncins,Meghan Dizon,mixed,20,0.055,0.348,0.576,83.4
Collin Johns,Albie Huang,mixed,16,0.033,0.352,0.531,74.4
Max Freeman,Milan Rane,mixed,4,0.005,0.393,0.51,57.8
Armaan Bhatia,Mya Bui,mixed,4,-0.091,0.388,0.421,5.8
Riley Newman,Cailyn Campbell,mixed,26,0.102,0.379,0.612,93.2
Tom Protzek,Allison Phillips,mixed,10,0.041,0.379,0.535,78.4
Ross Whittaker,Ava Ignatowich,mixed,2,-0.005,0.383,0.499,51.0
Carlota Trevino,Rafael Lenhard,mixed,4,-0.045,0.377,0.461,22.6
Lucy Kovalova,Matt Wright,mixed,24,0.114,0.409,0.593,95.0
Tyler Loong,Kiora Kunimoto,mixed,6,0.039,0.378,0.533,77.6
Ting Chieh Wei,Anderson Scarpa,mixed,4,0.006,0.356,0.501,58.7
Zoeya Khan,Brandon French,mixed,2,-0.002,0.383,0.49,52.6
Noe Khlif,Tina Pisnik,mixed,44,-0.004,0.361,0.504,51.8
Callie Smith,CJ Klinger,mixed,11,0.103,0.385,0.591,93.3
