p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jonathan Truong,Camden Chaffin,mens,12,0.057,0.436,0.535,87.7
Jack Sock,Federico Staksrud,mens,6,0.039,0.397,0.533,79.7
Camden Chaffin,Alexa Schull,mixed,8,-0.089,0.43,0.422,2.4
Jack Sock,Alex Walker,mixed,6,-0.08,0.427,0.442,3.5
Martina Frantova,Mya Bui,womens,1,-0.082,0.428,0.434,3.3
Daria Walczak,Alexa Schull,womens,8,0.083,0.432,0.579,94.1
CJ Klinger,Tyra Hurricane Black,mixed,9,0.059,0.374,0.55,88.2
Connor Mogle,Mya Bui,mixed,3,-0.026,0.406,0.489,31.4
Daria Walczak,Jonathan Truong,mixed,7,-0.133,0.46,0.396,0.3
Sahra Dennehy,Joseph Wild,mixed,5,-0.069,0.392,0.441,4.9
Andrei Daescu,Judit Castillo,mixed,2,0.024,0.402,0.527,72.8
Pablo Tellez,Joseph Wild,mens,6,-0.109,0.431,0.411,0.6
Andrei Daescu,CJ Klinger,mens,9,0.011,0.405,0.512,62.9
Zoey Weil,Pablo Tellez,mixed,12,0.077,0.426,0.549,92.5
Federico Staksrud,Milan Rane,mixed,6,-0.041,0.44,0.456,18.4
Armaan Bhatia,Will Mackinnon,mens,7,-0.018,0.397,0.5,38.9
Christopher Crouch,Connor Mogle,mens,5,-0.003,0.42,0.494,52.4
Sahra Dennehy,Zoey Weil,womens,16,-0.023,0.432,0.486,34.0
Parris Todd,Tyra Hurricane Black,womens,9,0.061,0.419,0.537,89.1
Milan Rane,Alex Walker,womens,6,0.05,0.39,0.539,84.6
Will Mackinnon,Cailyn Campbell,mixed,13,-0.057,0.383,0.462,9.0
Christopher Crouch,Paula Rives,mixed,5,-0.047,0.403,0.469,14.6
Armaan Bhatia,Meghan Dizon,mixed,5,0.025,0.416,0.516,73.1
Connor Mogle,Martina Frantova,mixed,2,0.015,0.436,0.502,66.1
Parris Todd,Andrei Daescu,mixed,9,0.079,0.432,0.576,92.9
Meghan Dizon,Cailyn Campbell,womens,13,0.059,0.397,0.544,88.1
Mya Bui,Paula Rives,womens,4,-0.006,0.396,0.494,49.0
Jessie Irvine,Mari Humberg,womens,13,0.013,0.416,0.504,64.8
Danni-Elle Townsend,Alix Truong,womens,18,0.03,0.397,0.53,76.3
Jay Devilliers,Jessie Irvine,mixed,13,0.067,0.385,0.559,90.0
Danni-Elle Townsend,Augustus Ge,mixed,17,0.074,0.419,0.549,92.1
Jade Kawamoto,Catherine Parenteau,womens,13,0.035,0.395,0.521,78.4
Etta Tuionetoa,Allyce Jones,womens,5,-0.047,0.397,0.454,14.7
Ella Yeh,Kiora Kunimoto,womens,5,-0.155,0.462,0.387,0.1
Augustus Ge,JW Johnson,mens,18,0.033,0.422,0.54,77.6
Len Yang,James Delgado,mens,1,-0.004,0.403,0.516,51.1
Catherine Parenteau,Max Freeman,mixed,4,0.041,0.406,0.544,80.9
Mari Humberg,Jaume Martinez Vich,mixed,12,0.043,0.408,0.534,81.3
Brooke Buckner,JW Johnson,mixed,18,0.127,0.44,0.588,99.2
Christopher Crouch,Cason Campbell,mens,2,-0.026,0.429,0.471,31.6
Tama Shimabukuro,Yuta Funemizu,mens,4,-0.032,0.394,0.466,26.3
Len Yang,Blaine Hovenier,mens,4,0.004,0.42,0.501,57.5
Tama Shimabukuro,Etta Tuionetoa,mixed,5,0.028,0.421,0.522,75.0
Ella Yeh,James Delgado,mixed,1,-0.036,0.428,0.478,23.1
James Delgado,Kiora Kunimoto,mixed,4,-0.001,0.421,0.504,53.9
Ben Johns,Max Freeman,mens,13,0.129,0.422,0.624,99.3
Jay Devilliers,Jaume Martinez Vich,mens,13,-0.012,0.389,0.476,44.2
Allyce Jones,Connor Garnett,mixed,4,-0.036,0.444,0.476,22.8
Jade Kawamoto,Ben Johns,mixed,13,-0.002,0.405,0.506,53.1
Blaine Hovenier,Genie Erokhina,mixed,1,-0.012,0.375,0.499,43.9
Isabella Dunlap,Lina Padegimaite,womens,11,0.135,0.438,0.614,99.4
Caroline Maguire,Anna Lenhart,womens,8,-0.042,0.364,0.478,17.7
Tristan Dussault,Jae Centonze,mens,14,0.136,0.446,0.616,99.5
Kevin N,Micah Lopez,mens,2,-0.04,0.425,0.469,19.4
Madalina Grigoriu,Shannon Pretorius,womens,14,0.023,0.414,0.501,71.5
Keri Lu,Masa Grgan,womens,3,0.016,0.422,0.508,66.9
Liam Duffin,Nicholas Wade,mens,4,0.024,0.378,0.514,72.5
Luke Kusmider,Kevin Caulfield,mens,7,0.074,0.42,0.549,91.8
Nicole Conard,Mehvish Safdar,womens,4,0.04,0.4,0.531,79.9
Nancy Suiugan,Marygrace Rudd,womens,4,-0.089,0.407,0.436,2.1
Ross Whittaker,Wade Heerboth,mens,13,0.039,0.391,0.539,79.6
Madelyn Porter,Andi Godwin,womens,4,-0.03,0.423,0.479,28.6
Haley Ferguson,Ashley Griffith,womens,6,0.024,0.427,0.513,73.0
Yolena Carlon,Luana Stanciu,womens,6,-0.033,0.41,0.481,26.0
Cole Whitaker,Jake Anderson,mens,5,-0.027,0.42,0.481,30.4
Ethan Westdorp,Neil Westdorp,mens,2,-0.015,0.42,0.494,41.6
Rafa Hewett,Anderson Scarpa,mens,7,0.022,0.384,0.523,71.4
James Seagraves,Colby Hill,mens,4,-0.032,0.397,0.475,26.8
Jade Rau,Maddy Rasmusen,womens,7,0.078,0.408,0.571,92.8
Rachael Fitzgerald,Mikaela Smith,womens,2,0.002,0.44,0.503,56.5
Karen Lu,Brittany Yang,womens,4,0.013,0.405,0.516,65.0
Ashley Lu,Helen To,womens,2,-0.043,0.437,0.459,17.0
Edward Kim,Usama Khalid,mens,2,-0.088,0.41,0.424,2.5
Wesley Hanson,William Hart,mens,11,0.018,0.401,0.51,67.7
Helena Jansen,Pierina Imparato,womens,4,-0.002,0.389,0.495,52.5
Meggan William,Mya Barron,womens,2,-0.046,0.438,0.461,15.4
Sanil Jagtiani,Freddie Powell,mens,7,0.097,0.421,0.566,96.4
Edward Perez,Jarryd Woog,mens,15,0.023,0.397,0.519,72.2
Braylon Ohrel,Francis Chi,mens,8,0.052,0.395,0.541,85.3
Eliana Ling,Hailee Haymore,womens,2,-0.033,0.46,0.469,25.9
Parth Mody,Dale Kim,mens,17,0.093,0.441,0.576,95.7
Preston Engel,Alvaro Regalado,mens,9,0.066,0.446,0.548,89.9
Jay Evans,William Hsieh,mens,6,-0.059,0.398,0.438,8.1
Lova Metor,Scott McRee,mens,4,-0.024,0.399,0.481,33.3
Spencer Liang,Alexa Quintanilla,womens,6,-0.009,0.386,0.479,46.3
Caraline Cox,Elise Fortino,womens,3,0.011,0.415,0.499,62.2
Matvey Radionov,Garrison Eaby,mens,5,-0.034,0.409,0.464,25.3
Lauren Stratman,Olivia McMillan,womens,7,-0.033,0.395,0.478,26.2
Natalie Araya,Lucia Changkuon,womens,2,-0.005,0.413,0.496,49.6
Blake Goodman,Blake Suard,mens,5,0.009,0.398,0.489,60.7
Jack Maline,Brian Johnson,mens,2,-0.034,0.431,0.484,24.8
Julian Arnold,Etienne Blaszkewycz,mens,11,0.013,0.392,0.523,64.3
Jemere Plummer,Eli Curls,mens,2,-0.03,0.42,0.48,28.0
Giovanna Morelli,Anne-Sophie Courteau,womens,7,-0.026,0.399,0.484,31.3
Michael Pento,Ashton Patterson,mens,2,-0.054,0.444,0.459,9.5
Jasraj Sethi,Theo Yun,mens,8,-0.007,0.407,0.501,48.0
Amber Policare,Carlota Trevino,womens,12,0.091,0.437,0.566,95.2
Mark Dancuart,Ryan Torresin,mens,5,-0.003,0.368,0.501,52.0
Jesse Berkowitz,Riley Durkin,mens,2,-0.075,0.418,0.443,4.0
Valerie R Simon,Victoria Simon,womens,10,0.041,0.418,0.532,80.4
Rachida Berjane,Fatyha Berjane,womens,2,-0.024,0.401,0.49,32.5
Joshua McKinley,Bradon Ly,mens,2,-0.002,0.41,0.501,53.2
Tanner Suard,TJ Rudden,mens,2,-0.038,0.4,0.475,20.9
Liz Truluck,Estee Widdershoven,womens,12,0.094,0.384,0.586,95.8
Stephen Bass,Marshall Brown,mens,7,0.024,0.438,0.507,72.4
Dylan Lewis,George Rangelov,mens,6,-0.041,0.4,0.465,18.3
Connor McCartney,Mouaad Alhouni,mens,6,-0.071,0.409,0.448,4.6
Elyssa Wisner,Francesca Randazzo,womens,2,-0.043,0.434,0.481,17.3
Emanuel Dickson,Samuel Dickson,mens,9,0.008,0.427,0.515,60.3
Landon Ivey,Garrett Ivey,mens,7,0.017,0.42,0.522,67.5
Vincent Rettke,Michael Hollings,mens,5,-0.004,0.397,0.495,51.6
Django Chassang,Kalen Harbaugh,mens,3,-0.028,0.395,0.476,30.0
Daniel Miron,Ethan Bakalinsky,mens,7,0.029,0.397,0.534,75.7
MJ Greiner,Adair Garcia,mens,5,0.001,0.44,0.499,55.6
Tobias Moreno,Michael Shaw,mens,17,0.061,0.415,0.534,88.9
Luis Rojas,Casey Markulike,mens,2,-0.033,0.425,0.471,25.6
Evan Ankrom,Matthew Pokorny,mens,4,-0.064,0.419,0.464,6.1
Eddy Kim,Bret Berryman,mens,4,-0.018,0.395,0.484,38.8
Caitlin Klaassen,Mary McGowan,womens,5,0.003,0.417,0.495,56.6
Sofia Manzanares,Sable Yrjanson,womens,2,-0.01,0.399,0.492,45.3
Ahmad El-Zarif,Stephen Preissler,mens,20,0.073,0.418,0.546,91.6
Samuel Wells,Michael Vallejo,mens,2,0.007,0.396,0.504,59.4
Eliel Herminas,Dan Nguyen,mens,6,-0.043,0.426,0.469,17.2
Antonio Medina,Andrew Angulo,mens,4,-0.023,0.41,0.48,34.2
Evan T,Joshua Cornett,mens,5,-0.036,0.427,0.474,23.2
Courtenay Leonard,Patara Tezduyar,womens,2,-0.02,0.396,0.48,36.9
Michael Connors,Preston Ducrest,mens,3,-0.017,0.424,0.486,39.6
Brie Aldridge,Zoe Reavis,womens,2,-0.022,0.426,0.479,34.3
Tristan Cooley,Logan Thompson,mens,4,-0.043,0.431,0.461,16.9
Jacob Lee,Tyler Kane,mens,2,-0.035,0.424,0.486,23.6
Lawson D,Connor Gibbs,mens,2,0.008,0.378,0.521,60.2
Morgan Downing,Sharienne Ricardo,womens,3,-0.029,0.406,0.466,29.6
Jonas Daehler,Xavier Richard,mens,3,-0.017,0.423,0.48,40.0
Josh Oakman,Dustin Parks,mens,3,0.006,0.392,0.509,59.1
Casey Garretson,Ryan Camras,mens,15,0.08,0.42,0.568,93.4
Austin Bricker,Juan Varon,mens,2,-0.08,0.424,0.454,3.6
Daria Walczak,Michael Loyd,mixed,5,0.006,0.442,0.499,59.3
Ella Yeh,Len Yang,mixed,3,0.008,0.394,0.493,60.1
Victoria Dimuzio,Etta Tuionetoa,womens,4,0.047,0.397,0.54,83.5
Len Yang,Genie Erokhina,mixed,1,-0.024,0.406,0.491,33.4
Yuta Funemizu,Connor Garnett,mens,1,0.075,0.386,0.566,92.2
Caitlin Klaassen,Juan Varon,mixed,7,-0.019,0.388,0.481,37.4
Mark Dancuart,Estee Widdershoven,mixed,9,0.08,0.446,0.551,93.7
Lauren Stratman,Etienne Blaszkewycz,mixed,11,0.102,0.473,0.574,97.1
Jade Rau,Jae Centonze,mixed,6,0.032,0.402,0.522,76.9
Rafa Hewett,Isabella Dunlap,mixed,15,-0.014,0.408,0.481,42.6
