p1_name,p2_name,context,games,chemistry_mean,chemistry_sd,p_positive,percentile
Jada Bui,Mya Bui,womens,16,-0.034,0.39,0.452,24.7
Alia Brown,Madalina Grigoriu,womens,4,0.043,0.346,0.541,82.7
Hudson De Risi,Matthew Finnerty,mens,7,-0.054,0.383,0.441,11.5
Vincent Rettke,Miles Hoover,mens,15,-0.079,0.38,0.438,3.9
Samantha Buyckx,Kelsey Laurente,womens,5,0.023,0.391,0.532,71.9
Arianna Raga,Ali Quintero,womens,2,-0.023,0.37,0.475,34.3
Michael Leonard,John Lucian Goins,mens,4,-0.008,0.404,0.482,49.5
Connor Mogle,Jose Martinez,mens,10,0.033,0.376,0.514,77.3
Poongi Hong,Michael Vallejo,mens,5,0.007,0.398,0.49,61.6
Andrew Loftin,Amir Evgamukov,mens,7,0.065,0.388,0.568,90.4
Austin Bricker,Adam Harvey,mens,10,0.037,0.336,0.539,79.9
Mark Dancuart,Tanner Tomassi,mens,12,0.027,0.374,0.535,74.6
Robby Greenlaw,Thiago Braga,mens,3,0.005,0.383,0.502,60.6
Luca Mack,Anouar Braham,mens,19,0.174,0.399,0.649,99.4
Christopher Crouch,Jhonnatan Medina Alvarez,mens,7,0.06,0.402,0.576,89.2
Robert Laidlaw,Connor Duvally,mens,6,0.051,0.39,0.539,85.8
Grayson Goldin,William Sobek,mens,8,0.11,0.422,0.565,96.5
MJ Greiner,Dylan Lewis,mens,4,-0.006,0.39,0.489,51.2
Riley Bohnert,Marisa Ruiz,womens,5,-0.008,0.36,0.483,49.4
Seone Mendez,Jessica Warren,womens,2,-0.003,0.362,0.503,54.5
George Rangelov,Nejc Sitar,mens,7,-0.007,0.395,0.503,50.7
Logan Rowe,Joe Wiencek,mens,2,-0.013,0.389,0.488,44.4
Mark Growcott,Bret Berryman,mens,10,0.058,0.415,0.528,88.6
Jarryd Woog,Evan Pratt,mens,8,0.023,0.368,0.537,71.9
Michael Coleman,Jake Benjamin,mens,2,0.016,0.373,0.512,67.5
Justin Graham,Emanuel Dickson,mens,9,-0.013,0.36,0.493,45.0
Evan Zoeteman,Mulima Mulenga,mens,2,0.015,0.404,0.52,66.8
Zane Ford,Tendai Tapfuma,mens,3,-0.046,0.368,0.451,15.9
Tom Protzek,Martin Emmrich,mens,20,-0.048,0.333,0.461,15.4
Ashley Griffith,Brooke Caruso,womens,11,0.143,0.387,0.65,98.2
Estee Widdershoven,Jaeda Minniefield,womens,4,-0.073,0.362,0.438,5.0
Elsie Hendershot,Lina Padegimaite,womens,12,-0.019,0.359,0.482,38.3
Martina Frantova,Rachel Summers,womens,10,0.054,0.378,0.543,87.3
Brie Aldridge,Morgan Downing,womens,3,-0.017,0.356,0.489,41.3
Adalynn Lund,Monica Perez,womens,7,-0.002,0.373,0.499,55.2
Ernesto Fajardo,Tobias Moreno,mens,2,-0.051,0.392,0.452,13.3
Caio Bardauil,Rey Greenlaw,mens,8,0.056,0.364,0.551,87.6
Ewa Radzikowska,Tamaryn Emmrich,womens,30,0.23,0.421,0.713,99.8
