player_id,full_name,gender,games,value_mean,value_sd,w_mixed,w_mens,w_womens
1e538b1f-66e9-4166-ac60-3aef311ee0b5,Jada Bui,F,57,2.169,0.784,0.02,nan,-0.008
87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F,123,1.548,0.434,0.01,nan,-0.005
525bfe63-4047-4100-9289-b4af47a25f98,Alia Brown,F,14,-0.287,1.121,-0.007,nan,0.006
55b78314-2f02-4a0c-83c2-b7cbfd8b4329,Madalina Grigoriu,F,18,0.77,1.261,-0.012,nan,0.02
72781a5b-7e26-47ae-a581-625e4fa96099,Hudson De Risi,M,18,-3.037,1.021,-0.009,-0.007,nan
c2c74ae6-6b11-4a40-80e6-b7b924d2d83f,Matthew Finnerty,M,65,0.629,0.957,0.019,-0.014,nan
aa45af3b-41b0-4e03-9a17-4ca16a108df3,Vincent Rettke,M,60,-1.193,0.602,0.003,-0.01,nan
c971bb40-090b-4e47-be58-905495e38401,Miles Hoover,M,158,1.481,0.813,0.022,-0.018,nan
1d36eae4-41f1-4739-b9d2-0783fd371112,Samantha Buyckx,F,53,2.866,0.911,0.01,nan,0.006
f2a996de-50a0-4d1d-b16f-f6450daa4a1e,Kelsey Laurente,F,44,2.3,1.07,-0.003,nan,0.02
2398b148-15c1-4a56-8c02-0d62ed504f03,Arianna Raga,F,12,-1.744,1.342,0.005,nan,-0.017
d840aa40-c197-45ce-8bf3-a0751268bd0b,Ali Quintero,F,5,-0.368,1.785,-0.001,nan,-0.001
e96d9339-cfb6-473d-bcb3-23f2887a3e0f,John Lucian Goins,M,90,2.44,0.668,-0.005,0.016,nan
9c622e48-bbb8-4488-833f-83fb851efa5a,Michael Leonard,M,10,-0.952,1.352,-0.01,0.004,nan
8b7405b5-f3bc-4e32-bfbc-cc2e14f7454c,Jose Martinez,M,51,1.947,0.809,0.009,-0.009,nan
3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,164,2.996,0.884,0.01,0.001,nan
