player_id,full_name,gender,games,value_mean,value_sd,w_mixed,w_mens,w_womens
99b25b49-2a51-412d-9fbf-e1b6804acce0,Camden Chaffin,M,31,0.45,1.031,-0.034,0.036,nan
62955f38-bdf5-46af-9622-13c7afe90619,Jonathan Truong,M,21,-0.244,1.161,-0.056,0.052,nan
7edb882c-6d17-4129-8208-710e3c82364c,Federico Staksrud,M,37,1.998,0.988,0.026,0.012,nan
3a43c56f-b9d8-4e72-ae8a-58fd69291946,Jack Sock,M,27,-0.201,0.974,0.004,0.004,nan
a226291c-c48b-408b-a846-f45400d313a9,Alexa Schull,F,16,0.379,1.204,-0.042,nan,0.047
f76f4ac5-e3cc-4fe6-a4bc-a968b8b991b1,Alex Walker,F,35,-0.391,0.888,-0.064,nan,0.044
87d60b6f-6f2e-4610-ab89-487e8acc097e,Mya Bui,F,44,3.158,0.885,0.035,nan,0.029
65bcab7c-9c93-4dc8-a847-a34da426b933,Martina Frantova,F,3,-1.574,1.583,-0.001,nan,-0.028
3e6b668a-8d26-4424-9420-3ceb18486b65,Daria Walczak,F,27,-0.441,1.058,-0.056,nan,0.039
fec65f7e-f2c8-482f-ab5b-541cf53b1064,Tyra Hurricane Black,F,20,2.663,1.241,0.034,nan,0.024
ead35052-7367-4296-96d4-064f546cc2b9,CJ Klinger,M,18,1.593,1.24,0.022,-0.007,nan
3d9c8684-953f-4008-b355-b6104ee56a5b,Connor Mogle,M,14,-0.847,1.238,-0.002,-0.001,nan
051f5c82-82ce-4ab8-b4f8-36976638a89b,Sahra Dennehy,F,46,1.434,0.867,-0.022,nan,0.041
a51b59c5-1a13-4472-821a-eb9866e72adf,Joseph Wild,M,30,-0.309,1.031,0.021,-0.016,nan
ec4cdfe2-c6f6-4de1-824e-9adcaeb31196,Judit Castillo,F,21,3.089,1.144,0.039,nan,0.025
581183e8-3d9e-459e-b69f-7337d8b6f3d2,Andrei Daescu,M,20,2.137,1.192,0.038,0.005,nan
52726ab1-2ac9-46c0-be90-6b0e7a2d56eb,Pablo Tellez,M,36,0.595,0.955,0.041,-0.029,nan
1d701c30-6b5d-485f-ae97-60f3b0c50896,Zoey Weil,F,49,1.039,0.859,0.017,nan,0.01
eb14fc6e-ede1-4999-bec3-e36695e7f94e,Milan Rane,F,14,0.571,1.235,-0.014,nan,0.029
33292af3-984d-4752-8d18-b3a5c147e9fe,Armaan Bhatia,M,15,-0.358,1.234,-0.003,-0.004,nan
81535c8c-27d9-452c-a72a-61fc9f755b01,Will Mackinnon,M,58,0.894,0.87,0.053,-0.026,nan
306da673-de7e-44f5-bc16-0738b44bd089,Christopher Crouch,M,21,-0.119,1.105,0.008,-0.008,nan
1728d016-1f02-4789-be73-63d12d5a5b42,Parris Todd,F,18,2.772,1.261,0.027,nan,0.032
9eff9049-c45c-42ee-9a49-e9a797cc2116,Cailyn Campbell,F,29,-0.445,1.049,-0.023,nan,0.021
ad6e69ff-7913-4b21-86dd-9489f749be01,Paula Rives,F,12,-0.995,1.215,-0.027,nan,-0.003
8f521dcc-1cb5-4c8d-933c-af6b267bd395,Meghan Dizon,F,27,1.695,1.086,0.019,nan,0.017
8e2f9629-19d0-409d-81dc-b64fe2f3d3ff,Jessie Irvine,F,28,1.955,1.065,0.036,nan,0.008
b1ab7d76-a859-4136-8405-3ed7c9be287a,Mari Humberg,F,38,1.281,1.023,0.017,nan,0.022
646f7432-e6ad-4ccf-95ee-a0e5d9514d28,Alix Truong,F,21,0.571,1.269,-0.001,nan,0.01
2c4de762-88d6-47c3-8b2b-af562c5d1f93,Danni-Elle Townsend,F,35,1.785,1.105,0.031,nan,0.009
295e343a-31a0-4e1d-a286-d62592291435,Jay Devilliers,M,26,1.353,1.175,0.028,-0.004,nan
ba491f1c-0112-47a8-a348-4695289e958a,Augustus Ge,M,40,2.779,1.053,0.03,0.031,nan
9b97206b-783a-4fab-85e9-45a6240325a5,Catherine Parenteau,F,28,2.041,1.066,0.02,nan,0.011
6cae3a50-eee6-45ea-8b28-85ef9c50e3c4,Jade Kawamoto,F,28,2.237,1.06,0.021,nan,0.034
efe9989b-5864-48c2-806c-06697024e1da,Allyce Jones,F,12,-1.423,1.252,-0.014,nan,-0.008
676b1cbc-766c-4616-bf39-1787ffd8c72a,Etta Tuionetoa,F,20,1.609,1.095,0.031,nan,0.017
25104e43-16f9-4ce3-9085-70243d8b350a,Ella Yeh,F,34,-0.586,1.005,0.026,nan,-0.036
a95df9a8-772c-4dbf-8c28-e200b7308584,Kiora Kunimoto,F,55,3.129,0.934,0.045,nan,0.021
bd061b42-2f82-4bbe-82be-d8bcfb37f9e1,JW Johnson,M,38,3.067,1.152,0.048,0.014,nan
2856d69d-887b-4e89-a5c9-975f581f84a0,Len Yang,M,11,0.596,1.295,0.001,0.01,nan
7886d6aa-2310-4ae8-9874-f0fc9c3e534f,James Delgado,M,81,1.356,0.75,-0.033,0.066,nan
