p1_name,p2_name,chem_logit_mean,chem_logit_sd
Jillian Braverman,Jaume Martinez Vich,0.0037,0.0519
Kent Hunter,Kenadi Hance,0.0042,0.0497
Alec Weller,Luke Ness,0.003,0.0511
Sergey Afanasenka,William Stults,-0.0057,0.051
Roman Estareja,Aron Ouye,-0.0049,0.051
Chase Ora,Jesse Knight,0.003,0.0509
Benjamin Bramblett,Chase Mason,0.0002,0.0516
Phuc Huynh,Marcel Chan,-0.0072,0.0514
Erik Pailet,Cierra Gaytan-Leach,0.0047,0.0494
Ryan Skufca,Elizabeth Skufca,0.0025,0.0507
Cason Campbell,Tucker Mueck,-0.0027,0.0488
Benjamin Grant,Ryan Diaz,0.0095,0.052
Nick Black,Kevin Pham,-0.0005,0.0502
Alex Emery,Ernesto Russo,-0.0034,0.0521
Walter Lau,Kyle McMakin,0.0061,0.0518
Stephen Madonia,Grayson Goldin,0.0064,0.0487
Julie Rodriguez,Alex Emery,-0.0007,0.0496
Tim Ryan,Nancy Tsai,-0.0036,0.0497
Matthew Marceau,Malia K Lum,0.0056,0.0504
Jessica Mason,Chase Mason,-0.0047,0.0483
Cassidy Hoag,Anderson Scarpa,0.0369,0.0519
Lingwei Kong,Blaine Hovenier,-0.0063,0.051
Caden Nemoff,Pierina Imparato,-0.0012,0.0517
Christine Maddox,James Bragg,0.0009,0.0521
Ethan Violette,Ammar Wazir,0.0004,0.0503
Michael Loyd,Brooke Revuelta,0.0106,0.0524
Aron Ouye,Camila Garcia Wright,0.0006,0.0528
Patrick Kawka,Lauren Mercado,0.0158,0.0505
Jake Davis,Jeffrey Tolman,-0.0012,0.0521
Anders Jansson,Chiron Burl,-0.0068,0.0558
Blaine Hovenier,Matthew Marceau,-0.0017,0.0508
Jerome Jayapal,Jonathan Williams,-0.0012,0.0515
Blake Potter,Ivana King,0.0047,0.0508
Luke Ness,Michelle Murphy,0.0087,0.0491
Madison Wold,Jake Presser,0.0049,0.051
Yates Johnson,Vivian Glozman,-0.0021,0.0524
Katerina Stewart,Cason Campbell,0.0126,0.0512
Jericho Grollman,Harrison Gold,0.0115,0.0505
Tatiana Ruhl,Jonny Pickleball Andrews,-0.0016,0.0511
Sabrina Guillebeaux,Chase Holderman,-0.0002,0.0506
Kevin Dayan,Warren Tamanaha,0.0065,0.0499
