p1_name,p2_name,chem_logit_mean,chem_logit_sd
Jillian Braverman,Jaume Martinez Vich,0.0042,0.0521
Kent Hunter,Kenadi Hance,0.0042,0.0489
Alec Weller,Luke Ness,0.0046,0.0496
Sergey Afanasenka,William Stults,-0.0055,0.0506
Roman Estareja,Aron Ouye,-0.0046,0.0505
Chase Ora,Jesse Knight,0.0013,0.0496
Benjamin Bramblett,Chase Mason,0.0004,0.0464
Phuc Huynh,Marcel Chan,-0.008,0.0494
Erik Pailet,Cierra Gaytan-Leach,0.003,0.048
Ryan Skufca,Elizabeth Skufca,0.0024,0.0481
Cason Campbell,Tucker Mueck,-0.0028,0.054
Benjamin Grant,Ryan Diaz,0.0081,0.0482
Nick Black,Kevin Pham,-0.0029,0.0478
Alex Emery,Ernesto Russo,-0.0026,0.0489
Walter Lau,Kyle McMakin,0.0042,0.0499
Stephen Madonia,Grayson Goldin,0.0055,0.0472
Julie Rodriguez,Alex Emery,-0.0001,0.0528
Tim Ryan,Nancy Tsai,-0.0059,0.0484
Matthew Marceau,Malia K Lum,0.0039,0.048
Jessica Mason,Chase Mason,-0.0046,0.0478
Cassidy Hoag,Anderson Scarpa,0.0317,0.0487
Lingwei Kong,Blaine Hovenier,-0.0037,0.0509
Caden Nemoff,Pierina Imparato,-0.0031,0.0499
Christine Maddox,James Bragg,-0.0002,0.0519
Ethan Violette,Ammar Wazir,0.0023,0.0499
Michael Loyd,Brooke Revuelta,0.0084,0.0488
Aron Ouye,Camila Garcia Wright,0.0007,0.0497
Patrick Kawka,Lauren Mercado,0.0149,0.0474
Jake Davis,Jeffrey Tolman,-0.0012,0.0472
Anders Jansson,Chiron Burl,-0.0061,0.049
Blaine Hovenier,Matthew Marceau,-0.0025,0.0497
Jerome Jayapal,Jonathan Williams,-0.0005,0.0494
Blake Potter,Ivana King,0.0031,0.0502
Luke Ness,Michelle Murphy,0.0088,0.0485
Madison Wold,Jake Presser,0.0083,0.0482
Yates Johnson,Vivian Glozman,-0.0028,0.0484
Katerina Stewart,Cason Campbell,0.0109,0.0516
Jericho Grollman,Harrison Gold,0.0086,0.0489
Tatiana Ruhl,Jonny Pickleball Andrews,-0.0016,0.0468
Sabrina Guillebeaux,Chase Holderman,-0.0007,0.0499
Kevin Dayan,Warren Tamanaha,0.0061,0.0478
Cade Erickson,Vincent Van Patten,-0.0025,0.051
Kent Hunter,Matthew Mead,-0.0064,0.0483
Angel Hernandez,David Horn,-0.0013,0.0482
Jackson Ayotte,Rio Newcombe,-0.0072,0.0474
Matthew Mead,Ali Welch,-0.0048,0.0521
Gino Valencia,Dionne Lim,0.0023,0.0478
Clemens Graute,Ekaterina Biakina,0.0037,0.0478
Gabrielle Boudreau,Rio Newcombe,-0.0015,0.048
Stefan Svicevic,Mario Figueredo,-0.0073,0.0508
David Hall,Christopher Williams,-0.0019,0.0456
Troy Akin,Bryan Hammond,0.0054,0.0462
Claudio Quinones Garcia,Iker Tomas,-0.004,0.0487
Mason Fung,Ryan Ali,0.0072,0.0515
Chase Holderman,Christopher Haworth,0.0056,0.0503
Dean Loock,Danny Derry,-0.0023,0.0484
Max Green,Cambell Nakayama,-0.0028,0.0491
Cori Elliott,Benjamin Grant,-0.0005,0.0496
Ryan Eveloff,Amanda Rosati,-0.0043,0.0505
Nicole Eugenio,Wesley Burrows,0.018,0.0493
Mike Anderson,Marcela Aguila Ampon,-0.0042,0.048
Kevin Dayan,Trang Huynh,-0.0035,0.0493
Jason Gregory,Christopher Welch,-0.0003,0.0467
Liz Truluck,Casey Diamond,-0.0044,0.0469
Claudia Stepien,Chiron Burl,0.0009,0.047
Naveen Beasley,Sharienne Ricardo,-0.0016,0.0492
Shea Donahue,Mario Figueredo,0.0045,0.0454
Jaume Martinez Vich,Wyatt Stone,0.0048,0.0494
Yates Johnson,Hunter Johnson,-0.0163,0.0501
Spartak Rahachou,Louie Payetta,0.0009,0.0506
Camila Garcia Wright,Marcela Aguila Ampon,-0.0044,0.0498
Pamela Montez,Claudia Stepien,0.0067,0.0479
Nicole Eugenio,Cori Elliott,-0.0006,0.0487
Lyndsay Kinstler,Michelle Murphy,0.0001,0.0489
Parris Todd,Hunter Johnson,0.0263,0.0454
Camila Zilveti,Ivan Jakovljevic,-0.0025,0.0483
Jonny Pickleball Andrews,Ryan Sherry,-0.0093,0.0496
Eric Roddy,Jason McNulty,0.0068,0.048
Cierra Gaytan-Leach,Olivia McMillan,-0.0016,0.0492
Christine Trifunovic,Kaitlyn Christian,0.0055,0.0482
Sabrina Guillebeaux,Tatiana Ruhl,0.0088,0.0506
Lingwei Kong,Ekaterina Biakina,-0.002,0.0523
Erik Lange,Lina Padegimaite,-0.005,0.048
Madeline Schulte,Patrick Smith,-0.0135,0.0504
Rafa Hewett,Ava Ignatowich,-0.0039,0.0508
Chao Yi Wang,Eric Roddy,-0.0047,0.0492
Dominique Schaefer,Wyatt Stone,0.0,0.0495
Genie Erokhina,Martin Emmrich,0.0021,0.0474
Allison Phillips,Chuck Taylor,-0.0051,0.0484
