rally_cum,game,track,frames,appearance,appearance_frac,carried,agree
1,1,3,25,Patriquin,0.96,Patriquin,1
1,1,0,33,Alshon,0.97,Alshon,1
1,1,4,27,Bright,0.59,Bright,1
1,1,1,31,Black,0.61,Black,1
1,1,6,1,Bright,1.00,UNNAMED,0
1,1,5,1,Bright,1.00,UNNAMED,0
1,1,7,1,Bright,1.00,UNNAMED,0
2,1,2,29,Patriquin,1.00,Patriquin,1
2,1,0,13,Bright,0.62,Bright,1
2,1,1,20,Black,0.70,Black,1
2,1,3,15,Alshon,0.80,Alshon,1
2,1,4,1,Bright,1.00,UNNAMED,0
2,1,5,1,Bright,1.00,UNNAMED,0
4,1,0,19,Patriquin,1.00,Patriquin,1
4,1,3,18,Black,0.78,Black,1
4,1,1,12,Alshon,0.75,Alshon,1
4,1,2,1,Bright,1.00,Bright,1
4,1,12,4,Bright,1.00,UNNAMED,0
6,1,0,15,Alshon,1.00,Alshon,1
6,1,2,13,Bright,1.00,Bright,1
6,1,3,15,Black,1.00,Black,1
6,1,6,3,Bright,1.00,UNNAMED,0
6,1,1,1,Bright,1.00,Patriquin,0
7,1,5,7,Bright,0.86,Bright,1
7,1,4,10,Black,1.00,Black,1
7,1,6,16,Alshon,0.94,Alshon,1
7,1,3,14,Bright,0.93,Patriquin,0
7,1,8,4,Bright,1.00,UNNAMED,0
7,1,9,4,Bright,1.00,UNNAMED,0
9,1,6,28,Alshon,1.00,Alshon,1
9,1,3,11,Patriquin,0.55,Bright,0
9,1,5,23,Black,0.78,Black,1
9,1,8,1,Bright,1.00,UNNAMED,0
9,1,4,16,Patriquin,0.88,Patriquin,1
9,1,9,1,Bright,1.00,UNNAMED,0
16,1,2,16,Bright,1.00,Patriquin,0
16,1,3,10,Alshon,0.60,Black,0
16,1,1,6,Black,0.83,Alshon,0
16,1,4,4,Bright,1.00,Bright,1
18,1,0,15,Patriquin,1.00,Patriquin,1
18,1,1,12,Bright,1.00,Bright,1
18,1,3,11,Black,0.91,Black,1
18,1,7,1,Bright,1.00,UNNAMED,0
18,1,2,3,Alshon,0.67,Alshon,1
18,1,8,6,Bright,1.00,UNNAMED,0
20,1,18,16,Black,0.94,Black,1
20,1,15,19,Alshon,0.95,Alshon,1
20,1,28,17,Bright,1.00,Bright,1
20,1,32,4,Bright,1.00,UNNAMED,0
20,1,31,1,Bright,1.00,UNNAMED,0
20,1,33,4,Bright,1.00,UNNAMED,0
20,1,17,5,Bright,0.40,Patriquin,0
24,1,1,30,Patriquin,1.00,Patriquin,1
24,1,4,11,Bright,0.64,Bright,1
24,1,2,35,Black,0.77,Black,1
24,1,5,4,Bright,1.00,UNNAMED,0
24,1,0,28,Alshon,0.93,Alshon,1
24,1,7,1,Bright,1.00,UNNAMED,0
33,1,3,26,Patriquin,0.96,Bright,0
33,1,4,13,Bright,0.54,Patriquin,0
33,1,6,36,Alshon,0.89,Black,0
33,1,5,43,Black,0.91,Alshon,0
33,1,15,5,Bright,1.00,UNNAMED,0
33,1,16,1,Bright,1.00,UNNAMED,0
33,1,18,1,Bright,1.00,UNNAMED,0
37,1,2,31,Alshon,0.94,Alshon,1
37,1,4,23,Black,0.87,Black,1
37,1,1,13,Bright,0.62,Patriquin,0
37,1,5,1,Bright,1.00,UNNAMED,0
