frame,t_s,x,y,vis
0,427.307,485,146,V
1,427.340,486,138,V
2,427.374,487,137,V
3,427.407,486,133,V
4,427.440,485,138,V
5,427.474,482,135,V
6,427.507,480,139,V
7,427.540,479,138,V
8,427.574,480,144,V
9,427.607,474,143,V
10,427.640,473,145,V
11,427.674,473,145,V
12,427.707,470,148,V
13,427.740,471,145,V
14,427.774,468,145,V
15,427.807,468,143,V
16,427.840,466,144,V
17,427.874,465,146,V
18,427.907,463,143,V
19,427.940,463,138,V
20,427.974,462,138,V
21,428.007,459,138,V
22,428.040,462,133,V
23,428.074,457,134,V
24,428.107,453,133,V
25,428.140,452,129,V
26,428.174,452,129,V
27,428.207,449,133,V
28,428.240,448,133,V
29,428.274,447,135,V
30,428.307,447,135,V
31,428.340,444,142,V
32,428.374,444,145,V
33,428.407,457,144,V
34,428.440,470,145,V
35,428.474,484,148,V
36,428.507,496,149,V
37,428.540,511,153,V
38,428.574,528,159,V
39,428.607,540,167,V
40,428.640,559,175,S
41,428.674,575,185,S
42,428.707,591,198,S
43,428.740,610,213,S
44,428.774,628,230,S
45,428.807,645,245,S
46,428.840,667,267,S
47,428.874,687,290,S
48,428.907,709,315,S
49,428.940,725,337,S
50,428.974,747,369,S
51,429.007,768,400,S
52,429.040,793,433,S
53,429.074,814,478,S
54,429.107,838,507,S
55,429.140,859,529,S
56,429.174,880,521,V
57,429.207,897,528,V
58,429.240,922,533,V
59,429.274,946,534,V
60,429.307,966,548,V
61,429.340,998,581,I
62,429.374,1015,591,I
63,429.407,1036,582,V
64,429.440,1040,562,I
65,429.474,1007,517,I
66,429.507,966,466,S
67,429.540,934,425,S
68,429.574,908,393,S
69,429.607,884,363,S
70,429.640,859,336,V
71,429.674,837,310,V
72,429.707,820,290,V
73,429.740,798,270,S
74,429.774,778,252,S
75,429.807,766,244,S
76,429.840,752,231,V
77,429.874,736,223,V
78,429.907,725,215,V
79,429.940,711,210,V
80,429.974,698,206,V
81,430.007,689,204,V
82,430.040,678,201,V
83,430.074,668,201,V
84,430.107,658,202,V
85,430.140,651,203,V
86,430.174,642,206,V
87,430.207,634,209,V
88,430.240,629,212,V
89,430.274,622,217,V
90,430.307,613,222,V
91,430.340,608,222,S
92,430.374,603,209,S
93,430.407,599,196,S
94,430.440,596,186,S
95,430.474,592,174,S
96,430.507,590,167,S
97,430.540,586,164,V
98,430.574,582,159,V
99,430.607,581,154,V
100,430.640,576,150,V
101,430.674,571,149,V
102,430.707,569,143,V
103,430.740,562,143,V
104,430.774,558,138,V
105,430.807,551,134,V
106,430.840,548,133,V
107,430.874,542,132,V
108,430.907,539,133,V
109,430.940,533,134,V
110,430.974,527,137,V
111,431.007,522,139,V
112,431.040,514,143,V
113,431.074,511,148,V
114,431.107,505,154,V
115,431.140,500,162,V
116,431.174,492,172,V
117,431.207,486,178,V
118,431.240,480,188,V
119,431.274,474,198,V
120,431.307,469,213,S
121,431.340,462,226,V
122,431.374,453,244,V
123,431.407,449,258,S
124,431.440,442,276,S
125,431.474,432,302,I
126,431.507,431,309,I
127,431.540,450,300,S
128,431.574,471,283,S
129,431.607,494,265,S
130,431.640,517,250,S
