t_s,rms,cheer_2_8k
0.00,0.03616,0.0000846
0.25,0.04553,0.0000824
0.50,0.04982,0.0000850
0.75,0.05608,0.0000857
1.00,0.05434,0.0000567
1.25,0.03668,0.0000310
1.50,0.02786,0.0000267
1.75,0.00776,0.0000353
2.00,0.00714,0.0000332
2.25,0.00629,0.0000272
2.50,0.00732,0.0000310
2.75,0.00837,0.0000355
3.00,0.00884,0.0000497
3.25,0.02761,0.0000636
3.50,0.05552,0.0000821
3.75,0.06275,0.0000502
4.00,0.05491,0.0000915
4.25,0.04484,0.0000594
4.50,0.04248,0.0000854
4.75,0.05773,0.0001422
5.00,0.05904,0.0000768
5.25,0.05955,0.0001208
5.50,0.05925,0.0001075
5.75,0.04528,0.0002138
6.00,0.03082,0.0001263
6.25,0.04300,0.0001480
6.50,0.05643,0.0001751
6.75,0.05356,0.0001184
7.00,0.05703,0.0001391
7.25,0.06371,0.0001540
7.50,0.06675,0.0001452
7.75,0.06479,0.0001820
8.00,0.05690,0.0000691
8.25,0.05513,0.0000628
8.50,0.05681,0.0000901
8.75,0.06068,0.0001034
9.00,0.04753,0.0000783
9.25,0.01547,0.0000585
9.50,0.01005,0.0000384
9.75,0.00846,0.0000440
10.00,0.02386,0.0001329
10.25,0.02663,0.0000842
10.50,0.01753,0.0000792
10.75,0.01422,0.0000441
11.00,0.03588,0.0000441
11.25,0.05843,0.0002777
11.50,0.05978,0.0002444
11.75,0.04438,0.0001340
12.00,0.04335,0.0000856
12.25,0.04974,0.0000807
12.50,0.05222,0.0001133
12.75,0.04559,0.0000672
13.00,0.02477,0.0000469
13.25,0.01110,0.0000457
13.50,0.01035,0.0000298
13.75,0.01914,0.0000568
14.00,0.02070,0.0000786
14.25,0.01355,0.0000568
14.50,0.03016,0.0000586
14.75,0.05089,0.0000848
15.00,0.05419,0.0001426
15.25,0.05617,0.0002014
15.50,0.06270,0.0001549
15.75,0.06385,0.0000975
16.00,0.04980,0.0001364
16.25,0.02149,0.0000600
16.50,0.01841,0.0000421
16.75,0.01811,0.0000659
17.00,0.01054,0.0000322
17.25,0.02842,0.0000581
17.50,0.03034,0.0000868
17.75,0.02180,0.0000620
18.00,0.02101,0.0000673
18.25,0.01920,0.0000729
18.50,0.02801,0.0000706
18.75,0.03218,0.0000881
19.00,0.03702,0.0001241
19.25,0.03998,0.0001436
19.50,0.03631,0.0001311
19.75,0.03049,0.0001062
20.00,0.02872,0.0001113
20.25,0.03076,0.0001558
20.50,0.02817,0.0001072
20.75,0.03349,0.0000825
21.00,0.03770,0.0001535
21.25,0.03481,0.0000997
21.50,0.03432,0.0001564
21.75,0.03386,0.0000990
22.00,0.03011,0.0000813
22.25,0.02105,0.0000555
22.50,0.01474,0.0000592
22.75,0.01997,0.0000891
23.00,0.02307,0.0000793
23.25,0.02307,0.0000842
23.50,0.01879,0.0000820
23.75,0.01305,0.0000453
24.00,0.02702,0.0002139
24.25,0.02648,0.0000613
24.50,0.01022,0.0000369
24.75,0.01099,0.0000361
25.00,0.01541,0.0000418
25.25,0.01581,0.0000451
25.50,0.01223,0.0000409
25.75,0.02245,0.0000677
26.00,0.02833,0.0000684
26.25,0.02607,0.0000566
26.50,0.02257,0.0000494
