slot,rally,n_contacts,logged_dur_s,video_t_end,leverage,outcome
1,1,1,43.0,7.25,0.1171,sideout
1,2,13,18.0,35.00,0.1171,second
1,3,17,27.0,80.00,0.1171,point
1,4,18,25.0,107.25,0.1198,point
1,5,14,28.0,145.07,0.1191,point
1,6,10,19.0,175.75,0.1146,sideout
1,7,9,21.0,199.00,0.1146,point
1,8,18,20.0,240.75,0.1257,point
1,9,14,17.0,252.75,0.1345,second
1,10,14,24.0,293.00,0.1307,sideout
1,11,30,44.0,320.50,0.1307,second
1,12,26,36.0,328.00,0.1345,point
1,13,6,14.0,330.75,0.1336,point
1,14,12,25.0,376.25,0.1272,sideout
1,15,4,18.0,404.75,0.1272,point
1,16,17,22.0,433.50,0.1432,point
1,17,14,23.0,475.50,0.1563,second
1,18,10,18.0,508.00,0.1503,sideout
1,19,15,20.0,539.25,0.1503,point
1,22,17,26.0,542.25,0.0994,second
1,23,10,20.0,547.50,0.1245,sideout
1,24,11,21.0,562.00,0.1245,second
1,25,26,55.0,617.75,0.0993,point
1,26,14,19.0,639.75,0.1303,sideout
1,27,9,20.0,655.00,0.1305,second
1,28,15,20.0,680.23,0.1577,point
1,29,11,26.0,727.25,0.1307,sideout
1,30,17,24.0,777.98,0.1305,point
1,31,19,33.0,795.50,0.1782,second
1,32,16,22.0,830.50,0.1341,sideout
1,33,12,24.0,856.25,0.1332,point
1,34,8,15.0,895.50,0.0723,point
2,36,28,50.0,899.50,0.1198,point
2,37,7,16.0,938.00,0.1191,sideout
2,38,9,18.0,955.03,0.1191,point
2,39,11,18.0,988.00,0.1265,second
2,40,20,25.0,1032.75,0.1233,sideout
2,41,41,53.0,1098.75,0.1233,second
2,42,12,21.0,1133.50,0.1265,sideout
2,43,7,10.0,1153.75,0.1265,point
2,44,10,20.0,1185.00,0.1307,second
2,45,13,20.0,1224.50,0.1307,sideout
2,46,24,36.0,1264.75,0.1307,second
2,47,11,14.0,1283.75,0.1307,point
2,48,14,23.0,1326.78,0.1345,point
2,50,13,17.0,1380.97,0.1272,point
2,51,16,30.0,1390.75,0.1146,sideout
2,52,9,16.0,1412.00,0.1146,second
2,53,7,15.0,1423.50,0.0991,sideout
2,54,10,21.0,1432.82,0.0991,point
2,55,24,28.0,1456.75,0.0991,second
2,56,6,10.0,1463.45,0.0961,point
2,57,7,13.0,1494.50,0.0727,sideout
2,58,16,18.0,1517.75,0.0727,second
2,59,6,10.0,1528.25,0.0551,sideout
2,60,16,21.0,1552.75,0.0551,point
2,61,22,18.0,1566.50,0.0318,second
2,62,17,22.0,1589.00,0.0468,sideout
2,63,15,22.0,1603.00,0.0468,second
2,64,9,18.0,1638.50,0.0318,point
2,65,10,11.0,1668.50,0.0461,sideout
2,66,11,18.0,1703.75,0.0461,point
2,67,8,15.0,1734.68,0.0189,point
3,68,19,37.0,1737.50,0.1171,sideout
3,69,10,16.0,1751.50,0.1171,second
3,70,19,17.0,1770.00,0.1171,sideout
3,71,15,18.0,1789.00,0.1171,second
3,72,16,21.0,1829.50,0.1171,sideout
3,73,11,19.0,1843.25,0.1171,second
3,74,12,19.0,1857.25,0.1171,sideout
3,75,19,30.0,1872.25,0.1171,point
3,76,14,19.0,1875.25,0.1171,second
3,77,13,14.0,1906.75,0.1198,sideout
3,78,18,32.0,1958.50,0.1198,second
3,79,14,13.0,1970.50,0.1171,sideout
3,80,20,23.0,2001.75,0.1171,second
3,81,10,18.0,2046.75,0.1198,sideout
3,82,9,10.0,2054.75,0.1198,second
3,83,20,28.0,2091.75,0.1171,point
3,84,12,19.0,2119.50,0.1233,sideout
3,85,8,13.0,2145.48,0.1233,point
3,86,25,38.0,2156.75,0.1233,point
3,87,14,24.0,2168.25,0.1192,point
3,88,7,15.0,2196.25,0.1104,second
3,89,12,16.0,2228.75,0.1204,point
3,90,17,21.0,2252.00,0.1101,sideout
3,91,20,21.0,2298.80,0.1101,point
3,92,9,12.0,2331.25,0.1272,second
3,93,19,21.0,2361.00,0.1151,point
3,94,12,18.0,2383.00,0.1333,point
3,95,13,29.0,2416.75,0.1503,sideout
3,96,5,12.0,2433.25,0.1503,second
3,97,17,18.0,2450.50,0.1563,sideout
3,98,16,23.0,2490.25,0.1563,second
3,99,14,17.0,2524.25,0.1503,sideout
3,100,12,23.0,2556.25,0.1503,second
3,101,7,15.0,2570.25,0.1563,sideout
3,102,6,17.0,2610.00,0.1563,second
3,103,15,28.0,2634.25,0.1503,point
3,106,15,32.0,2637.00,0.1722,second
3,107,6,19.0,2649.50,0.1642,sideout
3,108,6,15.0,2663.45,0.1642,point
3,109,10,33.0,2671.60,0.1536,point
3,110,9,14.0,2699.30,0.1305,point
3,111,5,12.0,2710.00,0.0944,second
3,112,12,20.0,2737.75,0.1307,sideout
3,113,10,19.0,2744.00,0.1305,second
3,114,14,25.0,2758.00,0.0946,sideout
3,115,8,15.0,2761.50,0.0944,second
3,116,9,22.0,2783.50,0.1307,sideout
3,117,12,19.0,2809.75,0.1305,point
3,118,5,12.0,2832.75,0.1782,point
3,120,14,28.0,2834.75,0.2993,second
3,121,14,26.0,2852.50,0.2695,sideout
3,122,18,24.0,2891.00,0.2538,second
3,123,8,13.0,2921.75,0.3149,sideout
3,124,12,23.0,2930.50,0.2993,second
3,125,14,26.0,2970.27,0.2695,point
3,126,9,23.0,3006.00,0.3979,sideout
3,127,10,19.0,3044.50,0.3388,second
3,128,13,16.0,3080.25,0.3979,sideout
3,129,16,36.0,3115.50,0.3388,point
3,130,8,16.0,3149.25,0.2605,second
3,131,15,28.0,3197.25,0.4570,sideout
3,132,9,27.0,3236.00,0.3533,second
3,133,11,22.0,3264.75,0.3642,sideout
3,134,13,18.0,3306.50,0.2605,second
3,135,15,28.0,3351.50,0.4570,sideout
3,136,16,33.0,3405.75,0.3533,point
3,137,9,18.0,3449.50,0.3388,second
3,138,10,21.0,3483.75,0.3979,sideout
3,139,22,34.0,3532.50,0.3388,second
3,140,11,17.0,3560.50,0.3979,sideout
3,141,20,27.0,3595.00,0.3388,point
3,142,13,15.0,3631.48,0.2605,point
4,144,32,45.0,3632.75,0.1198,sideout
4,145,9,17.0,3639.97,0.1198,point
4,146,7,23.0,3651.25,0.1233,second
4,147,4,12.0,3666.25,0.1233,point
4,148,23,33.0,3713.25,0.1265,sideout
4,149,9,23.0,3743.00,0.1265,second
4,150,9,14.0,3771.75,0.1233,sideout
4,151,12,18.0,3798.75,0.1233,second
4,152,21,38.0,3836.70,0.1265,point
4,153,1,0.0,3869.25,0.1257,sideout
4,154,21,33.0,3910.75,0.1257,second
4,155,9,21.0,3925.50,0.1192,sideout
4,156,6,12.0,3956.75,0.1192,point
4,157,5,16.0,3973.75,0.1104,second
4,158,17,27.0,4001.75,0.1204,sideout
4,159,14,19.0,4038.75,0.1204,point
4,160,7,13.0,4041.25,0.1336,second
4,161,10,16.0,4049.00,0.1256,sideout
4,162,11,25.0,4077.00,0.1256,second
4,163,10,15.0,4081.25,0.1336,sideout
4,164,11,21.0,4094.50,0.1336,second
4,165,7,19.0,4111.50,0.1256,sideout
4,166,4,13.0,4125.50,0.1256,point
4,167,13,18.0,4160.75,0.1151,point
4,169,27,41.0,4162.75,0.1146,sideout
4,170,13,17.0,4188.88,0.1146,point
4,171,6,16.0,4201.75,0.1352,second
4,172,13,24.0,4206.75,0.1201,point
4,173,14,23.0,4248.47,0.1424,point
4,174,7,18.0,4255.78,0.1642,point
4,175,19,30.0,4331.58,0.1828,point
4,176,13,24.0,4367.50,0.1943,sideout
4,177,16,31.0,4414.03,0.1946,point
4,178,15,18.0,4454.75,0.2102,second
4,179,26,60.0,4512.00,0.2097,point
4,183,14,28.0,4518.50,0.2108,second
4,184,7,12.0,4529.75,0.2299,sideout
4,185,16,33.0,4557.28,0.2302,point
4,186,12,24.0,4589.25,0.2564,second
4,187,27,29.0,4634.67,0.2583,point
4,188,13,28.0,4675.00,0.3149,sideout
4,189,16,34.0,4724.25,0.2993,second
4,190,4,16.0,4748.92,0.2695,point
4,191,3,31.0,4798.50,0.3979,point
4,193,2,22.0,4811.47,0.4570,point
