"game","division","rally_in_game","rally_cum","shot_index","hitter_name","hitter_uuid","shot_type","contact","t_tap_s","t_refined_s","tap_rate","source","rally_note","pin_ref_s","video_name","video_dur_s"
"1","womens","1","1","1","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","serve","1","10.243","","0.25","prefill","Shot 6: dink volley but not speed up, Shot 19: dink volley but not speed up, ended on smash out","10.33","full_match.mp4.webm","4820.0"
"1","womens","1","1","2","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","return","1","11.350","","0.25","prefill","","","",""
"1","womens","1","1","3","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","drop","1","12.736","","0.25","prefill","","","",""
"1","womens","1","1","4","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","13.937","","0.25","prefill","","","",""
"1","womens","1","1","5","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","dink","1","15.105","","0.25","prefill","","","",""
"1","womens","1","1","6","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","slow","1","15.777","","0.25","manual","","","",""
"1","womens","1","1","7","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","16.898","","0.25","prefill","","","",""
"1","womens","1","1","8","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","18.033","","0.25","prefill","","","",""
"1","womens","1","1","9","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","speed-up","1","18.812","","0.25","prefill","","","",""
"1","womens","1","1","10","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","1","19.213","","0.25","prefill","","","",""
"1","womens","1","1","11","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","counter","1","19.616","","0.25","prefill","","","",""
"1","womens","1","1","12","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","1","20.573","","0.25","prefill","","","",""
"1","womens","1","1","13","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","21.134","","0.25","prefill","","","",""
"1","womens","1","1","14","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","smash","1","21.587","","0.25","prefill","","","",""
"1","womens","1","1","15","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","counter","1","22.048","","0.25","prefill","","","",""
"1","womens","1","1","16","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","22.912","","0.25","prefill","","","",""
"1","womens","1","1","17","Emma Nelson","ab6386c6-c7e3-422f-9134-e20e92725ee5","dink","1","24.236","","0.25","prefill","","","",""
"1","womens","1","1","18","Allyce Jones","efe9989b-5864-48c2-806c-06697024e1da","dink","1","25.290","","0.25","prefill","","","",""
"1","womens","1","1","19","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","slow","1","25.966","","0.25","manual","","","",""
"1","womens","1","1","20","Etta Tuionetoa","676b1cbc-766c-4616-bf39-1787ffd8c72a","dink","1","27.142","","0.25","prefill","","","",""
"1","womens","1","1","21","Ting Chieh Wei","29e8121d-6f86-4192-b7af-ab05b77b89fe","speed-up","1","28.478","","0.25","prefill","","","",""
