rally_cum,game,track,player_uuid,margin,n_dets,side
3,1,19,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.216,35,1
3,1,20,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.043,35,0
3,1,21,fec65f7e-f2c8-482f-ab5b-541cf53b1064,2.335,35,0
5,1,0,fc05556e-3e38-4a38-99c2-f855174a7c28,2.05,168,1
5,1,1,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.252,176,1
5,1,2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.459,198,0
5,1,3,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.329,232,0
5,1,13,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.412,11,1
11,1,0,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.837,8,0
11,1,1,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.413,8,1
11,1,2,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.179,8,0
11,1,3,fc05556e-3e38-4a38-99c2-f855174a7c28,1.859,8,1
19,1,11,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.481,135,0
19,1,12,fc05556e-3e38-4a38-99c2-f855174a7c28,1.681,108,1
19,1,13,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.479,135,1
19,1,14,79a11da1-6aeb-4719-9b1e-9918e0163cec,3.28,133,0
21,1,0,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.673,12,1
21,1,1,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.234,9,0
21,1,2,fc05556e-3e38-4a38-99c2-f855174a7c28,1.795,12,1
21,1,11,fec65f7e-f2c8-482f-ab5b-541cf53b1064,2.992,12,0
21,1,12,fc05556e-3e38-4a38-99c2-f855174a7c28,2.09,12,1
21,1,13,db5eef5c-99dd-49d9-bbfc-65171a366bda,1.517,12,1
21,1,14,79a11da1-6aeb-4719-9b1e-9918e0163cec,2.276,11,0
23,1,0,fec65f7e-f2c8-482f-ab5b-541cf53b1064,3.31,102,0
23,1,1,fc05556e-3e38-4a38-99c2-f855174a7c28,2.359,101,1
23,1,2,db5eef5c-99dd-49d9-bbfc-65171a366bda,2.518,102,1
