rally_cum,team,swap,unanimity,n
1,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
2,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
4,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
6,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
7,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
9,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
16,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
18,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
20,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,9
24,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
33,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,0.90,10
37,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,9
39,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,9
42,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,6
50,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,0.90,10
51,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
53,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
54,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
55,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
58,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
59,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
60,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
63,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,0.89,9
65,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
67,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
69,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
70,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,8
71,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,8
73,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
77,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
79,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
80,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
81,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
82,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
84,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,7
85,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
86,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
87,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
88,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
89,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
92,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
93,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
94,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
95,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,10
97,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,0.89,9
98,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
99,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
100,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
101,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
102,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,8
104,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,9
107,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
110,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,5
112,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
113,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,5
114,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,9
116,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,1,1.00,6
118,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
120,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,10
124,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,6
126,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,8
131,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,5
140,79a11da1-6aeb-4719-9b1e-9918e0163cec|fec65f7e-f2c8-482f-ab5b-541cf53b1064,0,1.00,9
1,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
2,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
4,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,7
6,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,1.00,10
7,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,1,1.00,10
9,db5eef5c-99dd-49d9-bbfc-65171a366bda|fc05556e-3e38-4a38-99c2-f855174a7c28,0,0.90,10
