rally_cum,track,t0,t1,uuid,action,frac,n
16,4,518.50,526.80,fc05556e-3e38-4a38-99c2-f855174a7c28,rebind,0.91,11
16,2,518.50,526.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rebind,1.00,16
39,8,1200.50,1205.50,db5eef5c-99dd-49d9-bbfc-65171a366bda,rebind,1.00,15
39,10,1200.50,1205.50,fc05556e-3e38-4a38-99c2-f855174a7c28,rebind,1.00,13
50,9,1367.00,1390.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,18
50,12,1367.00,1390.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,5
54,8,1439.00,1458.20,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,0.97,32
59,10,1583.50,1608.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,48
65,9,1716.50,1727.20,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,31
67,7,1751.00,1759.20,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,0.93,14
77,8,2025.50,2033.80,fc05556e-3e38-4a38-99c2-f855174a7c28,rescue,1.00,5
81,7,2125.50,2137.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,32
84,11,2180.00,2199.00,fc05556e-3e38-4a38-99c2-f855174a7c28,rescue,1.00,5
84,14,2180.00,2199.00,fc05556e-3e38-4a38-99c2-f855174a7c28,rescue,1.00,6
87,23,2328.50,2354.80,fec65f7e-f2c8-482f-ab5b-541cf53b1064,rescue,1.00,8
87,24,2328.50,2354.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,0.88,8
87,25,2328.50,2354.80,79a11da1-6aeb-4719-9b1e-9918e0163cec,rescue,0.88,8
92,3,2469.50,2477.50,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,33
94,5,2494.00,2504.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,18
95,0,2521.00,2527.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,21
98,6,2516.50,2522.20,fc05556e-3e38-4a38-99c2-f855174a7c28,rescue,1.00,6
98,3,2516.50,2522.20,fc05556e-3e38-4a38-99c2-f855174a7c28,rescue,1.00,9
104,7,2724.00,2743.80,db5eef5c-99dd-49d9-bbfc-65171a366bda,rescue,1.00,14
