rally_cum,game,division,split
1,1,womens,train
2,1,womens,train
3,1,womens,train
4,1,womens,train
5,1,womens,train
6,1,womens,train
7,1,womens,train
8,1,womens,train
9,1,womens,train
10,1,womens,train
11,1,womens,train
12,1,womens,train
13,1,womens,train
14,1,womens,train
15,1,womens,train
16,1,womens,train
17,1,womens,train
18,1,womens,train
19,1,womens,train
20,1,womens,train
21,1,womens,train
22,1,womens,holdout
23,1,womens,holdout
24,1,womens,holdout
25,1,womens,holdout
26,1,womens,holdout
27,1,womens,holdout
28,1,womens,holdout
29,1,womens,holdout
30,1,womens,holdout
31,1,womens,holdout
32,1,womens,holdout
33,1,womens,holdout
34,1,womens,holdout
35,2,mens,train
36,2,mens,train
37,2,mens,train
38,2,mens,train
39,2,mens,train
40,2,mens,train
41,2,mens,train
42,2,mens,train
43,2,mens,train
44,2,mens,train
45,2,mens,train
46,2,mens,train
47,2,mens,train
48,2,mens,train
49,2,mens,train
50,2,mens,train
51,2,mens,train
52,2,mens,train
53,2,mens,train
54,2,mens,train
55,2,mens,holdout
56,2,mens,holdout
57,2,mens,holdout
58,2,mens,holdout
59,2,mens,holdout
60,2,mens,holdout
61,2,mens,holdout
62,2,mens,holdout
63,2,mens,holdout
64,2,mens,holdout
65,2,mens,holdout
66,2,mens,holdout
67,2,mens,holdout
68,3,mixed,train
69,3,mixed,train
70,3,mixed,train
71,3,mixed,train
72,3,mixed,train
73,3,mixed,train
74,3,mixed,train
75,3,mixed,train
76,3,mixed,train
77,3,mixed,train
78,3,mixed,train
79,3,mixed,train
80,3,mixed,train
81,3,mixed,train
82,3,mixed,train
83,3,mixed,train
84,3,mixed,train
85,3,mixed,train
86,3,mixed,train
87,3,mixed,train
88,3,mixed,train
89,3,mixed,train
90,3,mixed,train
91,3,mixed,train
92,3,mixed,train
93,3,mixed,train
94,3,mixed,train
95,3,mixed,train
96,3,mixed,train
97,3,mixed,train
98,3,mixed,train
99,3,mixed,train
100,3,mixed,train
101,3,mixed,train
102,3,mixed,train
103,3,mixed,train
104,3,mixed,train
105,3,mixed,train
106,3,mixed,train
107,3,mixed,train
108,3,mixed,train
109,3,mixed,train
110,3,mixed,train
111,3,mixed,train
112,3,mixed,train
113,3,mixed,holdout
114,3,mixed,holdout
115,3,mixed,holdout
116,3,mixed,holdout
117,3,mixed,holdout
118,3,mixed,holdout
119,3,mixed,holdout
120,3,mixed,holdout
121,3,mixed,holdout
122,3,mixed,holdout
123,3,mixed,holdout
124,3,mixed,holdout
125,3,mixed,holdout
126,3,mixed,holdout
127,3,mixed,holdout
128,3,mixed,holdout
129,3,mixed,holdout
130,3,mixed,holdout
131,3,mixed,holdout
132,3,mixed,holdout
133,3,mixed,holdout
134,3,mixed,holdout
135,3,mixed,holdout
136,3,mixed,holdout
137,3,mixed,holdout
138,3,mixed,holdout
139,3,mixed,holdout
140,3,mixed,holdout
141,3,mixed,holdout
142,3,mixed,holdout
143,4,mixed,train
144,4,mixed,train
145,4,mixed,train
146,4,mixed,train
147,4,mixed,train
148,4,mixed,train
149,4,mixed,train
150,4,mixed,train
151,4,mixed,train
152,4,mixed,train
153,4,mixed,train
154,4,mixed,train
155,4,mixed,train
156,4,mixed,train
157,4,mixed,train
158,4,mixed,train
159,4,mixed,train
160,4,mixed,train
161,4,mixed,train
162,4,mixed,train
163,4,mixed,train
164,4,mixed,train
165,4,mixed,train
166,4,mixed,train
167,4,mixed,train
168,4,mixed,train
169,4,mixed,train
170,4,mixed,train
171,4,mixed,train
172,4,mixed,train
173,4,mixed,train
174,4,mixed,holdout
175,4,mixed,holdout
176,4,mixed,holdout
177,4,mixed,holdout
178,4,mixed,holdout
179,4,mixed,holdout
180,4,mixed,holdout
181,4,mixed,holdout
182,4,mixed,holdout
183,4,mixed,holdout
184,4,mixed,holdout
185,4,mixed,holdout
186,4,mixed,holdout
187,4,mixed,holdout
188,4,mixed,holdout
189,4,mixed,holdout
190,4,mixed,holdout
191,4,mixed,holdout
192,4,mixed,holdout
193,4,mixed,holdout
