rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
1,1,2026-07-25T18:15:33+00:00,2026-07-25T18:16:16+00:00,sideout,0-0-2,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da,efe9989b-5864-48c2-806c-06697024e1da,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,676b1cbc-766c-4616-bf39-1787ffd8c72a,R,A
2,1,2026-07-25T18:16:16+00:00,2026-07-25T18:16:34+00:00,second,0-0-1,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,676b1cbc-766c-4616-bf39-1787ffd8c72a,R,B
3,1,2026-07-25T18:16:34+00:00,2026-07-25T18:17:01+00:00,point,0-0-2,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe,29e8121d-6f86-4192-b7af-ab05b77b89fe,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,676b1cbc-766c-4616-bf39-1787ffd8c72a,L,B
4,1,2026-07-25T18:17:02+00:00,2026-07-25T18:17:27+00:00,point,1-0-2,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,R,B
5,1,2026-07-25T18:17:28+00:00,2026-07-25T18:17:56+00:00,point,2-0-2,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe,29e8121d-6f86-4192-b7af-ab05b77b89fe,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,676b1cbc-766c-4616-bf39-1787ffd8c72a,L,B
6,1,2026-07-25T18:17:57+00:00,2026-07-25T18:18:16+00:00,sideout,3-0-2,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,R,B
7,1,2026-07-25T18:18:17+00:00,2026-07-25T18:18:38+00:00,point,0-3-1,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,676b1cbc-766c-4616-bf39-1787ffd8c72a,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,R,A
8,1,2026-07-25T18:18:40+00:00,2026-07-25T18:19:00+00:00,point,1-3-1,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da,efe9989b-5864-48c2-806c-06697024e1da,1,1,29e8121d-6f86-4192-b7af-ab05b77b89fe,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,L,A
9,1,2026-07-25T18:19:01+00:00,2026-07-25T18:19:18+00:00,second,2-3-1,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,676b1cbc-766c-4616-bf39-1787ffd8c72a,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,R,A
10,1,2026-07-25T18:19:18+00:00,2026-07-25T18:19:42+00:00,sideout,2-3-2,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,efe9989b-5864-48c2-806c-06697024e1da,1,1,ab6386c6-c7e3-422f-9134-e20e92725ee5,29e8121d-6f86-4192-b7af-ab05b77b89fe,676b1cbc-766c-4616-bf39-1787ffd8c72a,efe9989b-5864-48c2-806c-06697024e1da,L,A
