rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
1,1,2026-07-12T19:05:20+00:00,2026-07-12T19:05:37+00:00,sideout,0-0-2,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
2,1,2026-07-12T19:05:39+00:00,2026-07-12T19:05:50+00:00,point,0-0-1,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
3,1,2026-07-12T19:05:50+00:00,2026-07-12T19:06:04+00:00,second,1-0-1,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,B
4,1,2026-07-12T19:06:05+00:00,2026-07-12T19:06:27+00:00,point,1-0-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
5,1,2026-07-12T19:06:28+00:00,2026-07-12T19:06:45+00:00,point,2-0-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
6,1,2026-07-12T19:06:46+00:00,2026-07-12T19:07:10+00:00,sideout,3-0-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
7,1,2026-07-12T19:07:22+00:00,2026-07-12T19:07:36+00:00,second,0-3-1,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
8,1,2026-07-12T19:07:38+00:00,2026-07-12T19:08:05+00:00,sideout,0-3-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
9,1,2026-07-12T19:08:10+00:00,2026-07-12T19:08:26+00:00,second,3-0-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
10,1,2026-07-12T19:08:27+00:00,2026-07-12T19:08:40+00:00,sideout,3-0-2,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,B
11,1,2026-07-12T19:08:43+00:00,2026-07-12T19:08:56+00:00,point,0-3-1,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
12,1,2026-07-12T19:08:57+00:00,2026-07-12T19:09:23+00:00,point,1-3-1,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
13,1,2026-07-12T19:09:24+00:00,2026-07-12T19:09:41+00:00,second,2-3-1,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
14,1,2026-07-12T19:09:43+00:00,2026-07-12T19:10:02+00:00,sideout,2-3-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
15,1,2026-07-12T19:10:08+00:00,2026-07-12T19:10:30+00:00,point,3-2-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
16,1,2026-07-12T19:10:33+00:00,2026-07-12T19:11:00+00:00,second,4-2-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
17,1,2026-07-12T19:11:06+00:00,2026-07-12T19:11:20+00:00,point,4-2-2,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
