rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
1,1,2026-08-02T16:05:24+00:00,2026-08-02T16:05:50+00:00,sideout,0-0-2,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
2,1,2026-08-02T16:05:52+00:00,2026-08-02T16:06:52+00:00,second,0-0-1,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
3,1,2026-08-02T16:06:57+00:00,2026-08-02T16:07:17+00:00,point,0-0-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
4,1,2026-08-02T16:07:20+00:00,2026-08-02T16:07:40+00:00,sideout,1-0-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
5,1,2026-08-02T16:07:43+00:00,2026-08-02T16:08:08+00:00,point,0-1-1,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
6,1,2026-08-02T16:08:13+00:00,2026-08-02T16:08:31+00:00,point,1-1-1,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
7,1,2026-08-02T16:08:36+00:00,2026-08-02T16:09:08+00:00,second,2-1-1,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,A
8,1,2026-08-02T16:09:11+00:00,2026-08-02T16:09:25+00:00,sideout,2-1-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,A
9,1,2026-08-02T16:09:27+00:00,2026-08-02T16:09:43+00:00,second,1-2-1,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,R,B
10,1,2026-08-02T16:09:44+00:00,2026-08-02T16:10:20+00:00,sideout,1-2-2,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,B
