rally,game,t_start,t_end,outcome,start_score,server_uuid,receiver_uuid,pred_receiver_uuid,receiver_ok,parity_ok,team_A_R,team_A_L,team_B_R,team_B_L,server_half,server_team
1,1,2026-05-25T17:38:44+00:00,2026-05-25T17:39:09+00:00,sideout,0-0-2,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
2,1,2026-05-25T17:39:13+00:00,2026-05-25T17:39:30+00:00,second,0-0-1,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
3,1,2026-05-25T17:39:30+00:00,2026-05-25T17:39:53+00:00,sideout,0-0-2,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,B
4,1,2026-05-25T17:39:57+00:00,2026-05-25T17:40:16+00:00,point,0-0-1,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
5,1,2026-05-25T17:40:19+00:00,2026-05-25T17:40:36+00:00,second,1-0-1,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,A
6,1,2026-05-25T17:40:41+00:00,2026-05-25T17:40:49+00:00,point,1-0-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
7,1,2026-05-25T17:40:51+00:00,2026-05-25T17:41:06+00:00,point,2-0-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda,db5eef5c-99dd-49d9-bbfc-65171a366bda,1,1,b51ea0fb-c243-4427-85f8-b798febb51ff,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,L,A
8,1,2026-05-25T17:41:09+00:00,2026-05-25T17:41:30+00:00,sideout,3-0-2,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4,3af01041-5679-400a-87b8-12c01db8cec4,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,A
9,1,2026-05-25T17:41:33+00:00,2026-05-25T17:41:51+00:00,point,0-3-1,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4,db5eef5c-99dd-49d9-bbfc-65171a366bda,R,B
10,1,2026-05-25T17:41:54+00:00,2026-05-25T17:42:22+00:00,point,1-3-1,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff,b51ea0fb-c243-4427-85f8-b798febb51ff,1,1,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda,3af01041-5679-400a-87b8-12c01db8cec4,L,B
