t_s,player,x_ft,y_ft
8.743,Emma Nelson,3.84,-4.26
8.743,Etta Tuionetoa,6.14,31.12
8.743,Ting Chieh Wei,13.24,-5.27
8.793,Emma Nelson,3.79,-4.23
8.793,Etta Tuionetoa,6.15,31.08
8.793,Ting Chieh Wei,13.25,-5.27
8.843,Emma Nelson,3.78,-4.19
8.843,Etta Tuionetoa,6.16,31.03
8.843,Ting Chieh Wei,13.25,-5.27
8.893,Emma Nelson,3.76,-4.14
8.893,Etta Tuionetoa,6.17,30.96
8.893,Ting Chieh Wei,13.25,-5.28
8.943,Emma Nelson,3.68,-3.98
8.943,Etta Tuionetoa,6.18,30.9
8.943,Ting Chieh Wei,13.26,-5.28
8.993,Emma Nelson,3.59,-3.88
8.993,Etta Tuionetoa,6.2,30.82
8.993,Ting Chieh Wei,13.26,-5.29
9.043,Emma Nelson,3.51,-3.73
9.043,Etta Tuionetoa,6.21,30.7
9.043,Ting Chieh Wei,13.26,-5.29
9.093,Emma Nelson,3.48,-3.66
9.093,Etta Tuionetoa,6.21,30.67
9.093,Ting Chieh Wei,13.26,-5.31
9.143,Emma Nelson,3.46,-3.61
9.143,Etta Tuionetoa,6.21,30.65
9.143,Ting Chieh Wei,13.26,-5.33
9.193,Emma Nelson,3.44,-3.58
9.193,Etta Tuionetoa,6.21,30.64
9.193,Ting Chieh Wei,13.26,-5.34
9.243,Emma Nelson,3.44,-3.56
9.243,Etta Tuionetoa,6.21,30.63
9.243,Ting Chieh Wei,13.26,-5.34
9.293,Emma Nelson,3.44,-3.56
9.293,Etta Tuionetoa,6.2,30.62
9.293,Ting Chieh Wei,13.26,-5.34
9.343,Emma Nelson,3.44,-3.55
9.343,Etta Tuionetoa,6.19,30.61
9.343,Ting Chieh Wei,13.26,-5.34
9.393,Emma Nelson,3.44,-3.53
9.393,Etta Tuionetoa,6.16,30.6
9.393,Ting Chieh Wei,13.26,-5.34
9.443,Emma Nelson,3.44,-3.53
9.443,Etta Tuionetoa,6.16,30.59
9.443,Ting Chieh Wei,13.26,-5.34
9.493,Emma Nelson,3.44,-3.53
9.493,Etta Tuionetoa,6.16,30.58
9.493,Ting Chieh Wei,13.26,-5.34
9.543,Emma Nelson,3.44,-3.53
9.543,Etta Tuionetoa,6.15,30.54
9.543,Ting Chieh Wei,13.26,-5.34
9.593,Emma Nelson,3.44,-3.53
9.593,Etta Tuionetoa,6.14,30.5
9.593,Ting Chieh Wei,13.26,-5.34
9.643,Emma Nelson,3.44,-3.53
9.643,Etta Tuionetoa,6.12,30.45
9.643,Ting Chieh Wei,13.26,-5.34
9.693,Emma Nelson,3.44,-3.53
9.693,Etta Tuionetoa,6.11,30.43
9.693,Ting Chieh Wei,13.26,-5.34
9.743,Emma Nelson,3.44,-3.55
9.743,Etta Tuionetoa,6.08,30.43
9.743,Ting Chieh Wei,13.27,-5.34
9.793,Emma Nelson,3.44,-3.57
9.793,Etta Tuionetoa,6.05,30.43
9.793,Ting Chieh Wei,13.28,-5.35
9.843,Emma Nelson,3.45,-3.57
9.843,Etta Tuionetoa,6.01,30.43
9.843,Ting Chieh Wei,13.28,-5.37
9.893,Emma Nelson,3.45,-3.57
9.893,Etta Tuionetoa,5.96,30.43
9.893,Ting Chieh Wei,13.28,-5.38
9.943,Emma Nelson,3.45,-3.58
9.943,Etta Tuionetoa,5.92,30.43
9.943,Ting Chieh Wei,13.28,-5.41
9.993,Emma Nelson,3.47,-3.59
9.993,Etta Tuionetoa,5.91,30.46
9.993,Ting Chieh Wei,13.28,-5.41
10.043,Emma Nelson,3.47,-3.59
10.043,Etta Tuionetoa,5.9,30.49
10.043,Ting Chieh Wei,13.28,-5.41
10.093,Emma Nelson,3.47,-3.59
10.093,Etta Tuionetoa,5.9,30.53
10.093,Ting Chieh Wei,13.28,-5.41
10.143,Emma Nelson,3.47,-3.59
10.143,Etta Tuionetoa,5.9,30.55
10.143,Ting Chieh Wei,13.28,-5.41
10.193,Emma Nelson,3.47,-3.58
10.193,Etta Tuionetoa,5.9,30.59
10.193,Ting Chieh Wei,13.29,-5.4
10.243,Emma Nelson,3.45,-3.57
10.243,Etta Tuionetoa,5.9,30.59
10.243,Ting Chieh Wei,13.29,-5.36
10.293,Emma Nelson,3.35,-3.54
10.293,Etta Tuionetoa,5.9,30.59
10.293,Ting Chieh Wei,13.29,-5.36
10.343,Emma Nelson,3.24,-3.37
10.343,Etta Tuionetoa,5.9,30.59
10.343,Ting Chieh Wei,13.29,-5.36
10.393,Emma Nelson,3.14,-3.23
10.393,Etta Tuionetoa,5.9,30.59
10.393,Ting Chieh Wei,13.28,-5.36
10.443,Emma Nelson,3.02,-3.18
10.443,Etta Tuionetoa,5.9,30.59
10.443,Ting Chieh Wei,13.28,-5.35
10.493,Emma Nelson,2.95,-3.18
10.493,Etta Tuionetoa,5.89,30.56
10.493,Ting Chieh Wei,13.27,-5.33
10.543,Emma Nelson,2.94,-3.18
10.543,Etta Tuionetoa,5.88,30.55
10.543,Ting Chieh Wei,13.25,-5.32
10.593,Emma Nelson,2.94,-3.18
10.593,Etta Tuionetoa,5.88,30.54
10.593,Ting Chieh Wei,13.24,-5.32
10.643,Emma Nelson,2.94,-3.19
10.643,Etta Tuionetoa,5.88,30.53
10.643,Ting Chieh Wei,13.21,-5.29
10.693,Emma Nelson,2.94,-3.19
10.693,Etta Tuionetoa,5.88,30.53
10.693,Ting Chieh Wei,13.19,-4.96
10.743,Emma Nelson,2.94,-3.44
10.743,Etta Tuionetoa,5.88,30.53
10.743,Ting Chieh Wei,13.15,-4.59
10.793,Emma Nelson,2.95,-3.7
10.793,Etta Tuionetoa,5.88,30.53
10.793,Ting Chieh Wei,13.15,-4.22
10.843,Emma Nelson,2.97,-3.97
10.843,Etta Tuionetoa,5.88,30.53
10.843,Ting Chieh Wei,13.15,-4.19
10.893,Emma Nelson,3.01,-4.12
10.893,Etta Tuionetoa,5.88,30.53
10.893,Ting Chieh Wei,13.15,-4.15
10.943,Emma Nelson,3.03,-4.14
10.943,Etta Tuionetoa,5.88,30.53
10.943,Ting Chieh Wei,13.15,-4.09
10.993,Emma Nelson,3.05,-4.2
10.993,Etta Tuionetoa,5.88,30.53
10.993,Ting Chieh Wei,13.15,-4.04
11.043,Emma Nelson,3.1,-4.23
11.043,Etta Tuionetoa,5.88,30.54
11.043,Ting Chieh Wei,13.21,-3.97
11.093,Emma Nelson,3.23,-4.33
11.093,Etta Tuionetoa,5.88,30.54
11.093,Ting Chieh Wei,13.26,-3.87
11.143,Emma Nelson,3.36,-4.59
11.143,Etta Tuionetoa,5.89,30.54
11.143,Ting Chieh Wei,13.31,-3.63
11.193,Emma Nelson,3.55,-4.85
11.193,Etta Tuionetoa,5.89,30.54
11.193,Ting Chieh Wei,13.32,-3.57
11.243,Emma Nelson,3.73,-5.0
11.243,Etta Tuionetoa,5.89,30.54
11.243,Ting Chieh Wei,13.32,-3.57
11.293,Emma Nelson,3.84,-5.05
11.293,Etta Tuionetoa,5.89,30.54
11.293,Ting Chieh Wei,13.32,-3.57
11.343,Emma Nelson,3.93,-5.14
11.343,Etta Tuionetoa,5.89,30.54
11.343,Ting Chieh Wei,13.32,-3.57
11.393,Emma Nelson,4.01,-5.14
11.393,Etta Tuionetoa,5.89,30.53
11.393,Ting Chieh Wei,13.32,-3.57
11.443,Emma Nelson,4.11,-5.14
11.443,Etta Tuionetoa,5.89,30.52
11.443,Ting Chieh Wei,13.29,-3.73
11.493,Emma Nelson,4.23,-5.1
11.493,Etta Tuionetoa,5.89,30.5
11.493,Ting Chieh Wei,13.23,-3.74
11.543,Allyce Jones,22.14,46.26
11.543,Emma Nelson,4.39,-5.03
11.543,Etta Tuionetoa,5.89,30.49
11.543,Ting Chieh Wei,13.14,-3.76
11.593,Allyce Jones,22.2,46.02
11.593,Emma Nelson,4.56,-4.95
11.593,Etta Tuionetoa,5.89,30.48
11.593,Ting Chieh Wei,13.07,-3.84
11.643,Allyce Jones,22.23,45.81
11.643,Emma Nelson,4.69,-4.55
11.643,Etta Tuionetoa,5.89,30.48
11.643,Ting Chieh Wei,13.03,-3.87
11.693,Allyce Jones,22.21,45.47
11.693,Emma Nelson,4.73,-4.34
11.693,Etta Tuionetoa,5.89,30.48
11.693,Ting Chieh Wei,13.02,-3.89
11.743,Allyce Jones,22.2,45.17
11.743,Emma Nelson,4.74,-4.3
11.743,Etta Tuionetoa,5.89,30.48
11.743,Ting Chieh Wei,13.0,-3.89
11.793,Allyce Jones,22.18,44.79
