rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,2026-05-31T17:50:57+00:00,2026-05-31T17:51:12+00:00,15.0,6.0,15.0,0-0-2,1-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
2,1,2026-05-31T17:51:18+00:00,2026-05-31T17:51:43+00:00,25.0,4.0,25.0,1-0-2,2-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
3,1,2026-05-31T17:51:47+00:00,2026-05-31T17:52:06+00:00,19.0,5.0,19.0,2-0-2,3-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
4,1,2026-05-31T17:52:11+00:00,2026-05-31T17:52:27+00:00,16.0,52.0,16.0,3-0-2,4-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
5,1,2026-05-31T17:53:19+00:00,2026-05-31T17:53:30+00:00,11.0,6.0,11.0,4-0-2,5-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
6,1,2026-05-31T17:53:36+00:00,2026-05-31T17:53:54+00:00,18.0,73.0,18.0,5-0-2,6-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
7,1,2026-05-31T17:55:07+00:00,2026-05-31T17:55:26+00:00,19.0,4.0,19.0,6-0-2,7-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
8,1,2026-05-31T17:55:30+00:00,2026-05-31T17:56:02+00:00,32.0,6.0,32.0,7-0-2,8-0-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
9,1,2026-05-31T17:56:08+00:00,2026-05-31T17:56:26+00:00,18.0,3.0,18.0,8-0-2,0-8-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
10,1,2026-05-31T17:56:29+00:00,2026-05-31T17:57:01+00:00,32.0,5.0,32.0,0-8-1,0-8-2,second,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
