rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,2026-07-12T19:05:20+00:00,2026-07-12T19:05:37+00:00,17.0,2.0,17.0,0-0-2,0-0-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
2,1,2026-07-12T19:05:39+00:00,2026-07-12T19:05:50+00:00,11.0,0.0,11.0,0-0-1,1-0-1,point,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
3,1,2026-07-12T19:05:50+00:00,2026-07-12T19:06:04+00:00,14.0,1.0,14.0,1-0-1,1-0-2,second,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
4,1,2026-07-12T19:06:05+00:00,2026-07-12T19:06:27+00:00,22.0,1.0,22.0,1-0-2,2-0-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
5,1,2026-07-12T19:06:28+00:00,2026-07-12T19:06:45+00:00,17.0,1.0,17.0,2-0-2,3-0-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
6,1,2026-07-12T19:06:46+00:00,2026-07-12T19:07:10+00:00,24.0,12.0,24.0,3-0-2,0-3-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
7,1,2026-07-12T19:07:22+00:00,2026-07-12T19:07:36+00:00,14.0,2.0,14.0,0-3-1,0-3-2,second,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
8,1,2026-07-12T19:07:38+00:00,2026-07-12T19:08:05+00:00,27.0,5.0,27.0,0-3-2,3-0-1,sideout,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
9,1,2026-07-12T19:08:10+00:00,2026-07-12T19:08:26+00:00,16.0,1.0,16.0,3-0-1,3-0-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
10,1,2026-07-12T19:08:27+00:00,2026-07-12T19:08:40+00:00,13.0,3.0,13.0,3-0-2,0-3-1,sideout,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
11,1,2026-07-12T19:08:43+00:00,2026-07-12T19:08:56+00:00,13.0,1.0,13.0,0-3-1,1-3-1,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
12,1,2026-07-12T19:08:57+00:00,2026-07-12T19:09:23+00:00,26.0,1.0,26.0,1-3-1,2-3-1,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
13,1,2026-07-12T19:09:24+00:00,2026-07-12T19:09:41+00:00,17.0,2.0,17.0,2-3-1,2-3-2,second,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
14,1,2026-07-12T19:09:43+00:00,2026-07-12T19:10:02+00:00,19.0,6.0,19.0,2-3-2,3-2-1,sideout,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
15,1,2026-07-12T19:10:08+00:00,2026-07-12T19:10:30+00:00,22.0,3.0,22.0,3-2-1,4-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
16,1,2026-07-12T19:10:33+00:00,2026-07-12T19:11:00+00:00,27.0,6.0,27.0,4-2-1,4-2-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
17,1,2026-07-12T19:11:06+00:00,2026-07-12T19:11:20+00:00,14.0,1.0,14.0,4-2-2,5-2-2,point,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
18,1,2026-07-12T19:11:21+00:00,2026-07-12T19:11:51+00:00,30.0,235.0,30.0,5-2-2,6-2-2,point,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
19,1,2026-07-12T19:15:46+00:00,2026-07-12T19:16:32+00:00,46.0,4.0,46.0,6-2-2,7-2-2,point,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
20,1,2026-07-12T19:16:36+00:00,2026-07-12T19:17:19+00:00,43.0,3.0,43.0,7-2-2,2-7-1,sideout,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
