rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,2026-07-08T17:43:55+00:00,2026-07-08T17:44:20+00:00,25.0,0.0,25.0,0-0-2,1-0-2,point,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
2,1,2026-07-08T17:44:20+00:00,2026-07-08T17:44:41+00:00,21.0,1.0,21.0,1-0-2,0-1-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
3,1,2026-07-08T17:44:42+00:00,2026-07-08T17:44:59+00:00,17.0,2.0,17.0,0-1-1,1-1-1,point,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
4,1,2026-07-08T17:45:01+00:00,2026-07-08T17:45:13+00:00,12.0,2.0,12.0,1-1-1,1-1-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
5,1,2026-07-08T17:45:15+00:00,2026-07-08T17:45:32+00:00,17.0,1.0,17.0,1-1-2,1-1-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
6,1,2026-07-08T17:45:33+00:00,2026-07-08T17:45:52+00:00,19.0,1.0,19.0,1-1-1,1-1-2,second,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
7,1,2026-07-08T17:45:53+00:00,2026-07-08T17:46:12+00:00,19.0,1.0,19.0,1-1-2,1-1-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
8,1,2026-07-08T17:46:13+00:00,2026-07-08T17:46:29+00:00,16.0,1.0,16.0,1-1-1,1-1-2,second,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
9,1,2026-07-08T17:46:30+00:00,2026-07-08T17:46:41+00:00,11.0,1.0,11.0,1-1-2,1-1-1,sideout,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
10,1,2026-07-08T17:46:42+00:00,2026-07-08T17:46:59+00:00,17.0,1.0,17.0,1-1-1,1-1-2,second,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
11,1,2026-07-08T17:47:00+00:00,2026-07-08T17:47:13+00:00,13.0,1.0,13.0,1-1-2,1-1-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
12,1,2026-07-08T17:47:14+00:00,2026-07-08T17:47:37+00:00,23.0,1.0,23.0,1-1-1,1-1-2,second,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
13,1,2026-07-08T17:47:38+00:00,2026-07-08T17:48:04+00:00,26.0,2.0,26.0,1-1-2,2-1-2,point,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
14,1,2026-07-08T17:48:06+00:00,2026-07-08T17:49:19+00:00,73.0,1.0,73.0,2-1-2,1-2-1,sideout,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
15,1,2026-07-08T17:49:20+00:00,2026-07-08T17:49:37+00:00,17.0,3.0,17.0,1-2-1,2-2-1,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
16,1,2026-07-08T17:49:40+00:00,2026-07-08T17:50:00+00:00,20.0,0.0,20.0,2-2-1,2-2-2,second,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
17,1,2026-07-08T17:50:00+00:00,2026-07-08T17:50:17+00:00,17.0,1.0,17.0,2-2-2,2-2-1,sideout,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
18,1,2026-07-08T17:50:18+00:00,2026-07-08T17:50:47+00:00,29.0,4.0,29.0,2-2-1,3-2-1,point,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
19,1,2026-07-08T17:50:51+00:00,2026-07-08T17:51:09+00:00,18.0,2.0,18.0,3-2-1,3-2-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
20,1,2026-07-08T17:51:11+00:00,2026-07-08T17:51:34+00:00,23.0,2.0,23.0,3-2-2,2-3-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
21,1,2026-07-08T17:51:36+00:00,2026-07-08T17:51:58+00:00,22.0,1.0,22.0,2-3-1,2-3-2,second,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
22,1,2026-07-08T17:51:59+00:00,2026-07-08T17:52:10+00:00,11.0,2.0,11.0,2-3-2,3-3-2,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
23,1,2026-07-08T17:52:12+00:00,2026-07-08T17:52:23+00:00,11.0,2.0,11.0,3-3-2,4-3-2,point,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
24,1,2026-07-08T17:52:25+00:00,2026-07-08T17:52:39+00:00,14.0,1.0,14.0,4-3-2,3-4-1,sideout,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
25,1,2026-07-08T17:52:40+00:00,2026-07-08T17:53:03+00:00,23.0,2.0,23.0,3-4-1,4-4-1,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
26,1,2026-07-08T17:53:05+00:00,2026-07-08T17:53:28+00:00,23.0,2.0,23.0,4-4-1,4-4-2,second,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
27,1,2026-07-08T17:53:30+00:00,2026-07-08T17:53:54+00:00,24.0,1.0,24.0,4-4-2,4-4-1,sideout,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
28,1,2026-07-08T17:53:55+00:00,2026-07-08T17:54:12+00:00,17.0,1.0,17.0,4-4-1,4-4-2,second,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
29,1,2026-07-08T17:54:13+00:00,2026-07-08T17:54:29+00:00,16.0,1.0,16.0,4-4-2,4-4-1,sideout,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
30,1,2026-07-08T17:54:30+00:00,2026-07-08T17:54:55+00:00,25.0,3.0,25.0,4-4-1,5-4-1,point,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
31,1,2026-07-08T17:54:58+00:00,2026-07-08T17:55:14+00:00,16.0,1.0,16.0,5-4-1,5-4-2,second,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
32,1,2026-07-08T17:55:15+00:00,2026-07-08T17:55:26+00:00,11.0,1.0,11.0,5-4-2,4-5-1,sideout,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
33,1,2026-07-08T17:55:27+00:00,2026-07-08T17:55:54+00:00,27.0,21.0,27.0,4-5-1,5-5-1,point,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
34,1,2026-07-08T17:56:15+00:00,2026-07-08T17:56:16+00:00,1.0,1.0,1.0,5-5-1,5-5-2,second,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
35,1,2026-07-08T17:56:17+00:00,2026-07-08T17:56:29+00:00,12.0,1.0,12.0,5-5-2,5-5-1,sideout,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
36,1,2026-07-08T17:56:30+00:00,2026-07-08T17:56:55+00:00,25.0,151.0,25.0,5-5-1,6-5-1,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
37,1,2026-07-08T17:59:26+00:00,2026-07-08T17:59:28+00:00,2.0,3.0,2.0,6-5-1,7-5-1,point,1d701c30-6b5d-485f-ae97-60f3b0c50896,25104e43-16f9-4ce3-9085-70243d8b350a
38,1,2026-07-08T17:59:31+00:00,2026-07-08T17:59:51+00:00,20.0,1.0,20.0,7-5-1,7-5-2,second,1d701c30-6b5d-485f-ae97-60f3b0c50896,461f063e-a587-4638-bad9-421ff33d91d7
39,1,2026-07-08T17:59:52+00:00,2026-07-08T18:00:14+00:00,22.0,77.0,22.0,7-5-2,8-5-2,point,65bcab7c-9c93-4dc8-a847-a34da426b933,25104e43-16f9-4ce3-9085-70243d8b350a
40,1,2026-07-08T18:01:31+00:00,2026-07-08T18:01:52+00:00,21.0,0.0,21.0,8-5-2,5-8-1,sideout,65bcab7c-9c93-4dc8-a847-a34da426b933,461f063e-a587-4638-bad9-421ff33d91d7
41,1,2026-07-08T18:01:52+00:00,2026-07-08T18:02:14+00:00,22.0,1.0,22.0,5-8-1,6-8-1,point,461f063e-a587-4638-bad9-421ff33d91d7,65bcab7c-9c93-4dc8-a847-a34da426b933
42,1,2026-07-08T18:02:15+00:00,2026-07-08T18:02:37+00:00,22.0,1.0,22.0,6-8-1,6-8-2,second,461f063e-a587-4638-bad9-421ff33d91d7,1d701c30-6b5d-485f-ae97-60f3b0c50896
43,1,2026-07-08T18:02:38+00:00,2026-07-08T18:03:12+00:00,34.0,2.0,34.0,6-8-2,7-8-2,point,25104e43-16f9-4ce3-9085-70243d8b350a,65bcab7c-9c93-4dc8-a847-a34da426b933
44,1,2026-07-08T18:03:14+00:00,2026-07-08T18:03:35+00:00,21.0,11.0,21.0,7-8-2,8-8-2,point,25104e43-16f9-4ce3-9085-70243d8b350a,1d701c30-6b5d-485f-ae97-60f3b0c50896
