rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,2026-08-02T16:05:24+00:00,2026-08-02T16:05:50+00:00,26.0,2.0,26.0,0-0-2,0-0-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
2,1,2026-08-02T16:05:52+00:00,2026-08-02T16:06:52+00:00,60.0,5.0,60.0,0-0-1,0-0-2,second,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
3,1,2026-08-02T16:06:57+00:00,2026-08-02T16:07:17+00:00,20.0,3.0,20.0,0-0-2,1-0-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
4,1,2026-08-02T16:07:20+00:00,2026-08-02T16:07:40+00:00,20.0,3.0,20.0,1-0-2,0-1-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
5,1,2026-08-02T16:07:43+00:00,2026-08-02T16:08:08+00:00,25.0,5.0,25.0,0-1-1,1-1-1,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
6,1,2026-08-02T16:08:13+00:00,2026-08-02T16:08:31+00:00,18.0,5.0,18.0,1-1-1,2-1-1,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
7,1,2026-08-02T16:08:36+00:00,2026-08-02T16:09:08+00:00,32.0,3.0,32.0,2-1-1,2-1-2,second,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
8,1,2026-08-02T16:09:11+00:00,2026-08-02T16:09:25+00:00,14.0,2.0,14.0,2-1-2,1-2-1,sideout,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
9,1,2026-08-02T16:09:27+00:00,2026-08-02T16:09:43+00:00,16.0,1.0,16.0,1-2-1,1-2-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
10,1,2026-08-02T16:09:44+00:00,2026-08-02T16:10:20+00:00,36.0,12.0,36.0,1-2-2,2-1-1,sideout,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
11,1,2026-08-02T16:10:32+00:00,2026-08-02T16:10:55+00:00,23.0,4.0,23.0,2-1-1,3-1-1,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
12,1,2026-08-02T16:10:59+00:00,2026-08-02T16:11:12+00:00,13.0,1.0,13.0,3-1-1,3-1-2,second,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
13,1,2026-08-02T16:11:13+00:00,2026-08-02T16:11:53+00:00,40.0,13.0,40.0,3-1-2,4-1-2,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
14,1,2026-08-02T16:12:06+00:00,2026-08-02T16:12:15+00:00,9.0,4.0,9.0,4-1-2,5-1-2,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
15,1,2026-08-02T16:12:19+00:00,2026-08-02T16:12:31+00:00,12.0,161.0,12.0,5-1-2,6-1-2,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
16,1,2026-08-02T16:15:12+00:00,2026-08-02T16:15:27+00:00,15.0,3.0,15.0,6-1-2,1-6-1,sideout,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
17,1,2026-08-02T16:15:30+00:00,2026-08-02T16:15:52+00:00,22.0,3.0,22.0,1-6-1,2-6-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
18,1,2026-08-02T16:15:55+00:00,2026-08-02T16:16:24+00:00,29.0,3.0,29.0,2-6-1,2-6-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
19,1,2026-08-02T16:16:27+00:00,2026-08-02T16:16:46+00:00,19.0,4.0,19.0,2-6-2,6-2-1,sideout,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
20,1,2026-08-02T16:16:50+00:00,2026-08-02T16:17:07+00:00,17.0,6.0,17.0,6-2-1,6-2-2,second,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
21,1,2026-08-02T16:17:13+00:00,2026-08-02T16:17:29+00:00,16.0,8.0,16.0,6-2-2,7-2-2,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
22,1,2026-08-02T16:17:37+00:00,2026-08-02T16:17:54+00:00,17.0,2.0,17.0,7-2-2,2-7-1,sideout,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
23,1,2026-08-02T16:17:56+00:00,2026-08-02T16:18:22+00:00,26.0,4.0,26.0,2-7-1,3-7-1,point,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
24,1,2026-08-02T16:18:26+00:00,2026-08-02T16:18:45+00:00,19.0,2.0,19.0,3-7-1,3-7-2,second,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
25,1,2026-08-02T16:18:47+00:00,2026-08-02T16:19:26+00:00,39.0,5.0,39.0,3-7-2,4-7-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
26,1,2026-08-02T16:19:31+00:00,2026-08-02T16:19:55+00:00,24.0,8.0,24.0,4-7-2,7-4-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
27,1,2026-08-02T16:20:03+00:00,2026-08-02T16:20:26+00:00,23.0,145.0,23.0,7-4-1,8-4-1,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
28,1,2026-08-02T16:22:51+00:00,2026-08-02T16:23:29+00:00,38.0,13.0,38.0,8-4-1,9-4-1,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
29,1,2026-08-02T16:23:42+00:00,2026-08-02T16:23:56+00:00,14.0,7.0,14.0,9-4-1,9-4-2,second,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
30,1,2026-08-02T16:24:03+00:00,2026-08-02T16:24:22+00:00,19.0,8.0,19.0,9-4-2,4-9-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
31,1,2026-08-02T16:24:30+00:00,2026-08-02T16:24:50+00:00,20.0,9.0,20.0,4-9-1,5-9-1,point,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
32,1,2026-08-02T16:24:59+00:00,2026-08-02T16:25:16+00:00,17.0,4.0,17.0,5-9-1,5-9-2,second,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
