rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,2026-01-25T18:12:21+00:00,2026-01-25T18:12:51+00:00,30.0,3.0,30.0,0-0-2,0-0-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
2,1,2026-01-25T18:12:54+00:00,2026-01-25T18:13:19+00:00,25.0,3.0,25.0,0-0-1,1-0-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
3,1,2026-01-25T18:13:22+00:00,2026-01-25T18:13:49+00:00,27.0,21.0,27.0,1-0-1,1-0-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
4,1,2026-01-25T18:14:10+00:00,2026-01-25T18:14:11+00:00,1.0,19.0,1.0,1-0-2,2-0-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
5,1,2026-01-25T18:14:30+00:00,2026-01-25T18:14:30+00:00,0.0,2.0,0.0,2-0-2,0-2-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
6,1,2026-01-25T18:14:32+00:00,2026-01-25T18:14:46+00:00,14.0,4.0,14.0,0-2-1,1-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
7,1,2026-01-25T18:14:50+00:00,2026-01-25T18:15:09+00:00,19.0,1.0,19.0,1-2-1,2-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
8,1,2026-01-25T18:15:10+00:00,2026-01-25T18:15:30+00:00,20.0,3.0,20.0,2-2-1,2-2-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
9,1,2026-01-25T18:15:33+00:00,2026-01-25T18:15:45+00:00,12.0,2.0,12.0,2-2-2,3-2-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
10,1,2026-01-25T18:15:47+00:00,2026-01-25T18:15:57+00:00,10.0,5.0,10.0,3-2-2,2-3-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
11,1,2026-01-25T18:16:02+00:00,2026-01-25T18:16:05+00:00,3.0,43.0,3.0,2-3-1,2-3-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
12,1,2026-01-25T18:16:48+00:00,2026-01-25T18:16:48+00:00,0.0,0.0,0.0,2-3-1,2-3-1,sideout,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
13,1,2026-01-25T18:16:48+00:00,2026-01-25T18:16:48+00:00,0.0,13.0,0.0,2-3-1,4-3-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fec65f7e-f2c8-482f-ab5b-541cf53b1064
14,1,2026-01-25T18:17:01+00:00,2026-01-25T18:17:01+00:00,0.0,1.0,0.0,2-4-1,2-4-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
15,1,2026-01-25T18:17:02+00:00,2026-01-25T18:17:03+00:00,1.0,2.0,1.0,2-4-2,4-2-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
16,1,2026-01-25T18:17:05+00:00,2026-01-25T18:17:06+00:00,1.0,26.0,1.0,4-2-1,4-2-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
17,1,2026-01-25T18:17:32+00:00,2026-01-25T18:17:42+00:00,10.0,37.0,10.0,4-2-2,2-4-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
18,1,2026-01-25T18:18:19+00:00,2026-01-25T18:18:19+00:00,0.0,8.0,0.0,2-4-1,2-4-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
19,1,2026-01-25T18:18:27+00:00,2026-01-25T18:18:44+00:00,17.0,16.0,17.0,2-4-2,4-2-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
20,1,2026-01-25T18:19:00+00:00,2026-01-25T18:19:10+00:00,10.0,10.0,10.0,4-2-1,5-2-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
21,1,2026-01-25T18:19:20+00:00,2026-01-25T18:19:30+00:00,10.0,1.0,10.0,5-2-1,5-2-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,79a11da1-6aeb-4719-9b1e-9918e0163cec
22,1,2026-01-25T18:19:31+00:00,2026-01-25T18:19:43+00:00,12.0,6.0,12.0,5-2-2,6-2-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
23,1,2026-01-25T18:19:49+00:00,2026-01-25T18:20:01+00:00,12.0,31.0,12.0,6-2-2,2-6-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
24,1,2026-01-25T18:20:32+00:00,2026-01-25T18:20:33+00:00,1.0,3.0,1.0,2-6-1,3-6-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
25,1,2026-01-25T18:20:36+00:00,2026-01-25T18:21:03+00:00,27.0,5.0,27.0,3-6-1,4-6-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
26,1,2026-01-25T18:21:08+00:00,2026-01-25T18:21:25+00:00,17.0,4.0,17.0,4-6-1,4-6-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
27,1,2026-01-25T18:21:29+00:00,2026-01-25T18:22:00+00:00,31.0,7.0,31.0,4-6-2,5-6-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
28,1,2026-01-25T18:22:07+00:00,2026-01-25T18:22:16+00:00,9.0,91.0,9.0,5-6-2,6-6-2,point,79a11da1-6aeb-4719-9b1e-9918e0163cec,db5eef5c-99dd-49d9-bbfc-65171a366bda
29,1,2026-01-25T18:23:47+00:00,2026-01-25T18:24:02+00:00,15.0,2.0,15.0,6-6-2,6-6-1,sideout,79a11da1-6aeb-4719-9b1e-9918e0163cec,fc05556e-3e38-4a38-99c2-f855174a7c28
30,1,2026-01-25T18:24:04+00:00,2026-01-25T18:24:20+00:00,16.0,3.0,16.0,6-6-1,6-6-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,fec65f7e-f2c8-482f-ab5b-541cf53b1064
31,1,2026-01-25T18:24:23+00:00,2026-01-25T18:24:33+00:00,10.0,4.0,10.0,6-6-2,7-6-2,point,fc05556e-3e38-4a38-99c2-f855174a7c28,79a11da1-6aeb-4719-9b1e-9918e0163cec
32,1,2026-01-25T18:24:37+00:00,2026-01-25T18:24:45+00:00,8.0,5.0,8.0,7-6-2,6-7-1,sideout,fc05556e-3e38-4a38-99c2-f855174a7c28,fec65f7e-f2c8-482f-ab5b-541cf53b1064
33,1,2026-01-25T18:24:50+00:00,2026-01-25T18:25:13+00:00,23.0,9.0,23.0,6-7-1,7-7-1,point,fec65f7e-f2c8-482f-ab5b-541cf53b1064,fc05556e-3e38-4a38-99c2-f855174a7c28
34,1,2026-01-25T18:25:22+00:00,2026-01-25T18:25:37+00:00,15.0,5.0,15.0,7-7-1,7-7-2,second,fec65f7e-f2c8-482f-ab5b-541cf53b1064,db5eef5c-99dd-49d9-bbfc-65171a366bda
