rally,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,2026-05-25T17:38:44+00:00,2026-05-25T17:39:09+00:00,25.0,4.0,25.0,0-0-2,0-0-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
2,1,2026-05-25T17:39:13+00:00,2026-05-25T17:39:30+00:00,17.0,0.0,17.0,0-0-1,0-0-2,second,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
3,1,2026-05-25T17:39:30+00:00,2026-05-25T17:39:53+00:00,23.0,4.0,23.0,0-0-2,0-0-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
4,1,2026-05-25T17:39:57+00:00,2026-05-25T17:40:16+00:00,19.0,3.0,19.0,0-0-1,1-0-1,point,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
5,1,2026-05-25T17:40:19+00:00,2026-05-25T17:40:36+00:00,17.0,5.0,17.0,1-0-1,1-0-2,second,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
6,1,2026-05-25T17:40:41+00:00,2026-05-25T17:40:49+00:00,8.0,2.0,8.0,1-0-2,2-0-2,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
7,1,2026-05-25T17:40:51+00:00,2026-05-25T17:41:06+00:00,15.0,3.0,15.0,2-0-2,3-0-2,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
8,1,2026-05-25T17:41:09+00:00,2026-05-25T17:41:30+00:00,21.0,3.0,21.0,3-0-2,0-3-1,sideout,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
9,1,2026-05-25T17:41:33+00:00,2026-05-25T17:41:51+00:00,18.0,3.0,18.0,0-3-1,1-3-1,point,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
10,1,2026-05-25T17:41:54+00:00,2026-05-25T17:42:22+00:00,28.0,4.0,28.0,1-3-1,2-3-1,point,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
11,1,2026-05-25T17:42:26+00:00,2026-05-25T17:42:47+00:00,21.0,6.0,21.0,2-3-1,2-3-2,second,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
12,1,2026-05-25T17:42:53+00:00,2026-05-25T17:43:20+00:00,27.0,2.0,27.0,2-3-2,3-2-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
13,1,2026-05-25T17:43:22+00:00,2026-05-25T17:43:40+00:00,18.0,2.0,18.0,3-2-1,3-2-2,second,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
14,1,2026-05-25T17:43:42+00:00,2026-05-25T17:43:57+00:00,15.0,5.0,15.0,3-2-2,2-3-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
15,1,2026-05-25T17:44:02+00:00,2026-05-25T17:44:37+00:00,35.0,3.0,35.0,2-3-1,2-3-2,second,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
16,1,2026-05-25T17:44:40+00:00,2026-05-25T17:44:56+00:00,16.0,1.0,16.0,2-3-2,3-3-2,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
17,1,2026-05-25T17:44:57+00:00,2026-05-25T17:45:16+00:00,19.0,6.0,19.0,3-3-2,3-3-1,sideout,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
18,1,2026-05-25T17:45:22+00:00,2026-05-25T17:45:41+00:00,19.0,4.0,19.0,3-3-1,3-3-2,second,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
19,1,2026-05-25T17:45:45+00:00,2026-05-25T17:46:22+00:00,37.0,5.0,37.0,3-3-2,3-3-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
20,1,2026-05-25T17:46:27+00:00,2026-05-25T17:47:06+00:00,39.0,5.0,39.0,3-3-1,3-3-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
21,1,2026-05-25T17:47:11+00:00,2026-05-25T17:47:24+00:00,13.0,7.0,13.0,3-3-2,3-3-1,sideout,3af01041-5679-400a-87b8-12c01db8cec4,b51ea0fb-c243-4427-85f8-b798febb51ff
22,1,2026-05-25T17:47:31+00:00,2026-05-25T17:47:48+00:00,17.0,7.0,17.0,3-3-1,4-3-1,point,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,db5eef5c-99dd-49d9-bbfc-65171a366bda
23,1,2026-05-25T17:47:55+00:00,2026-05-25T17:48:14+00:00,19.0,97.0,19.0,4-3-1,4-3-2,second,129b2771-34b5-4b7f-9c23-e020a6aa3e6a,3af01041-5679-400a-87b8-12c01db8cec4
24,1,2026-05-25T17:49:51+00:00,2026-05-25T17:50:33+00:00,42.0,7.0,42.0,4-3-2,5-3-2,point,b51ea0fb-c243-4427-85f8-b798febb51ff,db5eef5c-99dd-49d9-bbfc-65171a366bda
25,1,2026-05-25T17:50:40+00:00,2026-05-25T17:51:06+00:00,26.0,5.0,26.0,5-3-2,3-5-1,sideout,b51ea0fb-c243-4427-85f8-b798febb51ff,3af01041-5679-400a-87b8-12c01db8cec4
26,1,2026-05-25T17:51:11+00:00,2026-05-25T17:51:30+00:00,19.0,3.0,19.0,3-5-1,4-5-1,point,db5eef5c-99dd-49d9-bbfc-65171a366bda,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
27,1,2026-05-25T17:51:33+00:00,2026-05-25T17:52:03+00:00,30.0,4.0,30.0,4-5-1,4-5-2,second,db5eef5c-99dd-49d9-bbfc-65171a366bda,b51ea0fb-c243-4427-85f8-b798febb51ff
28,1,2026-05-25T17:52:07+00:00,2026-05-25T17:52:25+00:00,18.0,3.0,18.0,4-5-2,5-4-1,sideout,3af01041-5679-400a-87b8-12c01db8cec4,129b2771-34b5-4b7f-9c23-e020a6aa3e6a
