rally,slot,match_id,game,t_start,t_end,duration_s,gap_after_s,lead_s,start_score,end_score,outcome,server_uuid,receiver_uuid
1,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:15:33+00:00,2026-07-25T18:16:16+00:00,43.0,0.0,43.0,0-0-2,0-0-1,sideout,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da
2,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:16:16+00:00,2026-07-25T18:16:34+00:00,18.0,0.0,18.0,0-0-1,0-0-2,second,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5
3,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:16:34+00:00,2026-07-25T18:17:01+00:00,27.0,1.0,27.0,0-0-2,1-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
4,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:17:02+00:00,2026-07-25T18:17:27+00:00,25.0,1.0,25.0,1-0-2,2-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5
5,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:17:28+00:00,2026-07-25T18:17:56+00:00,28.0,1.0,28.0,2-0-2,3-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe
6,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:17:57+00:00,2026-07-25T18:18:16+00:00,19.0,1.0,19.0,3-0-2,0-3-1,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5
7,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:18:17+00:00,2026-07-25T18:18:38+00:00,21.0,2.0,21.0,0-3-1,1-3-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a
8,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:18:40+00:00,2026-07-25T18:19:00+00:00,20.0,1.0,20.0,1-3-1,2-3-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da
9,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:19:01+00:00,2026-07-25T18:19:18+00:00,17.0,0.0,17.0,2-3-1,2-3-2,second,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a
10,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:19:18+00:00,2026-07-25T18:19:42+00:00,24.0,0.0,24.0,2-3-2,3-2-1,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da
11,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:19:42+00:00,2026-07-25T18:20:26+00:00,44.0,1.0,44.0,3-2-1,3-2-2,second,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5
12,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:20:27+00:00,2026-07-25T18:21:03+00:00,36.0,1.0,36.0,3-2-2,4-2-2,point,efe9989b-5864-48c2-806c-06697024e1da,29e8121d-6f86-4192-b7af-ab05b77b89fe
13,1,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,2026-07-25T18:21:04+00:00,2026-07-25T18:21:18+00:00,14.0,13.0,14.0,4-2-2,5-2-2,point,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5
