rally_cum,game,division,match_id,rally_in_game,t0s,t1s,dur_s,approx,start_score,outcome,server_uuid,receiver_uuid,teamA_uuids,teamB_uuids,teamA_names,teamB_names,core
1,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,-38.8,4.2,43.0,0,0-0-2,sideout,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
2,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,2,14.0,32.0,18.0,0,0-0-1,second,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,1
3,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,3,50.0,77.0,27.0,0,0-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
4,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,4,79.2,104.2,25.0,0,1-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
5,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,5,114.2,142.2,28.0,0,2-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
6,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,6,153.8,172.8,19.0,0,3-0-2,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
7,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,7,175.0,196.0,21.0,0,0-3-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
8,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,8,217.8,237.8,20.0,0,1-3-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,1
9,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,9,232.8,249.8,17.0,0,2-3-1,second,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
10,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,10,266.0,290.0,24.0,0,2-3-2,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
