rally_cum,game,division,match_id,rally_in_game,t0s,t1s,dur_s,approx,start_score,outcome,server_uuid,receiver_uuid,teamA_uuids,teamB_uuids,teamA_names,teamB_names,core
1,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,1,-55.0,-12.0,43.0,1,0-0-2,sideout,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
2,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,2,-12.0,6.0,18.0,1,0-0-1,second,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,1
3,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,3,6.0,33.0,27.0,1,0-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
4,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,4,34.0,59.0,25.0,1,1-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
5,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,5,60.0,88.0,28.0,1,2-0-2,point,676b1cbc-766c-4616-bf39-1787ffd8c72a,29e8121d-6f86-4192-b7af-ab05b77b89fe,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
6,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,6,94.0,113.0,19.0,0,3-0-2,sideout,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
7,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,7,120.0,141.0,21.0,1,0-3-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
8,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,8,140.8,160.8,20.0,1,1-3-1,point,ab6386c6-c7e3-422f-9134-e20e92725ee5,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,1
9,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,9,160.0,177.0,17.0,1,2-3-1,second,ab6386c6-c7e3-422f-9134-e20e92725ee5,676b1cbc-766c-4616-bf39-1787ffd8c72a,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
10,1,womens,0ca7efd7-9a76-4dd4-bd69-c1fddeb3050e,10,175.0,199.0,24.0,1,2-3-2,sideout,29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da,ab6386c6-c7e3-422f-9134-e20e92725ee5|29e8121d-6f86-4192-b7af-ab05b77b89fe,efe9989b-5864-48c2-806c-06697024e1da|676b1cbc-766c-4616-bf39-1787ffd8c72a,Emma Nelson|Ting Chieh Wei,Allyce Jones|Etta Tuionetoa,0
