game,division,rally_in_game,rally_cum,scrub_to,shot_index,hitter_name,shot_type,note
1,womens,2,2,0:14,1,Allyce Jones,serve,
1,womens,2,2,0:14,2,Emma Nelson,return,
1,womens,2,2,0:14,3,,,
1,womens,2,2,0:14,4,,,
1,womens,2,2,0:14,5,,,
1,womens,2,2,0:14,6,,,
1,womens,2,2,0:14,7,,,
1,womens,2,2,0:14,8,,,
1,womens,2,2,0:14,9,,,
1,womens,2,2,0:14,10,,,
1,womens,2,2,0:14,11,,,
1,womens,2,2,0:14,12,,,
1,womens,2,2,0:14,13,,,
1,womens,2,2,0:14,14,,,
1,womens,2,2,0:14,15,,,
1,womens,2,2,0:14,16,,,
1,womens,8,8,3:38,1,Emma Nelson,serve,
1,womens,8,8,3:38,2,Allyce Jones,return,
1,womens,8,8,3:38,3,,,
1,womens,8,8,3:38,4,,,
1,womens,8,8,3:38,5,,,
1,womens,8,8,3:38,6,,,
1,womens,8,8,3:38,7,,,
1,womens,8,8,3:38,8,,,
1,womens,8,8,3:38,9,,,
1,womens,8,8,3:38,10,,,
1,womens,8,8,3:38,11,,,
1,womens,8,8,3:38,12,,,
1,womens,8,8,3:38,13,,,
1,womens,8,8,3:38,14,,,
1,womens,8,8,3:38,15,,,
1,womens,8,8,3:38,16,,,
1,womens,11,11,4:34,1,Etta Tuionetoa,serve,
1,womens,11,11,4:34,2,Emma Nelson,return,
1,womens,11,11,4:34,3,,,
1,womens,11,11,4:34,4,,,
1,womens,11,11,4:34,5,,,
1,womens,11,11,4:34,6,,,
1,womens,11,11,4:34,7,,,
1,womens,11,11,4:34,8,,,
1,womens,11,11,4:34,9,,,
1,womens,11,11,4:34,10,,,
1,womens,11,11,4:34,11,,,
1,womens,11,11,4:34,12,,,
1,womens,11,11,4:34,13,,,
1,womens,11,11,4:34,14,,,
1,womens,11,11,4:34,15,,,
1,womens,11,11,4:34,16,,,
1,womens,18,18,8:07,1,Ting Chieh Wei,serve,
1,womens,18,18,8:07,2,Allyce Jones,return,
1,womens,18,18,8:07,3,,,
1,womens,18,18,8:07,4,,,
1,womens,18,18,8:07,5,,,
1,womens,18,18,8:07,6,,,
1,womens,18,18,8:07,7,,,
1,womens,18,18,8:07,8,,,
1,womens,18,18,8:07,9,,,
1,womens,18,18,8:07,10,,,
1,womens,18,18,8:07,11,,,
1,womens,18,18,8:07,12,,,
1,womens,18,18,8:07,13,,,
1,womens,18,18,8:07,14,,,
1,womens,18,18,8:07,15,,,
1,womens,18,18,8:07,16,,,
1,womens,25,25,9:20,1,Ting Chieh Wei,serve,
1,womens,25,25,9:20,2,Etta Tuionetoa,return,
1,womens,25,25,9:20,3,,,
1,womens,25,25,9:20,4,,,
1,womens,25,25,9:20,5,,,
1,womens,25,25,9:20,6,,,
1,womens,25,25,9:20,7,,,
1,womens,25,25,9:20,8,,,
1,womens,25,25,9:20,9,,,
1,womens,25,25,9:20,10,,,
1,womens,25,25,9:20,11,,,
1,womens,25,25,9:20,12,,,
1,womens,25,25,9:20,13,,,
1,womens,25,25,9:20,14,,,
1,womens,25,25,9:20,15,,,
1,womens,25,25,9:20,16,,,
2,mens,2,36,14:06,1,AJ Koller,serve,
2,mens,2,36,14:06,2,Tama Shimabukuro,return,
2,mens,2,36,14:06,3,,,
2,mens,2,36,14:06,4,,,
2,mens,2,36,14:06,5,,,
2,mens,2,36,14:06,6,,,
2,mens,2,36,14:06,7,,,
2,mens,2,36,14:06,8,,,
2,mens,2,36,14:06,9,,,
2,mens,2,36,14:06,10,,,
2,mens,2,36,14:06,11,,,
2,mens,2,36,14:06,12,,,
2,mens,2,36,14:06,13,,,
2,mens,2,36,14:06,14,,,
2,mens,2,36,14:06,15,,,
2,mens,2,36,14:06,16,,,
2,mens,6,40,16:45,1,Tama Shimabukuro,serve,
2,mens,6,40,16:45,2,AJ Koller,return,
2,mens,6,40,16:45,3,,,
2,mens,6,40,16:45,4,,,
2,mens,6,40,16:45,5,,,
2,mens,6,40,16:45,6,,,
2,mens,6,40,16:45,7,,,
2,mens,6,40,16:45,8,,,
2,mens,6,40,16:45,9,,,
2,mens,6,40,16:45,10,,,
2,mens,6,40,16:45,11,,,
2,mens,6,40,16:45,12,,,
2,mens,6,40,16:45,13,,,
2,mens,6,40,16:45,14,,,
2,mens,6,40,16:45,15,,,
2,mens,6,40,16:45,16,,,
2,mens,7,41,17:23,1,AJ Koller,serve,
2,mens,7,41,17:23,2,Tama Shimabukuro,return,
2,mens,7,41,17:23,3,,,
2,mens,7,41,17:23,4,,,
2,mens,7,41,17:23,5,,,
2,mens,7,41,17:23,6,,,
2,mens,7,41,17:23,7,,,
2,mens,7,41,17:23,8,,,
2,mens,7,41,17:23,9,,,
2,mens,7,41,17:23,10,,,
2,mens,7,41,17:23,11,,,
2,mens,7,41,17:23,12,,,
2,mens,7,41,17:23,13,,,
2,mens,7,41,17:23,14,,,
2,mens,7,41,17:23,15,,,
2,mens,7,41,17:23,16,,,
2,mens,9,43,19:01,1,Tama Shimabukuro,serve,
